batch_id,declaration_status,artifact_name,ls_display_name,user_local_size_bytes,user_local_ls_mtime_text,mtime_timezone_status,mode,owner,group,sha256,sha256_status,pattern_filtered_B000_member,direct_or_canonical_source_url,source_page_url,source_resolution_status,matched_canonical_ledger_name,runtime_materialization_status,notes
B000A,user_declared_complete_current_local_directory_listing,2016-06-01-annotations-README,2016-06-01-annotations-README,1999,2026 Aug 15 14:38,unspecified_local_timezone,-rw-r--r--,agitter,1049089,,not_computed_for_complete_listing,False,,,pending,,not_implied_by_user_local_declaration,Not included in the pattern-filtered B000 CSV; SHA-256 remains unverified until a full unfiltered inventory or upload is provided.
B000A,user_declared_complete_current_local_directory_listing,2016-06-01-gene_ontology.obo,2016-06-01-gene_ontology.obo,30449937,2026 Aug 15 14:16,unspecified_local_timezone,-rw-r--r--,agitter,1049089,,not_computed_for_complete_listing,False,,,pending,,not_implied_by_user_local_declaration,Not included in the pattern-filtered B000 CSV; SHA-256 remains unverified until a full unfiltered inventory or upload is provided.
B000A,user_declared_complete_current_local_directory_listing,2016-06-01-go.obo,2016-06-01-go.obo,34762536,2026 Aug 15 14:16,unspecified_local_timezone,-rw-r--r--,agitter,1049089,9b4c0c28d73ba41ae4c684d78b354d2c8bea691a5d759d4cdd188eecdd307ca2,verified_from_pattern_filtered_B000,True,https://release.geneontology.org/2016-06-01/ontology/go.obo,https://release.geneontology.org/2016-06-01/,resolved_exact_existing_ledger,2016-06-01-go.obo,not_implied_by_user_local_declaration,
B000A,user_declared_complete_current_local_directory_listing,2016-06-01-go.owl,2016-06-01-go.owl,170536280,2026 Aug 15 14:16,unspecified_local_timezone,-rw-r--r--,agitter,1049089,,not_computed_for_complete_listing,False,,,pending,,not_implied_by_user_local_declaration,Not included in the pattern-filtered B000 CSV; SHA-256 remains unverified until a full unfiltered inventory or upload is provided.
B000A,user_declared_complete_current_local_directory_listing,2016-06-01-gp2protein.geneid.gz,2016-06-01-gp2protein.geneid.gz,38540366,2026 Aug 15 14:45,unspecified_local_timezone,-rw-r--r--,agitter,1049089,f3a2d329ada32f03e4c3ec60c55ef77cfe3626c3c875832e59612e5f316504e7,verified_from_pattern_filtered_B000,True,https://release.geneontology.org/2016-06-01/annotations/gp2protein/gp2protein.geneid.gz,https://release.geneontology.org/2016-06-01/,resolved_exact_existing_ledger,2016-06-01-gp2protein.geneid.gz,not_implied_by_user_local_declaration,
B000A,user_declared_complete_current_local_directory_listing,2016-06-01-gp2protein.human.gz,2016-06-01-gp2protein.human.gz,378274,2026 Aug 15 14:20,unspecified_local_timezone,-rw-r--r--,agitter,1049089,,not_computed_for_complete_listing,False,,,pending,,not_implied_by_user_local_declaration,Not included in the pattern-filtered B000 CSV; SHA-256 remains unverified until a full unfiltered inventory or upload is provided.
B000A,user_declared_complete_current_local_directory_listing,2016-12-23-gene2go.gz,2016-12-23-gene2go.gz,19731322,2026 Aug 15 21:58,unspecified_local_timezone,-rw-r--r--,agitter,1049089,33bedddfa375a99557fc8ddc8192b8441745f7c338714441ec3bafbed6228386,verified_from_pattern_filtered_B000,True,,,resolved_exact_existing_ledger,2016-12-23-gene2go.gz,not_implied_by_user_local_declaration,
B000A,user_declared_complete_current_local_directory_listing,2016-12-23-gene2go_human.tsv.gz,2016-12-23-gene2go_human.tsv.gz,3280383,2026 Aug 15 21:58,unspecified_local_timezone,-rw-r--r--,agitter,1049089,5d14e96beead06423b047621ac02829b576e041e607a58f70820947839641c09,verified_from_pattern_filtered_B000,True,,,resolved_exact_existing_ledger,2016-12-23-gene2go_human.tsv.gz,not_implied_by_user_local_declaration,
B000A,user_declared_complete_current_local_directory_listing,2026-08-14-gene2go.gz,2026-08-14-gene2go.gz,1374437901,2026 Aug 15 21:42,unspecified_local_timezone,-rw-r--r--,agitter,1049089,,not_computed_for_complete_listing,False,,,pending,,not_implied_by_user_local_declaration,Not included in the pattern-filtered B000 CSV; SHA-256 remains unverified until a full unfiltered inventory or upload is provided.
B000A,user_declared_complete_current_local_directory_listing,2026-08-14-gene2go_human.tsv.gz,2026-08-14-gene2go_human.tsv.gz,5328626,2026 Aug 15 21:50,unspecified_local_timezone,-rw-r--r--,agitter,1049089,,not_computed_for_complete_listing,False,,,pending,,not_implied_by_user_local_declaration,Not included in the pattern-filtered B000 CSV; SHA-256 remains unverified until a full unfiltered inventory or upload is provided.
B000A,user_declared_complete_current_local_directory_listing,Greene2015.pdf,Greene2015.pdf,1729378,2026 Aug 16 08:32,unspecified_local_timezone,-rw-r--r--,agitter,1049089,,not_computed_for_complete_listing,False,https://doi.org/10.1038/ng.3259,https://www.nature.com/articles/ng.3259,resolved_exact_existing_ledger,Greene2015.pdf,not_implied_by_user_local_declaration,Not included in the pattern-filtered B000 CSV; SHA-256 remains unverified until a full unfiltered inventory or upload is provided.
B000A,user_declared_complete_current_local_directory_listing,Greene2015_Table6.xlsx,Greene2015_Table6.xlsx,37992,2026 Aug 16 08:34,unspecified_local_timezone,-rw-r--r--,agitter,1049089,,not_computed_for_complete_listing,False,https://www.nature.com/articles/ng.3259#Sec23,https://www.nature.com/articles/ng.3259,resolved_exact_existing_ledger,Greene2015_Table6.xlsx,not_implied_by_user_local_declaration,Not included in the pattern-filtered B000 CSV; SHA-256 remains unverified until a full unfiltered inventory or upload is provided.
B000A,user_declared_complete_current_local_directory_listing,Greene2015_Table9.xlsx,Greene2015_Table9.xlsx,140272,2026 Aug 16 08:34,unspecified_local_timezone,-rw-r--r--,agitter,1049089,,not_computed_for_complete_listing,False,https://www.nature.com/articles/ng.3259#Sec23,https://www.nature.com/articles/ng.3259,resolved_exact_existing_ledger,Greene2015_Table9.xlsx,not_implied_by_user_local_declaration,Not included in the pattern-filtered B000 CSV; SHA-256 remains unverified until a full unfiltered inventory or upload is provided.
B000A,user_declared_complete_current_local_directory_listing,Greene2015_sup.pdf,Greene2015_sup.pdf,6701167,2026 Aug 16 08:33,unspecified_local_timezone,-rw-r--r--,agitter,1049089,,not_computed_for_complete_listing,False,https://www.nature.com/articles/ng.3259#Sec23,https://www.nature.com/articles/ng.3259,resolved_exact_existing_ledger,Greene2015_sup.pdf,not_implied_by_user_local_declaration,Not included in the pattern-filtered B000 CSV; SHA-256 remains unverified until a full unfiltered inventory or upload is provided.
B000A,user_declared_complete_current_local_directory_listing,HuamnBase-kidney.dat,HuamnBase-kidney.dat,8897160,2026 Aug 16 16:44,unspecified_local_timezone,-rw-r--r--,agitter,1049089,,not_computed_for_complete_listing,False,,,pending,,not_implied_by_user_local_declaration,Filename is spelled HuamnBase-kidney.dat in the user listing; content has not yet been checked against the expected HumanBase-kidney.dat artifact. Not included in the pattern-filtered B000 CSV; SHA-256 remains unverified until a full unfiltered inventory or upload is provided.
B000A,user_declared_complete_current_local_directory_listing,HumanBase-blood.dat,HumanBase-blood.dat,8401428,2026 Aug 16 16:43,unspecified_local_timezone,-rw-r--r--,agitter,1049089,d3b9ab9b697fba7761e4a13fcc38a3b9d493d42dd31a06d88f45886eac63fbd5,verified_from_pattern_filtered_B000,True,,,resolved_exact_existing_ledger,HumanBase-blood.dat,not_implied_by_user_local_declaration,
B000A,user_declared_complete_current_local_directory_listing,HumanBase-blood_top.gz,HumanBase-blood_top.gz,182612266,2026 Aug 16 16:47,unspecified_local_timezone,-rw-r--r--,agitter,1049089,49dc41f1ab89c4e25e907e00218bde38d3ecc9f80c57ebdb79fe5f9c6a850f84,verified_from_pattern_filtered_B000,True,,,resolved_exact_existing_ledger,HumanBase-blood_top.gz,not_implied_by_user_local_declaration,
B000A,user_declared_complete_current_local_directory_listing,OhmNet.pdf,OhmNet.pdf,1458562,2026 Aug 16 08:31,unspecified_local_timezone,-rw-r--r--,agitter,1049089,,not_computed_for_complete_listing,False,https://doi.org/10.1093/bioinformatics/btx252,https://academic.oup.com/bioinformatics/article/33/14/i190/3953967,resolved_exact_existing_ledger,OhmNet.pdf,not_implied_by_user_local_declaration,Not included in the pattern-filtered B000 CSV; SHA-256 remains unverified until a full unfiltered inventory or upload is provided.
B000A,user_declared_complete_current_local_directory_listing,bio-tissue-hierarchy.tar.gz,bio-tissue-hierarchy.tar.gz,421785,2026 Aug 14 11:14,unspecified_local_timezone,-rw-r--r--,agitter,1049089,,not_computed_for_complete_listing,False,https://snap.stanford.edu/ohmnet/bio-tissue-hierarchy.tar.gz,https://snap.stanford.edu/ohmnet/,resolved_exact_existing_ledger,bio-tissue-hierarchy.tar.gz,not_implied_by_user_local_declaration,Not included in the pattern-filtered B000 CSV; SHA-256 remains unverified until a full unfiltered inventory or upload is provided.
B000A,user_declared_complete_current_local_directory_listing,bio-tissue-labels.tar.gz,bio-tissue-labels.tar.gz,1793328,2026 Aug 14 11:14,unspecified_local_timezone,-rw-r--r--,agitter,1049089,,not_computed_for_complete_listing,False,https://snap.stanford.edu/ohmnet/bio-tissue-labels.tar.gz,https://snap.stanford.edu/ohmnet/,resolved_exact_existing_ledger,bio-tissue-labels.tar.gz,not_implied_by_user_local_declaration,Not included in the pattern-filtered B000 CSV; SHA-256 remains unverified until a full unfiltered inventory or upload is provided.
B000A,user_declared_complete_current_local_directory_listing,bio-tissue-networks.tar.gz,bio-tissue-networks.tar.gz,15568869,2026 Aug 14 11:12,unspecified_local_timezone,-rw-r--r--,agitter,1049089,,not_computed_for_complete_listing,False,https://snap.stanford.edu/ohmnet/bio-tissue-networks.tar.gz,https://snap.stanford.edu/ohmnet/,resolved_exact_existing_ledger,bio-tissue-networks.tar.gz,not_implied_by_user_local_declaration,Not included in the pattern-filtered B000 CSV; SHA-256 remains unverified until a full unfiltered inventory or upload is provided.
B000A,user_declared_complete_current_local_directory_listing,bio-tissue-readme.txt,bio-tissue-readme.txt,1465,2026 Aug 14 11:18,unspecified_local_timezone,-rw-r--r--,agitter,1049089,,not_computed_for_complete_listing,False,https://snap.stanford.edu/ohmnet/bio-tissue-readme.txt,https://snap.stanford.edu/ohmnet/,resolved_exact_existing_ledger,bio-tissue-readme.txt,not_implied_by_user_local_declaration,Not included in the pattern-filtered B000 CSV; SHA-256 remains unverified until a full unfiltered inventory or upload is provided.
B000A,user_declared_complete_current_local_directory_listing,bioconductor-annotation-org.Hs.eg.db_3.0.0.tar.gz,bioconductor-annotation-org.Hs.eg.db_3.0.0.tar.gz,61468422,2026 Aug 17 10:45,unspecified_local_timezone,-rw-r--r--,agitter,1049089,,not_computed_for_complete_listing,False,,,pending,,not_implied_by_user_local_declaration,Not included in the pattern-filtered B000 CSV; SHA-256 remains unverified until a full unfiltered inventory or upload is provided.
B000A,user_declared_complete_current_local_directory_listing,bioconductor-annotation-org.Hs.eg.db_3.1.2.tar.gz,bioconductor-annotation-org.Hs.eg.db_3.1.2.tar.gz,65439359,2026 Aug 17 10:45,unspecified_local_timezone,-rw-r--r--,agitter,1049089,,not_computed_for_complete_listing,False,https://bioconductor.statistik.tu-dortmund.de/packages/3.1/data/annotation/src/contrib/org.Hs.eg.db_3.1.2.tar.gz,https://bioconductor.org/packages/3.1/data/annotation/html/org.Hs.eg.db.html,resolved_via_explicit_filename_variant,org.Hs.eg.db_3.1.2.tar.gz,not_implied_by_user_local_declaration,Not included in the pattern-filtered B000 CSV; SHA-256 remains unverified until a full unfiltered inventory or upload is provided.
B000A,user_declared_complete_current_local_directory_listing,bioconductor-annotation-org.Hs.eg.db_3.3.0.tar.gz,bioconductor-annotation-org.Hs.eg.db_3.3.0.tar.gz,69122902,2026 Aug 16 07:54,unspecified_local_timezone,-rw-r--r--,agitter,1049089,,not_computed_for_complete_listing,False,https://bioconductor.statistik.tu-dortmund.de/packages/3.3/data/annotation/src/contrib/org.Hs.eg.db_3.3.0.tar.gz,https://bioconductor.org/packages/3.3/data/annotation/html/org.Hs.eg.db.html,resolved_via_explicit_filename_variant,org.Hs.eg.db_3.3.0.tar.gz,not_implied_by_user_local_declaration,Not included in the pattern-filtered B000 CSV; SHA-256 remains unverified until a full unfiltered inventory or upload is provided.
B000A,user_declared_complete_current_local_directory_listing,bioconductor-annotation-org.Hs.eg.db_3.4.0.tar.gz,bioconductor-annotation-org.Hs.eg.db_3.4.0.tar.gz,69557350,2026 Aug 16 07:53,unspecified_local_timezone,-rw-r--r--,agitter,1049089,,not_computed_for_complete_listing,False,https://bioconductor.statistik.tu-dortmund.de/packages/3.4/data/annotation/src/contrib/org.Hs.eg.db_3.4.0.tar.gz,https://bioconductor.org/packages/3.4/data/annotation/html/org.Hs.eg.db.html,resolved_via_explicit_filename_variant,org.Hs.eg.db_3.4.0.tar.gz,not_implied_by_user_local_declaration,Not included in the pattern-filtered B000 CSV; SHA-256 remains unverified until a full unfiltered inventory or upload is provided.
