source_name,mapping_strategy,evidence_filter,term_scope,comparison_scope,candidate_GO_terms,comparison_genes,label_columns,exact_matches,agreement_at_least_99_percent,agreement_at_least_95_percent,median_best_agreement,mean_best_agreement,minimum_mismatch_genes,mean_mismatch_genes
MSigDB v5.2 C5 BP Entrez gene sets,native_Entrez,MSigDB_supplied,C5_BP,all_4268_resolved_genes,4653,4268,121,0,0,0,0.8465323336457358,0.7913397414547624,265,890.5619834710744
GOA human GAF v159 direct BP annotations,fallback_synonym_union,all_except_IEA_ND_NAS,all_bp,all_4268_resolved_genes,7126,4268,121,0,0,0,0.816776007497657,0.7587853485868311,281,1029.504132231405
GOA human GAF v159 direct BP annotations,fallback_synonym_union,all_except_IEA_ND_NAS,msigdb_v52_c5bp_terms,all_4268_resolved_genes,2980,4268,121,0,0,0,0.816776007497657,0.7581811985407453,281,1032.0826446280992
GOA human GAF v159 direct BP annotations,fallback_synonym_union,exclude_IEA,all_bp,all_4268_resolved_genes,7213,4268,121,0,0,0,0.816776007497657,0.7586885296691891,283,1029.9173553719008
GOA human GAF v159 direct BP annotations,fallback_synonym_union,exclude_IEA,msigdb_v52_c5bp_terms,all_4268_resolved_genes,3003,4268,121,0,0,0,0.816776007497657,0.7581172980551015,283,1032.3553719008264
GOA human GAF v159 direct BP annotations,fallback_synonym_union,exclude_IEA_ND,all_bp,all_4268_resolved_genes,7212,4268,121,0,0,0,0.816776007497657,0.7586885296691891,283,1029.9173553719008
GOA human GAF v159 direct BP annotations,fallback_synonym_union,exclude_IEA_ND,msigdb_v52_c5bp_terms,all_4268_resolved_genes,3003,4268,121,0,0,0,0.816776007497657,0.7581172980551015,283,1032.3553719008264
GOA human GAF v159 direct BP annotations,primary_then_synonym_unique,all_except_IEA_ND_NAS,all_bp,all_4268_resolved_genes,7125,4268,121,0,0,0,0.816776007497657,0.7587466210197743,281,1029.6694214876034
GOA human GAF v159 direct BP annotations,primary_then_synonym_unique,all_except_IEA_ND_NAS,msigdb_v52_c5bp_terms,all_4268_resolved_genes,2980,4268,121,0,0,0,0.816776007497657,0.7581424709736885,281,1032.2479338842975
GOA human GAF v159 direct BP annotations,primary_then_synonym_unique,exclude_IEA,all_bp,all_4268_resolved_genes,7212,4268,121,0,0,0,0.816776007497657,0.7586498021021323,283,1030.0826446280992
GOA human GAF v159 direct BP annotations,primary_then_synonym_unique,exclude_IEA,msigdb_v52_c5bp_terms,all_4268_resolved_genes,3003,4268,121,0,0,0,0.816776007497657,0.7580785704880448,283,1032.5206611570247
GOA human GAF v159 direct BP annotations,primary_then_synonym_unique,exclude_IEA_ND,all_bp,all_4268_resolved_genes,7211,4268,121,0,0,0,0.816776007497657,0.7586498021021323,283,1030.0826446280992
GOA human GAF v159 direct BP annotations,primary_then_synonym_unique,exclude_IEA_ND,msigdb_v52_c5bp_terms,all_4268_resolved_genes,3003,4268,121,0,0,0,0.816776007497657,0.7580785704880448,283,1032.5206611570247
GOA human GAF v159 direct BP annotations,fallback_synonym_union,experimental_plus_IBA_ISS_IC,all_bp,all_4268_resolved_genes,6748,4268,121,0,0,0,0.8165417057169635,0.7583515998357951,274,1031.3553719008264
GOA human GAF v159 direct BP annotations,fallback_synonym_union,experimental_plus_IBA_ISS_IC,msigdb_v52_c5bp_terms,all_4268_resolved_genes,2826,4268,121,0,0,0,0.8165417057169635,0.7578907417878195,274,1033.3223140495868
