label_column,GO_ID,GO_name,namespace,observed_positive_genes,predicted_positive_genes,false_positives,false_negatives,mismatches,agreement
0,GO:0050789,regulation of biological process,biological_process,2647,2647,0,0,0,1.0
1,GO:0070062,extracellular exosome,cellular_component,943,943,0,0,0,1.0
2,GO:0044710,single-organism metabolic process,biological_process,820,820,0,0,0,1.0
3,GO:1901363,heterocyclic compound binding,molecular_function,935,935,0,0,0,1.0
4,GO:1901360,organic cyclic compound metabolic process,biological_process,542,542,0,0,0,1.0
5,GO:0003676,nucleic acid binding,molecular_function,749,749,0,0,0,1.0
6,GO:0097159,organic cyclic compound binding,molecular_function,961,961,0,0,0,1.0
7,GO:0005737,cytoplasm,cellular_component,1307,1307,0,0,0,1.0
8,GO:1902589,single-organism organelle organization,biological_process,556,556,0,0,0,1.0
9,GO:0043170,macromolecule metabolic process,biological_process,1284,1284,0,0,0,1.0
10,GO:0043412,macromolecule modification,biological_process,757,757,0,0,0,1.0
11,GO:0009966,regulation of signal transduction,biological_process,890,890,0,0,0,1.0
12,GO:0003674,molecular_function,molecular_function,2905,2905,0,0,0,1.0
13,GO:0051239,regulation of multicellular organismal process,biological_process,845,845,0,0,0,1.0
14,GO:0045935,positive regulation of nucleobase-containing compound metabolic process,biological_process,748,748,0,0,0,1.0
15,GO:0048519,negative regulation of biological process,biological_process,1450,1450,0,0,0,1.0
16,GO:0003723,RNA binding,molecular_function,395,395,0,0,0,1.0
17,GO:0006810,transport,biological_process,610,610,0,0,0,1.0
18,GO:0044421,extracellular region part,cellular_component,1117,1117,0,0,0,1.0
19,GO:0008152,metabolic process,biological_process,1657,1657,0,0,0,1.0
20,GO:0005654,nucleoplasm,cellular_component,692,692,0,0,0,1.0
21,GO:0050794,regulation of cellular process,biological_process,2534,2534,0,0,0,1.0
22,GO:1903506,regulation of nucleic acid-templated transcription,biological_process,893,893,0,0,0,1.0
23,GO:0071840,cellular component organization or biogenesis,biological_process,1227,1227,0,0,0,1.0
24,GO:0043228,non-membrane-bounded organelle,cellular_component,597,597,0,0,0,1.0
25,GO:0043227,membrane-bounded organelle,cellular_component,2437,2437,0,0,0,1.0
26,GO:0043226,organelle,cellular_component,2603,2603,0,0,0,1.0
27,GO:0005634,nucleus,cellular_component,1208,1208,0,0,0,1.0
28,GO:0009987,cellular process,biological_process,2816,2816,0,0,0,1.0
29,GO:0010557,positive regulation of macromolecule biosynthetic process,biological_process,721,721,0,0,0,1.0
30,GO:0065007,biological regulation,biological_process,2793,2793,0,0,0,1.0
