label_column,GO_ID,GO_name,namespace,min_is_a_depth_from_namespace_root,max_is_a_depth_from_namespace_root,depth_span,ancestor_count_including_self,descendant_count_including_self,observed_positive_genes,all_relation_predicted_positive_genes,all_relation_false_positives,default_relation_predicted_positive_genes,default_relation_false_positives,false_positives_eliminated_by_excluding_qualified_relations,all_relation_exact,default_relation_exact,direct_positive_genes_all_relations,direct_positive_genes_default_relations,predicted_information_content_bits_default
0,GO:0050789,regulation of biological process,biological_process,2,2,0,3,11022,2647,2647,0,2647,0,0,1,1,0,0,0.6892019813290263
1,GO:0070062,extracellular exosome,cellular_component,4,5,1,8,1,943,943,0,943,0,0,1,1,943,943,2.1782305001493283
2,GO:0044710,single-organism metabolic process,biological_process,2,2,0,4,3832,820,820,0,820,0,0,1,1,0,0,2.3798643613189787
3,GO:1901363,heterocyclic compound binding,molecular_function,2,2,0,3,456,935,959,24,935,0,24,0,1,0,0,2.190521906049426
4,GO:1901360,organic cyclic compound metabolic process,biological_process,3,3,0,4,2606,542,542,0,542,0,0,1,1,0,0,2.9771954194705534
5,GO:0003676,nucleic acid binding,molecular_function,3,3,0,5,335,749,771,22,749,0,22,0,1,1,1,2.5105225523656736
6,GO:0097159,organic cyclic compound binding,molecular_function,2,2,0,3,497,961,985,24,961,0,24,0,1,0,0,2.1509518400506744
7,GO:0005737,cytoplasm,cellular_component,3,3,0,4,23,1307,1310,3,1308,1,2,0,0,1298,1296,1.7061976353263424
8,GO:1902589,single-organism organelle organization,biological_process,3,4,1,8,500,556,556,0,556,0,0,1,1,0,0,2.9404033881009175
9,GO:0043170,macromolecule metabolic process,biological_process,3,3,0,4,2437,1284,1284,0,1284,0,0,1,1,0,0,1.7329149737021217
10,GO:0043412,macromolecule modification,biological_process,4,4,0,5,1050,757,757,0,757,0,0,1,1,0,0,2.495194970838693
11,GO:0009966,regulation of signal transduction,biological_process,4,5,1,8,1103,890,890,0,890,0,0,1,1,2,2,2.261682934970665
12,GO:0003674,molecular_function,molecular_function,0,0,0,1,10236,2905,2989,84,2905,0,84,0,1,0,0,0.5550220125325337
13,GO:0051239,regulation of multicellular organismal process,biological_process,3,3,0,4,2567,845,845,0,845,0,0,1,1,0,0,2.336536929654878
14,GO:0045935,positive regulation of nucleobase-containing compound metabolic process,biological_process,6,6,0,15,306,748,748,0,748,0,0,1,1,0,0,2.5124500009367883
