evidence_policy,relation_policy,propagation,accepted_rows,nonempty_terms,top121_overlap,top121_extra,top121_missing,top121_exact,threshold1000_size,threshold1000_overlap,threshold1000_extra,threshold1000_missing,threshold1000_exact,rank121_count,rank122_count
exact_six,default_only,is_a,106929,16338,121,0,0,1,121,121,0,0,1,1007,997
exact_six,default_only,none,106929,11916,13,108,108,0,7,7,0,114,0,70,70
exact_six,all_positive,is_a,108668,16394,120,1,1,0,122,121,1,0,0,1008,1007
exact_six,all_positive,none,108668,11976,13,108,108,0,7,7,0,114,0,72,71
classic_experimental,default_only,is_a,161969,14373,120,1,1,0,105,104,1,17,0,870,864
classic_experimental,default_only,none,161969,10003,14,107,107,0,8,8,0,113,0,63,63
classic_experimental,all_positive,is_a,163519,14433,119,2,2,0,105,104,1,17,0,870,870
classic_experimental,all_positive,none,163519,10061,14,107,107,0,8,8,0,113,0,65,65
exact_plus_IPI,default_only,is_a,181096,16477,120,1,1,0,122,121,1,0,0,1016,1010
exact_plus_IPI,default_only,none,181096,12073,14,107,107,0,8,8,0,113,0,76,75
exact_plus_IPI,all_positive,is_a,182881,16535,120,1,1,0,123,121,2,0,0,1016,1010
exact_plus_IPI,all_positive,none,182881,12134,14,107,107,0,8,8,0,113,0,78,76
all_except_IEA,default_only,is_a,295050,18081,107,14,14,0,203,121,82,0,0,1705,1570
all_except_IEA,default_only,none,295050,13820,18,103,103,0,10,8,2,113,0,137,137
all_except_IEA,all_positive,is_a,297189,18125,107,14,14,0,203,121,82,0,0,1705,1570
all_except_IEA,all_positive,none,297189,13870,18,103,103,0,10,8,2,113,0,137,137
all_evidence,default_only,is_a,377050,20433,94,27,27,0,307,121,186,0,0,2579,2561
all_evidence,default_only,none,377050,16434,18,103,103,0,21,10,11,111,0,218,217
all_evidence,all_positive,is_a,379189,20465,94,27,27,0,309,121,188,0,0,2597,2597
all_evidence,all_positive,none,379189,16473,18,103,103,0,21,10,11,111,0,218,218
exclude_IEA_ND,default_only,is_a,293350,18081,107,14,14,0,203,121,82,0,0,1705,1570
exclude_IEA_ND,default_only,none,293350,13817,15,106,106,0,10,8,2,113,0,135,134
exclude_IEA_ND,all_positive,is_a,295489,18125,107,14,14,0,203,121,82,0,0,1705,1570
exclude_IEA_ND,all_positive,none,295489,13867,15,106,106,0,10,8,2,113,0,135,134
