label_column,inferred_GO_ID,inferred_GO_name,namespace,observed_positive_genes,exact_candidate_count_for_vector,all_exact_GO_ID_candidates,identity_basis,identity_confidence
0,GO:0050789,regulation of biological process,biological_process,2647,1,GO:0050789,unique exact membership vector,exact from membership
1,GO:0070062,extracellular exosome,cellular_component,943,1,GO:0070062,unique exact membership vector,exact from membership
2,GO:0044710,single-organism metabolic process,biological_process,820,1,GO:0044710,unique exact membership vector,exact from membership
3,GO:1901363,heterocyclic compound binding,molecular_function,935,1,GO:1901363,unique exact membership vector,exact from membership
4,GO:1901360,organic cyclic compound metabolic process,biological_process,542,1,GO:1901360,unique exact membership vector,exact from membership
5,GO:0003676,nucleic acid binding,molecular_function,749,1,GO:0003676,unique exact membership vector,exact from membership
6,GO:0097159,organic cyclic compound binding,molecular_function,961,1,GO:0097159,unique exact membership vector,exact from membership
7,GO:0005737,cytoplasm,cellular_component,1307,1,GO:0005737,unique exact membership vector,exact from membership
8,GO:1902589,single-organism organelle organization,biological_process,556,1,GO:1902589,unique exact membership vector,exact from membership
9,GO:0043170,macromolecule metabolic process,biological_process,1284,1,GO:0043170,unique exact membership vector,exact from membership
10,GO:0043412,macromolecule modification,biological_process,757,1,GO:0043412,unique exact membership vector,exact from membership
11,GO:0009966,regulation of signal transduction,biological_process,890,1,GO:0009966,unique exact membership vector,exact from membership
12,GO:0003674,molecular_function,molecular_function,2905,1,GO:0003674,unique exact membership vector,exact from membership
13,GO:0051239,regulation of multicellular organismal process,biological_process,845,1,GO:0051239,unique exact membership vector,exact from membership
14,GO:0045935,positive regulation of nucleobase-containing compound metabolic process,biological_process,748,1,GO:0045935,unique exact membership vector,exact from membership
15,GO:0048519,negative regulation of biological process,biological_process,1450,1,GO:0048519,unique exact membership vector,exact from membership
16,GO:0003723,RNA binding,molecular_function,395,1,GO:0003723,unique exact membership vector,exact from membership
17,GO:0006810,transport,biological_process,610,1,GO:0006810,unique exact membership vector,exact from membership
18,GO:0044421,extracellular region part,cellular_component,1117,1,GO:0044421,unique exact membership vector,exact from membership
