collection,source_member,source_row_index_0based,source_row_index_1based,set_name,description,unique_entrez_count,raw_entrez_field_count,graphsage_feature_column,selection_threshold_min_unique_entrez,selection_global_cap,selected_rank_1based,resolved_unique_graph_genes_in_set,observed_positive_resolved_rows,expected_positive_resolved_rows,mismatch_resolved_rows,exact_on_all_resolved_rows,all_zero_on_all_graphsage_rows,all_zero_on_resolved_rows
C1,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c1.all.v5.2.entrez.gmt,2,3,chr8q24,http://www.broadinstitute.org/gsea/msigdb/cards/chr8q24,214,214,0,200,50,1,30,417,417,0,1,0,0
C1,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c1.all.v5.2.entrez.gmt,21,22,chr14q11,http://www.broadinstitute.org/gsea/msigdb/cards/chr14q11,330,330,1,200,50,2,30,432,432,0,1,0,0
C1,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c1.all.v5.2.entrez.gmt,40,41,chr12q24,http://www.broadinstitute.org/gsea/msigdb/cards/chr12q24,285,285,2,200,50,3,50,717,717,0,1,0,0
C1,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c1.all.v5.2.entrez.gmt,48,49,chr19p13,http://www.broadinstitute.org/gsea/msigdb/cards/chr19p13,645,645,3,200,50,4,116,1627,1627,0,1,0,0
C1,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c1.all.v5.2.entrez.gmt,66,67,chr11q12,http://www.broadinstitute.org/gsea/msigdb/cards/chr11q12,225,225,4,200,50,5,24,336,336,0,1,0,0
C1,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c1.all.v5.2.entrez.gmt,72,73,chr22q13,http://www.broadinstitute.org/gsea/msigdb/cards/chr22q13,235,235,5,200,50,6,44,564,564,0,1,0,0
C1,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c1.all.v5.2.entrez.gmt,77,78,chr22q11,http://www.broadinstitute.org/gsea/msigdb/cards/chr22q11,369,369,6,200,50,7,24,322,322,0,1,0,0
C1,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c1.all.v5.2.entrez.gmt,94,95,chr1q21,http://www.broadinstitute.org/gsea/msigdb/cards/chr1q21,358,358,7,200,50,8,51,731,731,0,1,0,0
C1,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c1.all.v5.2.entrez.gmt,97,98,chr6p21,http://www.broadinstitute.org/gsea/msigdb/cards/chr6p21,544,544,8,200,50,9,70,826,826,0,1,0,0
C1,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c1.all.v5.2.entrez.gmt,105,106,chr5q31,http://www.broadinstitute.org/gsea/msigdb/cards/chr5q31,247,247,9,200,50,10,41,562,562,0,1,0,0
C1,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c1.all.v5.2.entrez.gmt,130,131,chryq11,http://www.broadinstitute.org/gsea/msigdb/cards/chryq11,204,204,10,200,50,11,0,0,0,0,1,1,1
C1,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c1.all.v5.2.entrez.gmt,144,145,chr19q13,http://www.broadinstitute.org/gsea/msigdb/cards/chr19q13,948,948,11,200,50,12,117,1602,1602,0,1,0,0
C1,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c1.all.v5.2.entrez.gmt,147,148,chr8p23,http://www.broadinstitute.org/gsea/msigdb/cards/chr8p23,201,201,12,200,50,13,11,106,106,0,1,0,0
C1,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c1.all.v5.2.entrez.gmt,151,152,chr17p13,http://www.broadinstitute.org/gsea/msigdb/cards/chr17p13,293,293,13,200,50,14,46,701,701,0,1,0,0
C1,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c1.all.v5.2.entrez.gmt,157,158,chr14q32,http://www.broadinstitute.org/gsea/msigdb/cards/chr14q32,432,432,14,200,50,15,21,323,323,0,1,0,0
C1,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c1.all.v5.2.entrez.gmt,192,193,chr3p21,http://www.broadinstitute.org/gsea/msigdb/cards/chr3p21,271,271,15,200,50,16,54,741,741,0,1,0,0
