graph_index,tissue,WL_color,graphsage_row,observed_positive_labels,candidate_GeneIDs_with_same_fixed_GOA_vector,candidate_count,unique_label_based_assignment,class_multiset_exact,GeneID
22,kidney,96,49177,37,3248,1,1,1,3248
14,brain,108,27816,10,3988,1,1,1,3988
17,forebrain,80,35682,10,3988,1,1,1,3988
22,kidney,97,49896,10,3988,1,1,1,3988
23,lung,91,54419,10,3988,1,1,1,3988
14,brain,131,27773,32,8564,1,1,1,8564
19,liver,112,41622,32,8564,1,1,1,8564
21,heart,1,47867,32,8564,1,1,1,8564
22,kidney,1,51153,32,8564,1,1,1,8564
14,brain,109,26088,6,27201,1,1,1,27201
14,brain,109,24886,17,30061,1,1,1,30061
19,liver,97,41348,17,30061,1,1,1,30061
20,gastrointestinal_tract,95,42156,17,30061,1,1,1,30061
22,kidney,96,50883,17,30061,1,1,1,30061
14,brain,131,26316,14,51166,1,1,1,51166
19,liver,112,40278,14,51166,1,1,1,51166
21,heart,1,46513,14,51166,1,1,1,51166
22,kidney,1,49780,14,51166,1,1,1,51166
14,brain,108,26686,0,51312,1,1,1,51312
22,kidney,97,50139,0,51312,1,1,1,51312
3,adrenal_gland,70,4143,14,55471,1,1,1,55471
4,amygdala,71,6448,14,55471,1,1,1,55471
8,basal_ganglion,74,13335,14,55471,1,1,1,55471
10,blood,97,17818,14,55471,1,1,1,55471
11,blood_plasma,77,20402,14,55471,1,1,1,55471
14,brain,109,25327,14,55471,1,1,1,55471
15,colon,89,30351,14,55471,1,1,1,55471
16,eye,77,32753,14,55471,1,1,1,55471
17,forebrain,79,34597,14,55471,1,1,1,55471
18,large_intestine,89,36491,14,55471,1,1,1,55471
19,liver,97,39382,14,55471,1,1,1,55471
20,gastrointestinal_tract,95,42541,14,55471,1,1,1,55471
21,heart,101,47510,14,55471,1,1,1,55471
22,kidney,96,48848,14,55471,1,1,1,55471
23,lung,90,54022,14,55471,1,1,1,55471
24,midbrain,70,55850,14,55471,1,1,1,55471
10,blood,97,15389,51,55801,1,1,1,55801
14,brain,108,26811,14,56994,1,1,1,56994
17,forebrain,80,34908,14,56994,1,1,1,56994
22,kidney,97,50256,14,56994,1,1,1,56994
23,lung,91,53478,14,56994,1,1,1,56994
3,adrenal_gland,70,3227,21,79017,1,1,1,79017
4,amygdala,71,5509,21,79017,1,1,1,79017
8,basal_ganglion,74,12328,21,79017,1,1,1,79017
10,blood,97,15507,21,79017,1,1,1,79017
11,blood_plasma,77,18727,21,79017,1,1,1,79017
14,brain,109,24979,21,79017,1,1,1,79017
15,colon,89,28395,21,79017,1,1,1,79017
16,eye,77,31146,21,79017,1,1,1,79017
17,forebrain,79,33519,21,79017,1,1,1,79017
18,large_intestine,89,36204,21,79017,1,1,1,79017
19,liver,97,39068,21,79017,1,1,1,79017
20,gastrointestinal_tract,95,42236,21,79017,1,1,1,79017
21,heart,101,45292,21,79017,1,1,1,79017
22,kidney,96,48514,21,79017,1,1,1,79017
23,lung,90,51809,21,79017,1,1,1,79017
24,midbrain,70,54925,21,79017,1,1,1,79017
14,brain,109,24571,0,8609|121599,2,0,1,121599
14,brain,109,25437,0,8609|121599,2,0,1,121599
