label_column,GO_ID,GO_name,namespace,v159_tie_count,v159_tied_GO_IDs,observed_positive_genes,v159_predicted_positive_genes,v159_mismatches,v159_false_positives,v159_false_negatives,v159_agreement,v158_fixed_term_predicted_positive_genes,v158_fixed_term_mismatches,v158_fixed_term_false_positives,v158_fixed_term_false_negatives,v158_fixed_term_agreement,v158_best_GO_ID,v158_best_GO_name,v158_best_mismatches,v158_best_agreement
0,GO:0050789,regulation of biological process,biological_process,1,GO:0050789,2647,2647,0,0,0,1.0,2634,13,0,13,0.996954076850984,GO:0050789,regulation of biological process,13,0.996954076850984
1,GO:0070062,extracellular exosome,cellular_component,1,GO:0070062,943,943,0,0,0,1.0,943,0,0,0,1.0,GO:0070062,extracellular exosome,0,1.0
2,GO:0044710,single-organism metabolic process,biological_process,1,GO:0044710,820,820,0,0,0,1.0,812,10,1,9,0.9976569821930646,GO:0044710,single-organism metabolic process,10,0.9976569821930646
3,GO:1901363,heterocyclic compound binding,molecular_function,1,GO:1901363,935,959,24,24,0,0.9943767572633552,958,25,24,1,0.9941424554826617,GO:1901363,heterocyclic compound binding,25,0.9941424554826617
4,GO:1901360,organic cyclic compound metabolic process,biological_process,1,GO:1901360,542,542,0,0,0,1.0,541,1,0,1,0.9997656982193065,GO:1901360,organic cyclic compound metabolic process,1,0.9997656982193065
5,GO:0003676,nucleic acid binding,molecular_function,1,GO:0003676,749,771,22,22,0,0.9948453608247423,771,22,22,0,0.9948453608247423,GO:0003676,nucleic acid binding,22,0.9948453608247423
6,GO:0097159,organic cyclic compound binding,molecular_function,1,GO:0097159,961,985,24,24,0,0.9943767572633552,984,25,24,1,0.9941424554826617,GO:0097159,organic cyclic compound binding,25,0.9941424554826617
7,GO:0005737,cytoplasm,cellular_component,1,GO:0005737,1307,1310,3,3,0,0.9992970946579194,1297,16,3,13,0.9962511715089035,GO:0005737,cytoplasm,16,0.9962511715089035
8,GO:1902589,single-organism organelle organization,biological_process,1,GO:1902589,556,556,0,0,0,1.0,552,6,1,5,0.9985941893158388,GO:1902589,single-organism organelle organization,6,0.9985941893158388
9,GO:0043170,macromolecule metabolic process,biological_process,1,GO:0043170,1284,1284,0,0,0,1.0,1279,5,0,5,0.9988284910965324,GO:0043170,macromolecule metabolic process,5,0.9988284910965324
10,GO:0043412,macromolecule modification,biological_process,1,GO:0043412,757,757,0,0,0,1.0,752,5,0,5,0.9988284910965324,GO:0043412,macromolecule modification,5,0.9988284910965324
11,GO:0009966,regulation of signal transduction,biological_process,1,GO:0009966,890,890,0,0,0,1.0,883,7,0,7,0.9983598875351453,GO:0009966,regulation of signal transduction,7,0.9983598875351453
12,GO:0003674,molecular_function,molecular_function,1,GO:0003674,2905,2989,84,84,0,0.9803186504217432,2949,124,84,40,0.9709465791940018,GO:0003674,molecular_function,124,0.9709465791940018
13,GO:0051239,regulation of multicellular organismal process,biological_process,1,GO:0051239,845,845,0,0,0,1.0,833,12,0,12,0.9971883786316776,GO:0051239,regulation of multicellular organismal process,12,0.9971883786316776
14,GO:0045935,positive regulation of nucleobase-containing compound metabolic process,biological_process,1,GO:0045935,748,748,0,0,0,1.0,742,6,0,6,0.9985941893158388,GO:0045935,positive regulation of nucleobase-containing compound metabolic process,6,0.9985941893158388
15,GO:0048519,negative regulation of biological process,biological_process,1,GO:0048519,1450,1450,0,0,0,1.0,1439,11,0,11,0.9974226804123711,GO:0048519,negative regulation of biological process,11,0.9974226804123711
16,GO:0003723,RNA binding,molecular_function,1,GO:0003723,395,402,7,7,0,0.9983598875351453,402,7,7,0,0.9983598875351453,GO:0003723,RNA binding,7,0.9983598875351453
17,GO:0006810,transport,biological_process,1,GO:0006810,610,610,0,0,0,1.0,607,3,0,3,0.9992970946579194,GO:0006810,transport,3,0.9992970946579194
18,GO:0044421,extracellular region part,cellular_component,1,GO:0044421,1117,1118,1,1,0,0.9997656982193065,1116,3,1,2,0.9992970946579194,GO:0044421,extracellular region part,3,0.9992970946579194
19,GO:0008152,metabolic process,biological_process,1,GO:0008152,1657,1657,0,0,0,1.0,1650,9,1,8,0.9978912839737581,GO:0008152,metabolic process,9,0.9978912839737581
20,GO:0005654,nucleoplasm,cellular_component,1,GO:0005654,692,693,1,1,0,0.9997656982193065,693,1,1,0,0.9997656982193065,GO:0005654,nucleoplasm,1,0.9997656982193065
21,GO:0050794,regulation of cellular process,biological_process,1,GO:0050794,2534,2534,0,0,0,1.0,2521,15,1,14,0.996485473289597,GO:0050794,regulation of cellular process,15,0.996485473289597
22,GO:1903506,regulation of nucleic acid-templated transcription,biological_process,1,GO:1903506,893,893,0,0,0,1.0,891,4,1,3,0.9990627928772259,GO:1903506,regulation of nucleic acid-templated transcription,4,0.9990627928772259
23,GO:0071840,cellular component organization or biogenesis,biological_process,1,GO:0071840,1227,1227,0,0,0,1.0,1221,6,0,6,0.9985941893158388,GO:0071840,cellular component organization or biogenesis,6,0.9985941893158388
24,GO:0043228,non-membrane-bounded organelle,cellular_component,2,GO:0043228|GO:0043232,597,618,21,21,0,0.9950796626054358,614,25,21,4,0.9941424554826617,GO:0043228,non-membrane-bounded organelle,25,0.9941424554826617
25,GO:0043227,membrane-bounded organelle,cellular_component,1,GO:0043227,2437,2445,8,8,0,0.9981255857544518,2439,14,8,6,0.9967197750702905,GO:0043227,membrane-bounded organelle,14,0.9967197750702905
26,GO:0043226,organelle,cellular_component,1,GO:0043226,2603,2613,10,10,0,0.9976569821930646,2605,18,10,8,0.9957825679475164,GO:0043226,organelle,18,0.9957825679475164
27,GO:0005634,nucleus,cellular_component,1,GO:0005634,1208,1210,2,2,0,0.9995313964386129,1204,8,2,6,0.9981255857544518,GO:0005634,nucleus,8,0.9981255857544518
28,GO:0009987,cellular process,biological_process,1,GO:0009987,2816,2816,0,0,0,1.0,2806,10,0,10,0.9976569821930646,GO:0009987,cellular process,10,0.9976569821930646
29,GO:0010557,positive regulation of macromolecule biosynthetic process,biological_process,1,GO:0010557,721,721,0,0,0,1.0,718,3,0,3,0.9992970946579194,GO:0010557,positive regulation of macromolecule biosynthetic process,3,0.9992970946579194
30,GO:0065007,biological regulation,biological_process,1,GO:0065007,2793,2793,0,0,0,1.0,2781,12,0,12,0.9971883786316776,GO:0065007,biological regulation,12,0.9971883786316776
31,GO:1902578,single-organism localization,biological_process,1,GO:1902578,613,613,0,0,0,1.0,612,1,0,1,0.9997656982193065,GO:1902578,single-organism localization,1,0.9997656982193065
32,GO:0008150,biological_process,biological_process,1,GO:0008150,3696,3696,0,0,0,1.0,3687,9,0,9,0.9978912839737581,GO:0008150,biological_process,9,0.9978912839737581
33,GO:0042221,response to chemical,biological_process,1,GO:0042221,657,657,0,0,0,1.0,650,7,0,7,0.9983598875351453,GO:0042221,response to chemical,7,0.9983598875351453
34,GO:0032268,regulation of cellular protein metabolic process,biological_process,1,GO:0032268,819,819,0,0,0,1.0,811,8,0,8,0.9981255857544518,GO:0032268,regulation of cellular protein metabolic process,8,0.9981255857544518
35,GO:0032991,macromolecular complex,cellular_component,1,GO:0032991,1253,1332,79,79,0,0.9814901593252109,1324,87,79,8,0.9796157450796626,GO:0032991,macromolecular complex,87,0.9796157450796626
36,GO:0051128,regulation of cellular component organization,biological_process,1,GO:0051128,746,746,0,0,0,1.0,735,11,0,11,0.9974226804123711,GO:0051128,regulation of cellular component organization,11,0.9974226804123711
37,GO:0009892,negative regulation of metabolic process,biological_process,1,GO:0009892,819,819,0,0,0,1.0,814,5,0,5,0.9988284910965324,GO:0009892,negative regulation of metabolic process,5,0.9988284910965324
38,GO:0080090,regulation of primary metabolic process,biological_process,1,GO:0080090,1626,1626,0,0,0,1.0,1619,9,1,8,0.9978912839737581,GO:0080090,regulation of primary metabolic process,9,0.9978912839737581
