label_column,observed_positive_genes,best_direct_GOA_GO_ID,best_direct_GOA_mismatch,best_direct_GOA_agreement,best_direct_GOA_false_positives,best_direct_GOA_false_negatives,best_MSigDB_C5BP_GO_ID,best_MSigDB_C5BP_term_name,best_MSigDB_C5BP_mismatch,best_MSigDB_C5BP_agreement,same_GO_ID
0,2647,GO:0045944,2253,0.4721180880974696,5,2248,GO:0048584,GO_POSITIVE_REGULATION_OF_RESPONSE_TO_STIMULUS,1781,0.5827085285848173,False
1,943,GO:0002576,921,0.7842080599812559,19,902,GO:0072376,GO_PROTEIN_ACTIVATION_CASCADE,919,0.784676663542643,False
2,820,GO:0098779,782,0.816776007497657,1,781,GO:0044281,GO_SMALL_MOLECULE_METABOLIC_PROCESS,672,0.8425492033739457,False
3,935,GO:0045944,871,0.7959231490159325,170,701,GO:0016071,GO_MRNA_METABOLIC_PROCESS,839,0.8034208059981256,False
4,542,GO:0006302,509,0.8807403936269915,0,509,GO:0090305,GO_NUCLEIC_ACID_PHOSPHODIESTER_BOND_HYDROLYSIS,478,0.8880037488284911,False
5,749,GO:0000398,697,0.8366916588566073,8,689,GO:0016071,GO_MRNA_METABOLIC_PROCESS,655,0.8465323336457358,False
6,961,GO:0045944,895,0.7902999062792877,169,726,GO:0016071,GO_MRNA_METABOLIC_PROCESS,865,0.7973289597000937,False
7,1307,GO:0051092,1278,0.7005623242736645,28,1250,GO:0010608,GO_POSTTRANSCRIPTIONAL_REGULATION_OF_GENE_EXPRESSION,1276,0.7010309278350515,False
8,556,GO:0043966,520,0.8781630740393627,0,520,GO:0016569,GO_COVALENT_CHROMATIN_MODIFICATION,433,0.8985473289597001,False
9,1284,GO:0006468,1147,0.7312558575445174,17,1130,GO:0009057,GO_MACROMOLECULE_CATABOLIC_PROCESS,1051,0.7537488284910965,False
10,757,GO:0006468,622,0.8542642924086223,18,604,GO:0018193,GO_PEPTIDYL_AMINO_ACID_MODIFICATION,596,0.8603561387066542,False
11,890,GO:0043123,781,0.8170103092783505,5,776,GO:1902531,GO_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION,583,0.8634020618556701,False
12,2905,GO:0045944,2583,0.39479850046860354,41,2542,GO:0009891,GO_POSITIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS,2318,0.45688847235238983,False
13,845,GO:0045766,796,0.8134957825679475,1,795,GO:0051240,GO_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS,562,0.8683223992502342,False
14,748,GO:0045944,374,0.9123711340206185,15,359,GO:0009891,GO_POSITIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS,381,0.9107310215557638,False
15,1450,GO:0045892,1215,0.715323336457357,3,1212,GO:0051172,GO_NEGATIVE_REGULATION_OF_NITROGEN_COMPOUND_METABOLIC_PROCESS,959,0.7753045923149016,False
16,395,GO:0000398,343,0.9196344892221181,8,335,GO:0016071,GO_MRNA_METABOLIC_PROCESS,317,0.9257263355201499,False
17,610,GO:0006886,584,0.8631677600749765,7,577,GO:0007034,GO_VACUOLAR_TRANSPORT,533,0.8751171508903468,False
18,1117,GO:0030198,1071,0.7490627928772259,22,1049,GO:0043062,GO_EXTRACELLULAR_STRUCTURE_ORGANIZATION,1070,0.7492970946579194,False
19,1657,GO:0006468,1518,0.6443298969072164,16,1502,GO:0009056,GO_CATABOLIC_PROCESS,1293,0.6970477975632614,False
20,692,GO:0000398,678,0.8411433926897844,27,651,GO:0000245,GO_SPLICEOSOMAL_COMPLEX_ASSEMBLY,676,0.8416119962511714,False
21,2534,GO:0045944,2144,0.49765698219306465,7,2137,GO:0009891,GO_POSITIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS,1713,0.5986410496719775,False
22,893,GO:0045944,515,0.8793345829428304,13,502,GO:0006357,GO_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER,479,0.8877694470477976,False
23,1227,GO:0098779,1189,0.721415182755389,1,1188,GO:0071822,GO_PROTEIN_COMPLEX_SUBUNIT_ORGANIZATION,982,0.7699156513589503,False
24,597,GO:0051297,583,0.8634020618556701,0,583,GO:0031023,GO_MICROTUBULE_ORGANIZING_CENTER_ORGANIZATION,561,0.8685567010309279,False
25,2437,GO:0045944,2273,0.46743205248359887,120,2153,GO:0008104,GO_PROTEIN_LOCALIZATION,2098,0.5084348641049672,False
26,2603,GO:0045944,2425,0.43181818181818177,113,2312,GO:0008104,GO_PROTEIN_LOCALIZATION,2198,0.48500468603561386,False
27,1208,GO:0000122,1113,0.7392221180880975,81,1032,GO:0051276,GO_CHROMOSOME_ORGANIZATION,1074,0.7483598875351453,False
28,2816,GO:0045944,2556,0.401124648547329,72,2484,GO:0033554,GO_CELLULAR_RESPONSE_TO_STRESS,2185,0.48805060918462984,False
29,721,GO:0045944,349,0.9182286785379569,16,333,GO:0009891,GO_POSITIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS,318,0.9254920337394564,False
30,2793,GO:0045944,2399,0.4379100281162137,5,2394,GO:0048584,GO_POSITIVE_REGULATION_OF_RESPONSE_TO_STIMULUS,1913,0.5517806935332709,False
31,613,GO:0031623,588,0.8622305529522024,0,588,GO:0007034,GO_VACUOLAR_TRANSPORT,540,0.8734770384254921,False
32,3696,GO:0045944,3298,0.2272727272727273,3,3295,GO:0048584,GO_POSITIVE_REGULATION_OF_RESPONSE_TO_STIMULUS,2724,0.3617619493908154,False
33,657,GO:0032869,619,0.854967197750703,0,619,GO:1901701,GO_CELLULAR_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND,568,0.8669165885660731,False
34,819,GO:0001934,750,0.8242736644798501,1,749,GO:0031399,GO_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS,482,0.887066541705717,False
35,1253,GO:0000398,1219,0.714386129334583,17,1202,GO:0051276,GO_CHROMOSOME_ORGANIZATION,1091,0.7443767572633553,False
36,746,GO:0030308,693,0.8376288659793815,1,692,GO:0051130,GO_POSITIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION,438,0.8973758200562324,False
37,819,GO:0045892,584,0.8631677600749765,3,581,GO:0051172,GO_NEGATIVE_REGULATION_OF_NITROGEN_COMPOUND_METABOLIC_PROCESS,464,0.8912839737582006,False
38,1626,GO:0045944,1240,0.7094657919400187,9,1231,GO:0009891,GO_POSITIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS,949,0.7776476101218369,False
39,742,GO:0006468,607,0.8577788191190253,18,589,GO:0018193,GO_PEPTIDYL_AMINO_ACID_MODIFICATION,581,0.8638706654170571,False
40,599,GO:0006302,566,0.8673851921274602,0,566,GO:0090305,GO_NUCLEIC_ACID_PHOSPHODIESTER_BOND_HYDROLYSIS,533,0.8751171508903468,False
41,900,GO:0001525,851,0.8006091846298031,5,846,GO:0048646,GO_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS,759,0.8221649484536082,False
42,794,GO:0051092,725,0.8301312089971884,8,717,GO:0044093,GO_POSITIVE_REGULATION_OF_MOLECULAR_FUNCTION,610,0.8570759137769447,False
43,880,GO:0050821,819,0.8081068416119963,5,814,GO:0032844,GO_REGULATION_OF_HOMEOSTATIC_PROCESS,721,0.8310684161199625,False
