event_time_utc,batch_id,artifact_name,sha256,event_type,status,details
2026-08-27T15:28:07.851696+00:00,B101,goa_human.gaf.159.gz,b098509f9ce70fbe7e93e7fabb3c8a767b8201fe25662ff6a57959d6cee43838,batch_input_received,present,size=4890788; local_path=/mnt/data/goa_human.gaf.159.gz
2026-08-27T15:28:07.851723+00:00,B101,goa_human.gaf.159.gz,b098509f9ce70fbe7e93e7fabb3c8a767b8201fe25662ff6a57959d6cee43838,hash_verified_against_B000,pass,sha256=b098509f9ce70fbe7e93e7fabb3c8a767b8201fe25662ff6a57959d6cee43838; expected=b098509f9ce70fbe7e93e7fabb3c8a767b8201fe25662ff6a57959d6cee43838
2026-08-27T15:28:07.851727+00:00,B101,goa_human.gaf.159.gz,b098509f9ce70fbe7e93e7fabb3c8a767b8201fe25662ff6a57959d6cee43838,gzip_integrity_verified,pass,gzip -t exit code 0
2026-08-27T15:28:07.851730+00:00,B101,goa_human.gaf.159.gz,b098509f9ce70fbe7e93e7fabb3c8a767b8201fe25662ff6a57959d6cee43838,normalized_derivative_created,pass,all raw data fields and rows preserved; see derivative reconciliation
2026-08-27T15:28:07.851732+00:00,B101,goa_human.gaf.159.gz,b098509f9ce70fbe7e93e7fabb3c8a767b8201fe25662ff6a57959d6cee43838,analysis_completed,pass,GAF/GPAD/GPI reconciliation and direct label grid completed
2026-08-27T15:28:07.851735+00:00,B101,goa_human.gaf.159.gz,b098509f9ce70fbe7e93e7fabb3c8a767b8201fe25662ff6a57959d6cee43838,deletion_clearance_issued,safe_to_delete_conversation_copy,"Local master copy should be retained; normalized derivatives, hashes, headers, and reconciliation outputs retained."
2026-08-27T15:28:07.851740+00:00,B101,goa_human.gpa.159.gz,dbe9073e726e804f51b0fe80ecd2897798f22a558e75aeb1c8bfc229357b574a,batch_input_received,present,size=3665510; local_path=/mnt/data/goa_human.gpa.159.gz
2026-08-27T15:28:07.851743+00:00,B101,goa_human.gpa.159.gz,dbe9073e726e804f51b0fe80ecd2897798f22a558e75aeb1c8bfc229357b574a,hash_verified_against_B000,pass,sha256=dbe9073e726e804f51b0fe80ecd2897798f22a558e75aeb1c8bfc229357b574a; expected=dbe9073e726e804f51b0fe80ecd2897798f22a558e75aeb1c8bfc229357b574a
2026-08-27T15:28:07.851745+00:00,B101,goa_human.gpa.159.gz,dbe9073e726e804f51b0fe80ecd2897798f22a558e75aeb1c8bfc229357b574a,gzip_integrity_verified,pass,gzip -t exit code 0
2026-08-27T15:28:07.851747+00:00,B101,goa_human.gpa.159.gz,dbe9073e726e804f51b0fe80ecd2897798f22a558e75aeb1c8bfc229357b574a,normalized_derivative_created,pass,all raw data fields and rows preserved; see derivative reconciliation
2026-08-27T15:28:07.851750+00:00,B101,goa_human.gpa.159.gz,dbe9073e726e804f51b0fe80ecd2897798f22a558e75aeb1c8bfc229357b574a,analysis_completed,pass,GAF/GPAD/GPI reconciliation and direct label grid completed
2026-08-27T15:28:07.851752+00:00,B101,goa_human.gpa.159.gz,dbe9073e726e804f51b0fe80ecd2897798f22a558e75aeb1c8bfc229357b574a,deletion_clearance_issued,safe_to_delete_conversation_copy,"Local master copy should be retained; normalized derivatives, hashes, headers, and reconciliation outputs retained."
2026-08-27T15:28:07.851755+00:00,B101,goa_human.gpi.159.gz,f783a8c71c464b3b98673eb4dc0ae836ad61bd6c72415ae62828d20d0e735612,batch_input_received,present,size=602689; local_path=/mnt/data/goa_human.gpi.159.gz
2026-08-27T15:28:07.851758+00:00,B101,goa_human.gpi.159.gz,f783a8c71c464b3b98673eb4dc0ae836ad61bd6c72415ae62828d20d0e735612,hash_verified_against_B000,pass,sha256=f783a8c71c464b3b98673eb4dc0ae836ad61bd6c72415ae62828d20d0e735612; expected=f783a8c71c464b3b98673eb4dc0ae836ad61bd6c72415ae62828d20d0e735612
2026-08-27T15:28:07.851760+00:00,B101,goa_human.gpi.159.gz,f783a8c71c464b3b98673eb4dc0ae836ad61bd6c72415ae62828d20d0e735612,gzip_integrity_verified,pass,gzip -t exit code 0
2026-08-27T15:28:07.851762+00:00,B101,goa_human.gpi.159.gz,f783a8c71c464b3b98673eb4dc0ae836ad61bd6c72415ae62828d20d0e735612,normalized_derivative_created,pass,all raw data fields and rows preserved; see derivative reconciliation
2026-08-27T15:28:07.851764+00:00,B101,goa_human.gpi.159.gz,f783a8c71c464b3b98673eb4dc0ae836ad61bd6c72415ae62828d20d0e735612,analysis_completed,pass,GAF/GPAD/GPI reconciliation and direct label grid completed
2026-08-27T15:28:07.851767+00:00,B101,goa_human.gpi.159.gz,f783a8c71c464b3b98673eb4dc0ae836ad61bd6c72415ae62828d20d0e735612,deletion_clearance_issued,safe_to_delete_conversation_copy,"Local master copy should be retained; normalized derivatives, hashes, headers, and reconciliation outputs retained."
2026-08-27T15:33:19.298657+00:00,B101,analyze_B101_goa159.py,d6c9df1be6bbcfdc83acaaa2118d9c8cc1e08e2e89698c00a5c515701db2591c,analysis_attempt_superseded,timeout,attempt_stamp=20260827T152148Z; unoptimized direct-label grid exceeded execution timeout; partial outputs preserved and superseded
2026-08-27T15:33:19.298657+00:00,B101,analyze_B101_goa159.py,d6c9df1be6bbcfdc83acaaa2118d9c8cc1e08e2e89698c00a5c515701db2591c,analysis_attempt_superseded,timeout,attempt_stamp=20260827T152423Z; first optimized direct-label grid exceeded execution timeout; partial outputs preserved and superseded
2026-08-27T15:33:19.298657+00:00,B101,analyze_B101_goa159.py,d6c9df1be6bbcfdc83acaaa2118d9c8cc1e08e2e89698c00a5c515701db2591c,analysis_attempt_superseded,timeout,attempt_stamp=20260827T152614Z; foreground execution tool terminated run before completion; partial outputs preserved and superseded
2026-08-27T15:33:19.298657+00:00,B101,B101_direct_label_match_grid_20260827T152736Z.csv.gz,20e9999de3930554a77d8e1fe604416ac3bff43cb956340024387f6c6b007a77,independent_bruteforce_validation,pass,121/121 best term IDs and mismatch distances agreed for fallback_synonym_union/all_except_IEA_ND_NAS/all_bp/full-universe configuration
