file_kind,category,value,count
GAF,Evidence_Code,TAS,92193
GAF,Evidence_Code,IEA,84378
GAF,Evidence_Code,IPI,74653
GAF,Evidence_Code,IDA,70739
GAF,Evidence_Code,IBA,20383
GAF,Evidence_Code,ISS,19585
GAF,Evidence_Code,IMP,16636
GAF,Evidence_Code,NAS,7430
GAF,Evidence_Code,ND,1858
GAF,Evidence_Code,IC,1369
GAF,Evidence_Code,EXP,1136
GAF,Evidence_Code,IGI,1120
GAF,Evidence_Code,IEP,946
GAF,Evidence_Code,IKR,14
GAF_BP,Evidence_Code,IEA,46510
GAF_BP,Evidence_Code,TAS,23449
GAF_BP,Evidence_Code,IDA,20671
GAF_BP,Evidence_Code,IMP,14838
GAF_BP,Evidence_Code,ISS,12462
GAF_BP,Evidence_Code,IBA,9155
GAF_BP,Evidence_Code,NAS,3604
GAF_BP,Evidence_Code,IGI,1035
GAF_BP,Evidence_Code,IEP,946
GAF_BP,Evidence_Code,IC,886
GAF_BP,Evidence_Code,ND,639
GAF_BP,Evidence_Code,IPI,90
GAF_BP,Evidence_Code,IKR,3
GAF,Aspect,P,134288
GAF,Aspect,F,129323
GAF,Aspect,C,128829
GAF,Qualifier,,388931
GAF,Qualifier,NOT,1327
GAF,Qualifier,colocalizes_with,1087
GAF,Qualifier,contributes_to,1069
GAF,Qualifier,NOT|contributes_to,15
GAF,Qualifier,NOT|colocalizes_with,11
GAF,Assigned_By,UniProt,127547
GAF,Assigned_By,Reactome,78075
GAF,Assigned_By,IntAct,55363
GAF,Assigned_By,Ensembl,39785
GAF,Assigned_By,BHF-UCL,24433
GAF,Assigned_By,GO_Central,20694
GAF,Assigned_By,PINC,10088
GAF,Assigned_By,InterPro,9907
GAF,Assigned_By,HPA,6644
GAF,Assigned_By,GOC,5318
GAF,Assigned_By,MGI,4325
GAF,Assigned_By,ParkinsonsUK-UCL,4003
GAF,Assigned_By,HGNC,2846
GAF,Assigned_By,AgBase,912
GAF,Assigned_By,CACAO,588
GAF,Assigned_By,NTNU_SB,531
GAF,Assigned_By,LIFEdb,448
GAF,Assigned_By,DFLAT,232
GAF,Assigned_By,FlyBase,198
GAF,Assigned_By,Alzheimers_University_of_Toronto,183
GAF,Assigned_By,SYSCILIA_CCNET,157
GAF,Assigned_By,WormBase,90
GAF,Assigned_By,GDB,29
GAF,Assigned_By,SGD,22
GAF,Assigned_By,MTBBASE,14
GAF,Assigned_By,dictyBase,7
GAF,Assigned_By,Roslin_Institute,1
GAF,Date,20160702,83745
GAF,Date,20160704,55363
GAF,Date,20130528,19482
GAF,Date,20160301,12540
GAF,Date,20130516,9869
GAF,Date,20030904,8314
GAF,Date,20130503,3127
GAF,Date,20130213,2376
GAF,Date,20140521,1834
GAF,Date,20140203,1699
GAF,Date,20131205,1450
GAF,Date,20150207,1257
GAF,Date,20140627,1171
GAF,Date,20140714,1169
GAF,Date,20110530,1129
GAF,Date,20130730,1080
GAF,Date,20131024,1051
GAF,Date,20101115,1028
GAF,Date,20050308,1005
GAF,Date,20061026,966
GAF,Date,20130801,944
GAF,Date,20141106,924
GAF,Date,20151016,890
GAF,Date,20031216,883
GAF,Date,20140730,776
GAF,Date,20141117,713
GAF,Date,20120912,687
GAF,Date,20130829,676
GAF,Date,20160525,676
GAF,Date,20160229,658
GAF,Date,20160423,633
GAF,Date,20150316,610
GAF,Date,20160309,600
GAF,Date,20100607,569
GAF,Date,20130729,562
GAF,Date,20111111,546
GAF,Date,20111102,506
GAF,Date,20150916,488
GAF,Date,20140927,481
GAF,Date,20140320,474
GAF,Date,20140925,474
GAF,Date,20110516,473
GAF,Date,20150225,463
GAF,Date,20150521,462
GAF,Date,20160118,454
GAF,Date,20151109,450
GAF,Date,20141113,433
GAF,Date,20130731,428
GAF,Date,20150909,426
GAF,Date,20140829,425
GAF,Date,20061106,421
GAF,Date,20150917,421
GAF,Date,20120708,415
GAF,Date,20120228,414
GAF,Date,20131029,412
GAF,Date,20150619,400
GAF,Date,20130523,395
GAF,Date,20140926,394
GAF,Date,20041006,391
GAF,Date,20150511,391
GAF,Date,20150424,389
GAF,Date,20100326,387
GAF,Date,20130802,375
GAF,Date,20150814,369
GAF,Date,20150818,369
GAF,Date,20140715,354
GAF,Date,20140729,346
GAF,Date,20140815,337
GAF,Date,20150408,327
GAF,Date,20140207,324
GAF,Date,20150722,317
GAF,Date,20141002,310
GAF,Date,20010823,308
GAF,Date,20130722,291
GAF,Date,20100517,290
GAF,Date,20101105,290
GAF,Date,20120118,285
GAF,Date,20140827,282
GAF,Date,20140924,279
GAF,Date,20150213,279
GAF,Date,20111121,278
GAF,Date,20110815,271
GAF,Date,20130311,271
GAF,Date,20150604,269
GAF,Date,20140603,263
GAF,Date,20141114,261
GAF,Date,20131220,259
GAF,Date,20141120,256
GAF,Date,20090422,248
GAF,Date,20141112,248
GAF,Date,20100614,244
GAF,Date,20150819,242
GAF,Date,20031119,240
GAF,Date,20150807,237
GAF,Date,20150422,235
GAF,Date,20080205,234
GAF,Date,20140731,231
GAF,Date,20160108,230
GAF,Date,20120221,222
GAF,Date,20150820,221
GAF,Date,20110517,219
GAF,Date,20110919,219
GAF,Date,20130524,218
GAF,Date,20141124,216
GAF,Date,20141203,216
GAF,Date,20150720,216
GAF,Date,20151030,215
GAF,Date,20061107,213
GAF,Date,20160428,212
GAF,Date,20080903,210
GAF,Date,20110427,210
GAF,Date,20110811,210
GAF,Date,20131213,210
GAF,Date,20091202,209
GAF,Date,20141029,209
GAF,Date,20150205,209
GAF,Date,20090528,208
GAF,Date,20140728,208
GAF,Date,20150320,208
GAF,Date,20120111,207
GAF,Date,20040811,205
GAF,Date,20110923,205
GAF,Date,20130716,204
GAF,Date,20111208,203
GAF,Date,20140402,201
GAF,Date,20160202,200
GAF,Date,20120127,197
GAF,Date,20140513,197
GAF,Date,20120920,195
GAF,Date,20141003,195
GAF,Date,20110818,193
GAF,Date,20130620,193
GAF,Date,20131211,193
GAF,Date,20150603,193
GAF,Date,20150805,193
GAF,Date,20140404,192
GAF,Date,20150901,192
GAF,Date,20140307,191
GAF,Date,20150330,191
GAF,Date,20110125,190
GAF,Date,20141212,190
GAF,Date,20090616,189
GAF,Date,20090826,189
GAF,Date,20110110,189
GAF,Date,20150709,188
GAF,Date,20110302,186
GAF,Date,20130529,186
GAF,Date,20130315,185
GAF,Date,20090721,184
GAF,Date,20150506,184
GAF,Date,20150911,184
GAF,Date,20151112,184
GAF,Date,20130513,181
GAF,Date,20140808,181
GAF,Date,20141219,181
GAF,Date,20160304,181
GAF,Date,20110317,180
GAF,Date,20110707,180
GAF,Date,20140903,180
GAF,Date,20140919,180
GAF,Date,20150313,180
GAF,Date,20160104,180
GAF,Date,20160601,180
GAF,Date,20090424,178
GAF,Date,20150206,178
GAF,Date,20150327,178
GAF,Date,20101217,177
GAF,Date,20110401,177
GAF,Date,20111213,176
GAF,Date,20130114,176
GAF,Date,20141205,176
GAF,Date,20150122,175
GAF,Date,20150414,175
GAF,Date,20140529,174
GAF,Date,20150317,174
GAF,Date,20150821,174
GAF,Date,20160128,174
GAF,Date,20160208,174
GAF,Date,20150514,173
GAF,Date,20021105,171
GAF,Date,20070906,171
GAF,Date,20110909,170
GAF,Date,20141210,170
GAF,Date,20130204,169
GAF,Date,20150812,169
GAF,Date,20140512,168
GAF,Date,20151009,167
GAF,Date,20111209,166
GAF,Date,20141217,166
GAF,Date,20110914,165
GAF,Date,20140519,165
GAF,Date,20130222,164
GAF,Date,20141204,163
GAF,Date,20100819,162
GAF,Date,20131223,162
GAF,Date,20090529,161
GAF,Date,20090803,160
GAF,Date,20090914,160
GAF,Date,20130902,160
GAF,Date,20111125,159
GAF,Date,20131206,159
GAF,Date,20140401,159
GAF,Date,20140701,159
GAF,Date,20150121,159
GAF,Date,20150717,159
GAF,Date,20150724,159
GAF,Date,20080902,158
GAF,Date,20140908,158
GAF,Date,20151125,157
GAF,Date,20100721,156
GAF,Date,20150303,156
GAF,Date,20160502,156
GAF,Date,20150515,155
GAF,Date,20110722,154
GAF,Date,20110706,153
GAF,Date,20150312,153
GAF,Date,20160616,153
GAF,Date,20160628,152
GAF,Date,20110913,150
GAF,Date,20121102,150
GAF,Date,20150528,149
GAF,Date,20150929,149
GAF,Date,20160307,149
GAF,Date,20111124,147
GAF,Date,20111202,147
GAF,Date,20120905,147
GAF,Date,20140523,146
GAF,Date,20140922,146
GAF,Date,20100203,145
GAF,Date,20130614,145
GAF,Date,20140109,145
GAF,Date,20130924,143
GAF,Date,20120730,142
GAF,Date,20141107,142
GAF,Date,20150522,142
GAF,Date,20150806,142
GAF,Date,20111206,141
GAF,Date,20120824,141
GAF,Date,20091117,140
GAF,Date,20110915,140
GAF,Date,20140514,140
GAF,Date,20051221,139
GAF,Date,20110121,139
GAF,Date,20120921,139
GAF,Date,20130517,139
GAF,Date,20061120,138
GAF,Date,20110624,138
GAF,Date,20110804,138
GAF,Date,20131209,138
GAF,Date,20110629,137
GAF,Date,20140515,137
GAF,Date,20140901,137
GAF,Date,20150429,137
GAF,Date,20150527,137
GAF,Date,20110926,136
GAF,Date,20090115,135
GAF,Date,20130130,135
GAF,Date,20140305,135
GAF,Date,20140813,134
GAF,Date,20150324,134
GAF,Date,20111103,133
GAF,Date,20151008,133
GAF,Date,20151102,133
GAF,Date,20140530,131
GAF,Date,20150708,131
GAF,Date,20100114,130
GAF,Date,20121022,130
GAF,Date,20150318,130
GAF,Date,20150519,130
GAF,Date,20070514,129
GAF,Date,20110719,129
GAF,Date,20120925,129
