filter_spec,cutoff_date_inclusive,false_positives,false_negatives,total_mismatches,exact_columns,at_least_99pct,at_least_95pct
original_six,20000627,0,144844,144844,0,0,0
original_six,20010813,0,144811,144811,0,0,0
original_six,20010814,0,144795,144795,0,0,0
original_six,20010821,0,144747,144747,0,0,0
original_six,20010822,0,144746,144746,0,0,0
original_six,20010824,0,144737,144737,0,0,0
original_six,20010828,0,144725,144725,0,0,0
original_six,20010830,0,144680,144680,0,0,0
original_six,20010831,0,144679,144679,0,0,0
original_six,20010906,0,144668,144668,0,0,0
original_six,20010912,0,144648,144648,0,0,0
original_six,20010918,0,144644,144644,0,0,0
original_six,20010920,0,144631,144631,0,0,0
original_six,20010926,0,144627,144627,0,0,0
original_six,20010928,0,144619,144619,0,0,0
original_six,20011002,0,144587,144587,0,0,0
original_six,20011004,0,144527,144527,0,0,0
original_six,20011120,0,144525,144525,0,0,0
original_six,20011206,0,144509,144509,0,0,0
original_six,20011217,0,144501,144501,0,0,0
original_six,20020111,0,144498,144498,0,0,0
original_six,20020117,0,144489,144489,0,0,0
original_six,20020123,0,144474,144474,0,0,0
original_six,20020129,0,144471,144471,0,0,0
original_six,20020212,0,144446,144446,0,0,0
original_six,20020502,0,144442,144442,0,0,0
original_six,20020503,0,144423,144423,0,0,0
original_six,20020522,0,144419,144419,0,0,0
original_six,20020529,0,144406,144406,0,0,0
original_six,20020605,0,144391,144391,0,0,0
original_six,20020606,0,144350,144350,0,0,0
original_six,20020612,0,144334,144334,0,0,0
original_six,20020618,0,144303,144303,0,0,0
original_six,20020627,0,144256,144256,0,0,0
original_six,20020730,0,144254,144254,0,0,0
original_six,20020731,0,144235,144235,0,0,0
original_six,20020806,0,144233,144233,0,0,0
original_six,20020808,0,144231,144231,0,0,0
original_six,20020814,0,144195,144195,0,0,0
original_six,20020821,0,144174,144174,0,0,0
original_six,20020822,0,144166,144166,0,0,0
original_six,20020827,0,144163,144163,0,0,0
original_six,20020828,0,144137,144137,0,0,0
original_six,20020906,0,144126,144126,0,0,0
original_six,20020913,0,144102,144102,0,0,0
original_six,20021004,0,144093,144093,0,0,0
original_six,20021011,0,144052,144052,0,0,0
original_six,20021014,0,144035,144035,0,0,0
original_six,20021104,0,144029,144029,0,0,0
original_six,20021105,0,144008,144008,0,0,0
original_six,20021106,0,143978,143978,0,0,0
original_six,20021107,0,143974,143974,0,0,0
original_six,20021114,0,143964,143964,0,0,0
original_six,20021129,0,143949,143949,0,0,0
original_six,20021216,0,143902,143902,0,0,0
original_six,20021218,0,143893,143893,0,0,0
original_six,20021223,0,143883,143883,0,0,0
original_six,20030103,0,143879,143879,0,0,0
original_six,20030106,0,143875,143875,0,0,0
original_six,20030110,0,143858,143858,0,0,0
original_six,20030116,0,143844,143844,0,0,0
original_six,20030121,0,143836,143836,0,0,0
original_six,20030129,0,143816,143816,0,0,0
original_six,20030130,0,143806,143806,0,0,0
original_six,20030205,0,143782,143782,0,0,0
original_six,20030206,0,143765,143765,0,0,0
original_six,20030212,0,143749,143749,0,0,0
original_six,20030217,0,143741,143741,0,0,0
original_six,20030228,0,143724,143724,0,0,0
original_six,20030306,0,143701,143701,0,0,0
original_six,20030317,0,143681,143681,0,0,0
original_six,20030319,0,143641,143641,0,0,0
original_six,20030324,0,143630,143630,0,0,0
original_six,20030327,0,143605,143605,0,0,0
original_six,20030328,0,143561,143561,0,0,0
original_six,20030404,0,143501,143501,0,0,0
original_six,20030418,0,143470,143470,0,0,0
original_six,20030422,0,143450,143450,0,0,0
original_six,20030423,0,143431,143431,0,0,0
original_six,20030424,0,143400,143400,0,0,0
original_six,20030425,0,143369,143369,0,0,0
original_six,20030428,0,143324,143324,0,0,0
original_six,20030519,0,143316,143316,0,0,0
original_six,20030523,0,143309,143309,0,0,0
original_six,20030609,0,143305,143305,0,0,0
original_six,20030623,0,143300,143300,0,0,0
original_six,20030627,0,143262,143262,0,0,0
original_six,20030702,0,143253,143253,0,0,0
original_six,20030703,0,143244,143244,0,0,0
original_six,20030709,0,143216,143216,0,0,0
original_six,20030716,0,143202,143202,0,0,0
original_six,20030717,0,143192,143192,0,0,0
original_six,20030721,0,143179,143179,0,0,0
original_six,20030722,0,143166,143166,0,0,0
original_six,20030723,0,143155,143155,0,0,0
original_six,20030724,0,143137,143137,0,0,0
original_six,20030728,0,143105,143105,0,0,0
original_six,20030729,0,143073,143073,0,0,0
original_six,20030801,0,143065,143065,0,0,0
original_six,20030804,0,143037,143037,0,0,0
original_six,20030805,0,142986,142986,0,0,0
original_six,20030806,0,142977,142977,0,0,0
original_six,20030807,0,142943,142943,0,0,0
original_six,20030811,0,142925,142925,0,0,0
original_six,20030813,0,142862,142862,0,0,0
original_six,20030814,0,142777,142777,0,0,0
original_six,20030818,0,142755,142755,0,0,0
original_six,20030820,0,142753,142753,0,0,0
original_six,20030821,0,142712,142712,0,0,0
original_six,20030822,0,142273,142273,0,0,0
original_six,20030826,0,142236,142236,0,0,0
original_six,20030827,0,142211,142211,0,0,0
original_six,20030904,0,142210,142210,0,0,0
original_six,20030908,0,142180,142180,0,0,0
original_six,20030909,0,142111,142111,0,0,0
original_six,20031002,0,142084,142084,0,0,0
original_six,20031021,0,142000,142000,0,0,0
original_six,20031023,0,141957,141957,0,0,0
original_six,20031031,0,141950,141950,0,0,0
original_six,20031103,0,141927,141927,0,0,0
original_six,20031106,0,141879,141879,0,0,0
original_six,20031107,0,141837,141837,0,0,0
original_six,20031111,0,141755,141755,0,0,0
original_six,20031118,0,141719,141719,0,0,0
original_six,20031121,0,141690,141690,0,0,0
original_six,20031125,0,141578,141578,0,0,0
original_six,20031127,0,141572,141572,0,0,0
original_six,20031128,0,141564,141564,0,0,0
original_six,20031201,0,141562,141562,0,0,0
original_six,20031202,0,141553,141553,0,0,0
original_six,20031211,0,141539,141539,0,0,0
original_six,20031216,0,140561,140561,0,0,0
original_six,20031219,0,140548,140548,0,0,0
original_six,20040116,0,140540,140540,0,0,0
original_six,20040121,0,140515,140515,0,0,0
original_six,20040122,0,140514,140514,0,0,0
original_six,20040128,0,140491,140491,0,0,0
original_six,20040129,0,140488,140488,0,0,0
original_six,20040202,0,140461,140461,0,0,0
original_six,20040205,0,140428,140428,0,0,0
original_six,20040211,0,140424,140424,0,0,0
original_six,20040212,0,140418,140418,0,0,0
original_six,20040216,0,140390,140390,0,0,0
original_six,20040220,0,140386,140386,0,0,0
original_six,20040223,0,140268,140268,0,0,0
original_six,20040224,0,140221,140221,0,0,0
original_six,20040226,0,140217,140217,0,0,0
original_six,20040227,0,140184,140184,0,0,0
original_six,20040301,0,140165,140165,0,0,0
original_six,20040303,0,140157,140157,0,0,0
original_six,20040305,0,140143,140143,0,0,0
original_six,20040309,0,140126,140126,0,0,0
original_six,20040310,0,140096,140096,0,0,0
original_six,20040311,0,139735,139735,0,0,0
original_six,20040312,0,139371,139371,0,0,0
original_six,20040317,0,139365,139365,0,0,0
original_six,20040319,0,139344,139344,0,0,0
original_six,20040330,0,139300,139300,0,0,0
original_six,20040405,0,139280,139280,0,0,0
original_six,20040406,0,139242,139242,0,0,0
original_six,20040407,0,139204,139204,0,0,0
original_six,20040408,0,139168,139168,0,0,0
original_six,20040413,0,139103,139103,0,0,0
original_six,20040414,0,139080,139080,0,0,0
original_six,20040415,0,139065,139065,0,0,0
original_six,20040416,0,139055,139055,0,0,0
original_six,20040419,0,139048,139048,0,0,0
original_six,20040420,0,139032,139032,0,0,0
original_six,20040421,0,139026,139026,0,0,0
original_six,20040427,0,139001,139001,0,0,0
original_six,20040430,0,138951,138951,0,0,0
original_six,20040505,0,138951,138951,0,0,0
original_six,20040506,0,138941,138941,0,0,0
original_six,20040512,0,138927,138927,0,0,0
original_six,20040513,0,138913,138913,0,0,0
original_six,20040514,0,138869,138869,0,0,0
original_six,20040518,0,138853,138853,0,0,0
original_six,20040519,0,138830,138830,0,0,0
original_six,20040524,0,138797,138797,0,0,0
original_six,20040526,0,138772,138772,0,0,0
original_six,20040528,0,138742,138742,0,0,0
original_six,20040601,0,138738,138738,0,0,0
original_six,20040602,0,138738,138738,0,0,0
original_six,20040607,0,138717,138717,0,0,0
original_six,20040608,0,138672,138672,0,0,0
original_six,20040609,0,138668,138668,0,0,0
original_six,20040610,0,138665,138665,0,0,0
original_six,20040611,0,138660,138660,0,0,0
original_six,20040614,0,138659,138659,0,0,0
original_six,20040615,0,138649,138649,0,0,0
original_six,20040616,0,138601,138601,0,0,0
original_six,20040617,0,138599,138599,0,0,0
original_six,20040622,0,138514,138514,0,0,0
original_six,20040623,0,138502,138502,0,0,0
original_six,20040629,0,138492,138492,0,0,0
original_six,20040701,0,138488,138488,0,0,0
original_six,20040702,0,138485,138485,0,0,0
original_six,20040706,0,138423,138423,0,0,0
original_six,20040707,0,138418,138418,0,0,0
original_six,20040708,0,138401,138401,0,0,0
original_six,20040709,0,138372,138372,0,0,0
original_six,20040712,0,138369,138369,0,0,0
original_six,20040716,0,138364,138364,0,0,0
original_six,20040719,0,138330,138330,0,0,0
original_six,20040720,0,138305,138305,0,0,0
original_six,20040722,0,138273,138273,0,0,0
original_six,20040723,0,138271,138271,0,0,0
original_six,20040726,0,138269,138269,0,0,0
original_six,20040727,0,138245,138245,0,0,0
original_six,20040728,0,138234,138234,0,0,0
original_six,20040729,0,138189,138189,0,0,0
original_six,20040730,0,138165,138165,0,0,0
original_six,20040802,0,138123,138123,0,0,0
original_six,20040803,0,138121,138121,0,0,0
original_six,20040804,0,138077,138077,0,0,0
original_six,20040805,0,138022,138022,0,0,0
original_six,20040806,0,138013,138013,0,0,0
original_six,20040809,0,137936,137936,0,0,0
original_six,20040810,0,137920,137920,0,0,0
original_six,20040811,0,137917,137917,0,0,0
original_six,20040812,0,137892,137892,0,0,0
original_six,20040813,0,137873,137873,0,0,0
original_six,20040816,0,137857,137857,0,0,0
original_six,20040817,0,137793,137793,0,0,0
original_six,20040818,0,137760,137760,0,0,0
original_six,20040820,0,137718,137718,0,0,0
original_six,20040823,0,137695,137695,0,0,0
original_six,20040902,0,137690,137690,0,0,0
original_six,20040906,0,137685,137685,0,0,0
original_six,20040910,0,137681,137681,0,0,0
original_six,20040914,0,137646,137646,0,0,0
original_six,20040916,0,137558,137558,0,0,0
original_six,20040921,0,137547,137547,0,0,0
original_six,20040924,0,137522,137522,0,0,0
original_six,20040929,0,137514,137514,0,0,0
original_six,20041004,0,137504,137504,0,0,0
original_six,20041005,0,137460,137460,0,0,0
original_six,20041006,0,136437,136437,0,0,0
original_six,20041007,0,136395,136395,0,0,0
original_six,20041008,0,136377,136377,0,0,0
original_six,20041014,0,136367,136367,0,0,0
original_six,20041015,0,136337,136337,0,0,0
original_six,20041018,0,136222,136222,0,0,0
original_six,20041019,0,136175,136175,0,0,0
original_six,20041020,0,136145,136145,0,0,0
original_six,20041021,0,136142,136142,0,0,0
original_six,20041022,0,136134,136134,0,0,0
original_six,20041025,0,136121,136121,0,0,0
original_six,20041026,0,136112,136112,0,0,0
original_six,20041027,0,136110,136110,0,0,0
original_six,20041029,0,136089,136089,0,0,0
original_six,20041101,0,136049,136049,0,0,0
original_six,20041102,0,136041,136041,0,0,0
original_six,20041103,0,136028,136028,0,0,0
original_six,20041105,0,135987,135987,0,0,0
original_six,20041109,0,135944,135944,0,0,0
original_six,20041111,0,135943,135943,0,0,0
original_six,20041116,0,135924,135924,0,0,0
original_six,20041118,0,135910,135910,0,0,0
original_six,20041119,0,135806,135806,0,0,0
original_six,20041122,0,135793,135793,0,0,0
original_six,20041130,0,135757,135757,0,0,0
original_six,20041201,0,135738,135738,0,0,0
original_six,20041203,0,135648,135648,0,0,0
original_six,20041206,0,135625,135625,0,0,0
original_six,20041207,0,135593,135593,0,0,0
original_six,20041210,0,135540,135540,0,0,0
original_six,20041213,0,135538,135538,0,0,0
original_six,20041217,0,135469,135469,0,0,0
original_six,20050103,0,135465,135465,0,0,0
original_six,20050107,0,135461,135461,0,0,0
original_six,20050114,0,135423,135423,0,0,0
original_six,20050118,0,135404,135404,0,0,0
original_six,20050119,0,135404,135404,0,0,0
original_six,20050127,0,135396,135396,0,0,0
original_six,20050128,0,135373,135373,0,0,0
original_six,20050131,0,135345,135345,0,0,0
original_six,20050202,0,135288,135288,0,0,0
original_six,20050203,0,135276,135276,0,0,0
original_six,20050208,0,135230,135230,0,0,0
original_six,20050210,0,135202,135202,0,0,0
original_six,20050211,0,135186,135186,0,0,0
original_six,20050214,0,135107,135107,0,0,0
original_six,20050215,0,135064,135064,0,0,0
original_six,20050216,0,134836,134836,0,0,0
original_six,20050217,0,134704,134704,0,0,0
original_six,20050218,0,134569,134569,0,0,0
original_six,20050221,0,134490,134490,0,0,0
original_six,20050222,0,134461,134461,0,0,0
original_six,20050224,0,134455,134455,0,0,0
original_six,20050301,0,134447,134447,0,0,0
original_six,20050302,0,134403,134403,0,0,0
original_six,20050303,0,134394,134394,0,0,0
original_six,20050308,0,134259,134259,0,0,0
original_six,20050311,0,134241,134241,0,0,0
original_six,20050316,0,134165,134165,0,0,0
original_six,20050318,0,134153,134153,0,0,0
original_six,20050322,0,134024,134024,0,0,0
original_six,20050323,0,133983,133983,0,0,0
original_six,20050324,0,133981,133981,0,0,0
original_six,20050329,0,133955,133955,0,0,0
original_six,20050330,0,133947,133947,0,0,0
original_six,20050331,0,133913,133913,0,0,0
original_six,20050405,0,133905,133905,0,0,0
original_six,20050408,0,133851,133851,0,0,0
original_six,20050412,0,133739,133739,0,0,0
original_six,20050413,0,133701,133701,0,0,0
original_six,20050415,0,133662,133662,0,0,0
original_six,20050418,0,133460,133460,0,0,0
original_six,20050426,0,133426,133426,0,0,0
original_six,20050427,0,133417,133417,0,0,0
original_six,20050428,0,133357,133357,0,0,0
original_six,20050429,0,133342,133342,0,0,0
original_six,20050503,0,133282,133282,0,0,0
original_six,20050504,0,133272,133272,0,0,0
original_six,20050505,0,133256,133256,0,0,0
original_six,20050506,0,133225,133225,0,0,0
original_six,20050513,0,133212,133212,0,0,0
original_six,20050519,0,133177,133177,0,0,0
original_six,20050523,0,133124,133124,0,0,0
original_six,20050524,0,133096,133096,0,0,0
original_six,20050526,0,133049,133049,0,0,0
original_six,20050527,0,133029,133029,0,0,0
original_six,20050531,0,132983,132983,0,0,0
original_six,20050603,0,132939,132939,0,0,0
original_six,20050607,0,132924,132924,0,0,0
original_six,20050608,0,132901,132901,0,0,0
original_six,20050609,0,132851,132851,0,0,0
original_six,20050610,0,132824,132824,0,0,0
original_six,20050613,0,132699,132699,0,0,0
original_six,20050616,0,132690,132690,0,0,0
original_six,20050620,0,132681,132681,0,0,0
original_six,20050623,0,132607,132607,0,0,0
original_six,20050624,0,132597,132597,0,0,0
original_six,20050627,0,132507,132507,0,0,0
original_six,20050628,0,132465,132465,0,0,0
original_six,20050630,0,132419,132419,0,0,0
original_six,20050701,0,132406,132406,0,0,0
original_six,20050704,0,132390,132390,0,0,0
original_six,20050705,0,132387,132387,0,0,0
original_six,20050707,0,132379,132379,0,0,0
original_six,20050708,0,132356,132356,0,0,0
original_six,20050711,0,132352,132352,0,0,0
original_six,20050712,0,132342,132342,0,0,0
original_six,20050714,0,132339,132339,0,0,0
original_six,20050715,0,132277,132277,0,0,0
original_six,20050719,0,132262,132262,0,0,0
original_six,20050720,0,132254,132254,0,0,0
original_six,20050721,0,132228,132228,0,0,0
original_six,20050722,0,132197,132197,0,0,0
original_six,20050725,0,132194,132194,0,0,0
original_six,20050801,0,132158,132158,0,0,0
original_six,20050808,0,132158,132158,0,0,0
original_six,20050809,0,132091,132091,0,0,0
original_six,20050810,0,132085,132085,0,0,0
original_six,20050811,0,132073,132073,0,0,0
original_six,20050812,0,132045,132045,0,0,0
original_six,20050818,0,132042,132042,0,0,0
original_six,20050825,0,132036,132036,0,0,0
original_six,20050826,0,132036,132036,0,0,0
original_six,20050905,0,132020,132020,0,0,0
original_six,20050906,0,131963,131963,0,0,0
original_six,20050920,0,131941,131941,0,0,0
original_six,20050921,0,131897,131897,0,0,0
original_six,20050922,0,131876,131876,0,0,0
original_six,20050923,0,131772,131772,0,0,0
original_six,20050926,0,131769,131769,0,0,0
original_six,20050927,0,131699,131699,0,0,0
original_six,20050928,0,131684,131684,0,0,0
original_six,20050930,0,131622,131622,0,0,0
original_six,20051004,0,131574,131574,0,0,0
original_six,20051007,0,131548,131548,0,0,0
original_six,20051010,0,131486,131486,0,0,0
original_six,20051011,0,131463,131463,0,0,0
original_six,20051017,0,131455,131455,0,0,0
original_six,20051018,0,131450,131450,0,0,0
original_six,20051020,0,131450,131450,0,0,0
original_six,20051021,0,131379,131379,0,0,0
original_six,20051024,0,131373,131373,0,0,0
original_six,20051025,0,131368,131368,0,0,0
original_six,20051026,0,131354,131354,0,0,0
original_six,20051027,0,131348,131348,0,0,0
original_six,20051028,0,131284,131284,0,0,0
original_six,20051031,0,131269,131269,0,0,0
original_six,20051101,0,131262,131262,0,0,0
