namespace,mask_integer,evidence_codes,evidence_count,false_positives,false_negatives,total_mismatches,exact_columns,namespace_column_count,at_least_99pct,at_least_95pct
biological_process,744,IDA|IEP|IGI|IMP|ISS,5,0,0,0,85,85,85,85
biological_process,745,EXP|IDA|IEP|IGI|IMP|ISS,6,0,0,0,85,85,85,85
biological_process,2792,IDA|IEP|IGI|IMP|ISS|ND,6,16,0,16,84,85,85,85
biological_process,2793,EXP|IDA|IEP|IGI|IMP|ISS|ND,7,16,0,16,84,85,85,85
biological_process,1000,IDA|IEP|IGI|IMP|IPI|ISS,6,141,0,141,44,85,85,85
biological_process,1001,EXP|IDA|IEP|IGI|IMP|IPI|ISS,7,141,0,141,44,85,85,85
biological_process,3048,IDA|IEP|IGI|IMP|IPI|ISS|ND,7,157,0,157,44,85,85,85
biological_process,3049,EXP|IDA|IEP|IGI|IMP|IPI|ISS|ND,8,157,0,157,44,85,85,85
biological_process,712,IDA|IGI|IMP|ISS,4,0,804,804,20,85,79,85
biological_process,713,EXP|IDA|IGI|IMP|ISS,5,0,804,804,20,85,79,85
biological_process,2760,IDA|IGI|IMP|ISS|ND,5,16,804,820,20,85,78,85
biological_process,2761,EXP|IDA|IGI|IMP|ISS|ND,6,16,804,820,20,85,78,85
biological_process,748,IC|IDA|IEP|IGI|IMP|ISS,6,845,0,845,1,85,85,85
biological_process,749,EXP|IC|IDA|IEP|IGI|IMP|ISS,7,845,0,845,1,85,85,85
biological_process,2796,IC|IDA|IEP|IGI|IMP|ISS|ND,7,861,0,861,1,85,85,85
biological_process,2797,EXP|IC|IDA|IEP|IGI|IMP|ISS|ND,8,861,0,861,1,85,85,85
biological_process,680,IDA|IEP|IMP|ISS,4,0,864,864,0,85,85,85
biological_process,681,EXP|IDA|IEP|IMP|ISS,5,0,864,864,0,85,85,85
biological_process,2728,IDA|IEP|IMP|ISS|ND,5,16,864,880,0,85,85,85
biological_process,2729,EXP|IDA|IEP|IMP|ISS|ND,6,16,864,880,0,85,85,85
biological_process,968,IDA|IGI|IMP|IPI|ISS,5,141,802,943,18,85,79,85
biological_process,969,EXP|IDA|IGI|IMP|IPI|ISS,6,141,802,943,18,85,79,85
biological_process,3016,IDA|IGI|IMP|IPI|ISS|ND,6,157,802,959,18,85,78,85
biological_process,3017,EXP|IDA|IGI|IMP|IPI|ISS|ND,7,157,802,959,18,85,78,85
biological_process,1004,IC|IDA|IEP|IGI|IMP|IPI|ISS,7,986,0,986,1,85,84,85
biological_process,1005,EXP|IC|IDA|IEP|IGI|IMP|IPI|ISS,8,986,0,986,1,85,84,85
biological_process,3052,IC|IDA|IEP|IGI|IMP|IPI|ISS|ND,8,1002,0,1002,1,85,84,85
biological_process,3053,EXP|IC|IDA|IEP|IGI|IMP|IPI|ISS|ND,9,1002,0,1002,1,85,84,85
biological_process,936,IDA|IEP|IMP|IPI|ISS,5,141,862,1003,0,85,83,85
biological_process,937,EXP|IDA|IEP|IMP|IPI|ISS,6,141,862,1003,0,85,83,85
biological_process,2984,IDA|IEP|IMP|IPI|ISS|ND,6,157,862,1019,0,85,83,85
biological_process,2985,EXP|IDA|IEP|IMP|IPI|ISS|ND,7,157,862,1019,0,85,83,85
