mask_integer,evidence_codes,evidence_count,false_positives,false_negatives,total_mismatches,exact_columns,at_least_99pct,at_least_95pct
745,EXP|IDA|IEP|IGI|IMP|ISS,6,13,0,13,108,121,121
744,IDA|IEP|IGI|IMP|ISS,5,13,85,98,105,121,121
2793,EXP|IDA|IEP|IGI|IMP|ISS|ND,7,103,0,103,106,120,121
2792,IDA|IEP|IGI|IMP|ISS|ND,6,103,84,187,104,120,121
713,EXP|IDA|IGI|IMP|ISS,5,13,804,817,43,115,121
681,EXP|IDA|IEP|IMP|ISS,5,13,875,888,15,121,121
712,IDA|IGI|IMP|ISS,4,13,889,902,40,115,121
2761,EXP|IDA|IGI|IMP|ISS|ND,6,103,804,907,42,113,121
680,IDA|IEP|IMP|ISS,4,13,960,973,14,121,121
2729,EXP|IDA|IEP|IMP|ISS|ND,6,103,875,978,15,120,121
2760,IDA|IGI|IMP|ISS|ND,5,103,888,991,40,113,121
2728,IDA|IEP|IMP|ISS|ND,5,103,959,1062,14,120,121
749,EXP|IC|IDA|IEP|IGI|IMP|ISS,7,1129,0,1129,10,121,121
748,IC|IDA|IEP|IGI|IMP|ISS,6,1129,85,1214,9,121,121
2797,EXP|IC|IDA|IEP|IGI|IMP|ISS|ND,8,1219,0,1219,10,119,121
2796,IC|IDA|IEP|IGI|IMP|ISS|ND,7,1219,84,1303,9,119,121
649,EXP|IDA|IMP|ISS,4,13,1681,1694,15,112,121
648,IDA|IMP|ISS,3,13,1766,1779,14,112,121
2697,EXP|IDA|IMP|ISS|ND,5,103,1681,1784,15,111,121
2696,IDA|IMP|ISS|ND,4,103,1765,1868,14,111,121
717,EXP|IC|IDA|IGI|IMP|ISS,6,1129,793,1922,10,113,121
685,EXP|IC|IDA|IEP|IMP|ISS,6,1129,824,1953,9,112,121
716,IC|IDA|IGI|IMP|ISS,5,1129,878,2007,9,113,121
2765,EXP|IC|IDA|IGI|IMP|ISS|ND,7,1219,793,2012,10,110,121
684,IC|IDA|IEP|IMP|ISS,5,1129,909,2038,8,112,121
2733,EXP|IC|IDA|IEP|IMP|ISS|ND,7,1219,824,2043,9,109,121
2764,IC|IDA|IGI|IMP|ISS|ND,6,1219,877,2096,9,110,121
2732,IC|IDA|IEP|IMP|ISS|ND,6,1219,908,2127,8,109,121
653,EXP|IC|IDA|IMP|ISS,5,1129,1619,2748,9,101,121
652,IC|IDA|IMP|ISS,4,1129,1704,2833,8,101,121
2701,EXP|IC|IDA|IMP|ISS|ND,6,1219,1619,2838,9,99,121
2700,IC|IDA|IMP|ISS|ND,5,1219,1703,2922,8,99,121
1769,EXP|IDA|IEP|IGI|IMP|ISS|NAS,7,4769,0,4769,4,72,121
1768,IDA|IEP|IGI|IMP|ISS|NAS,6,4769,79,4848,4,71,121
3817,EXP|IDA|IEP|IGI|IMP|ISS|NAS|ND,8,4859,0,4859,4,72,121
3816,IDA|IEP|IGI|IMP|ISS|NAS|ND,7,4859,78,4937,4,71,120
1001,EXP|IDA|IEP|IGI|IMP|IPI|ISS,7,5020,0,5020,60,118,118
1000,IDA|IEP|IGI|IMP|IPI|ISS,6,5020,64,5084,58,118,118
3049,EXP|IDA|IEP|IGI|IMP|IPI|ISS|ND,8,5095,0,5095,60,118,118
3048,IDA|IEP|IGI|IMP|IPI|ISS|ND,7,5095,63,5158,58,118,118
1737,EXP|IDA|IGI|IMP|ISS|NAS,6,4769,742,5511,4,64,121
1705,EXP|IDA|IEP|IMP|ISS|NAS,6,4769,796,5565,4,62,121
1736,IDA|IGI|IMP|ISS|NAS,5,4769,821,5590,4,63,121
3785,EXP|IDA|IGI|IMP|ISS|NAS|ND,7,4859,742,5601,4,64,121
1704,IDA|IEP|IMP|ISS|NAS,5,4769,875,5644,4,61,121
3753,EXP|IDA|IEP|IMP|ISS|NAS|ND,7,4859,796,5655,4,62,120
3784,IDA|IGI|IMP|ISS|NAS|ND,6,4859,820,5679,4,63,120
3752,IDA|IEP|IMP|ISS|NAS|ND,6,4859,874,5733,4,61,120
1773,EXP|IC|IDA|IEP|IGI|IMP|ISS|NAS,8,5742,0,5742,4,58,121
1772,IC|IDA|IEP|IGI|IMP|ISS|NAS,7,5742,79,5821,4,57,121
969,EXP|IDA|IGI|IMP|IPI|ISS,6,5020,802,5822,34,112,118
3821,EXP|IC|IDA|IEP|IGI|IMP|ISS|NAS|ND,9,5832,0,5832,4,58,120
968,IDA|IGI|IMP|IPI|ISS,5,5020,866,5886,32,112,118
937,EXP|IDA|IEP|IMP|IPI|ISS,6,5020,870,5890,11,116,118
3017,EXP|IDA|IGI|IMP|IPI|ISS|ND,7,5095,802,5897,34,111,118
3820,IC|IDA|IEP|IGI|IMP|ISS|NAS|ND,8,5832,78,5910,4,57,120
936,IDA|IEP|IMP|IPI|ISS,5,5020,934,5954,10,116,118
3016,IDA|IGI|IMP|IPI|ISS|ND,6,5095,865,5960,32,111,118
2985,EXP|IDA|IEP|IMP|IPI|ISS|ND,7,5095,870,5965,11,116,118
2984,IDA|IEP|IMP|IPI|ISS|ND,6,5095,933,6028,10,116,118
1005,EXP|IC|IDA|IEP|IGI|IMP|IPI|ISS,8,6119,0,6119,9,117,118
1004,IC|IDA|IEP|IGI|IMP|IPI|ISS,7,6119,64,6183,8,117,118
3053,EXP|IC|IDA|IEP|IGI|IMP|IPI|ISS|ND,9,6194,0,6194,9,116,118
3052,IC|IDA|IEP|IGI|IMP|IPI|ISS|ND,8,6194,63,6257,8,116,118
1673,EXP|IDA|IMP|ISS|NAS,5,4769,1540,6309,4,56,121
1672,IDA|IMP|ISS|NAS,4,4769,1619,6388,4,55,121
3721,EXP|IDA|IMP|ISS|NAS|ND,6,4859,1540,6399,4,56,120
1741,EXP|IC|IDA|IGI|IMP|ISS|NAS,7,5742,731,6473,4,51,121
3720,IDA|IMP|ISS|NAS|ND,5,4859,1618,6477,4,55,120
1709,EXP|IC|IDA|IEP|IMP|ISS|NAS,7,5742,757,6499,4,50,121
1740,IC|IDA|IGI|IMP|ISS|NAS,6,5742,810,6552,4,50,121
3789,EXP|IC|IDA|IGI|IMP|ISS|NAS|ND,8,5832,731,6563,4,51,120
1708,IC|IDA|IEP|IMP|ISS|NAS,6,5742,836,6578,4,49,121
3757,EXP|IC|IDA|IEP|IMP|ISS|NAS|ND,8,5832,757,6589,4,50,120
3788,IC|IDA|IGI|IMP|ISS|NAS|ND,7,5832,809,6641,4,50,120
3756,IC|IDA|IEP|IMP|ISS|NAS|ND,7,5832,835,6667,4,49,120
905,EXP|IDA|IMP|IPI|ISS,5,5020,1674,6694,11,107,118
904,IDA|IMP|IPI|ISS,4,5020,1738,6758,10,107,118
2953,EXP|IDA|IMP|IPI|ISS|ND,6,5095,1674,6769,11,107,118
2952,IDA|IMP|IPI|ISS|ND,5,5095,1737,6832,10,107,118
973,EXP|IC|IDA|IGI|IMP|IPI|ISS,7,6119,791,6910,9,104,118
941,EXP|IC|IDA|IEP|IMP|IPI|ISS,7,6119,819,6938,8,106,118
972,IC|IDA|IGI|IMP|IPI|ISS,6,6119,855,6974,8,104,118
3021,EXP|IC|IDA|IGI|IMP|IPI|ISS|ND,8,6194,791,6985,9,103,118
940,IC|IDA|IEP|IMP|IPI|ISS,6,6119,883,7002,7,106,118
2989,EXP|IC|IDA|IEP|IMP|IPI|ISS|ND,8,6194,819,7013,8,104,118
3020,IC|IDA|IGI|IMP|IPI|ISS|ND,7,6194,854,7048,8,103,118
2988,IC|IDA|IEP|IMP|IPI|ISS|ND,7,6194,882,7076,7,104,118
1677,EXP|IC|IDA|IMP|ISS|NAS,6,5742,1490,7232,4,45,121
1676,IC|IDA|IMP|ISS|NAS,5,5742,1569,7311,4,44,121
3725,EXP|IC|IDA|IMP|ISS|NAS|ND,7,5832,1490,7322,4,45,120
3724,IC|IDA|IMP|ISS|NAS|ND,6,5832,1568,7400,4,44,120
909,EXP|IC|IDA|IMP|IPI|ISS,6,6119,1612,7731,8,97,118
908,IC|IDA|IMP|IPI|ISS,5,6119,1676,7795,7,97,118
2957,EXP|IC|IDA|IMP|IPI|ISS|ND,7,6194,1612,7806,8,96,118
2956,IC|IDA|IMP|IPI|ISS|ND,6,6194,1675,7869,7,96,118
747,EXP|IBA|IDA|IEP|IGI|IMP|ISS,7,8377,0,8377,3,33,117
746,IBA|IDA|IEP|IGI|IMP|ISS,6,8377,56,8433,3,33,117
2795,EXP|IBA|IDA|IEP|IGI|IMP|ISS|ND,8,8454,0,8454,3,33,117
2794,IBA|IDA|IEP|IGI|IMP|ISS|ND,7,8454,56,8510,3,33,117
