filter_spec,CC_max_is_a_distance,MF_max_is_a_distance,false_positives,false_negatives,total_mismatches,exact_columns,at_least_99pct,at_least_95pct
original_six,0,0,3,44290,44293,86,91,91
original_six,0,1,3,43151,43154,86,92,92
original_six,0,2,3,40735,40738,86,92,93
original_six,0,3,3,37723,37726,87,92,96
original_six,0,4,3,35558,35561,88,93,98
original_six,0,5,3,34357,34360,88,95,98
original_six,0,6,3,33851,33854,90,97,100
original_six,0,7,3,33585,33588,92,99,100
original_six,0,8,3,33489,33492,94,100,100
original_six,0,9,3,33473,33476,95,100,100
original_six,0,10,3,33471,33474,96,100,100
original_six,0,11,3,33471,33474,96,100,100
original_six,0,12,3,33471,33474,96,100,100
original_six,0,99,3,33471,33474,96,100,100
original_six,1,0,6,35969,35975,87,91,93
original_six,1,1,6,34830,34836,87,92,94
original_six,1,2,6,32414,32420,87,92,95
original_six,1,3,6,29402,29408,88,92,98
original_six,1,4,6,27237,27243,89,93,100
original_six,1,5,6,26036,26042,89,95,100
original_six,1,6,6,25530,25536,91,97,102
original_six,1,7,6,25264,25270,93,99,102
original_six,1,8,6,25168,25174,95,100,102
original_six,1,9,6,25152,25158,96,100,102
original_six,1,10,6,25150,25156,97,100,102
original_six,1,11,6,25150,25156,97,100,102
original_six,1,12,6,25150,25156,97,100,102
original_six,1,99,6,25150,25156,97,100,102
original_six,2,0,10,23355,23365,89,93,100
original_six,2,1,10,22216,22226,89,94,101
original_six,2,2,10,19800,19810,89,94,102
original_six,2,3,10,16788,16798,90,94,105
original_six,2,4,10,14623,14633,91,95,107
original_six,2,5,10,13422,13432,91,97,107
original_six,2,6,10,12916,12926,93,99,109
original_six,2,7,10,12650,12660,95,101,109
original_six,2,8,10,12554,12564,97,102,109
original_six,2,9,10,12538,12548,98,102,109
original_six,2,10,10,12536,12546,99,102,109
original_six,2,11,10,12536,12546,99,102,109
original_six,2,12,10,12536,12546,99,102,109
original_six,2,99,10,12536,12546,99,102,109
original_six,3,0,13,14461,14474,90,99,108
original_six,3,1,13,13322,13335,90,100,109
original_six,3,2,13,10906,10919,90,100,110
original_six,3,3,13,7894,7907,91,100,113
original_six,3,4,13,5729,5742,92,101,115
original_six,3,5,13,4528,4541,92,103,115
original_six,3,6,13,4022,4035,94,105,117
original_six,3,7,13,3756,3769,96,107,117
original_six,3,8,13,3660,3673,98,108,117
original_six,3,9,13,3644,3657,99,108,117
original_six,3,10,13,3642,3655,100,108,117
original_six,3,11,13,3642,3655,100,108,117
original_six,3,12,13,3642,3655,100,108,117
original_six,3,99,13,3642,3655,100,108,117
original_six,4,0,13,11675,11688,92,105,111
original_six,4,1,13,10536,10549,92,106,112
original_six,4,2,13,8120,8133,92,106,113
original_six,4,3,13,5108,5121,93,106,116
original_six,4,4,13,2943,2956,94,107,118
original_six,4,5,13,1742,1755,94,109,118
original_six,4,6,13,1236,1249,96,111,120
original_six,4,7,13,970,983,98,113,120
original_six,4,8,13,874,887,100,114,120
