filter_spec,excluded_assigned_by,false_positives,false_negatives,total_mismatches,exact_columns,at_least_99pct,at_least_95pct,delta_total_mismatches_vs_no_exclusion
original_six,AgBase,13,249,262,28,121,121,249
original_six,Alzheimers_University_of_Toronto,13,105,118,37,121,121,105
original_six,BHF-UCL,13,19997,20010,4,9,83,19997
original_six,CACAO,13,507,520,20,121,121,507
original_six,DFLAT,13,107,120,67,121,121,107
original_six,FlyBase,13,152,165,56,121,121,152
original_six,GDB,13,76,89,83,121,121,76
original_six,GO_Central,13,177,190,41,121,121,177
original_six,HGNC,13,2357,2370,4,115,121,2357
original_six,HPA,8,4784,4792,102,103,111,4779
original_six,LIFEdb,13,145,158,101,121,121,145
original_six,MGI,13,3621,3634,4,94,121,3621
original_six,NTNU_SB,13,768,781,66,121,121,768
original_six,PINC,13,10,23,98,121,121,10
original_six,ParkinsonsUK-UCL,13,1677,1690,9,119,121,1677
original_six,Reactome,13,85,98,105,121,121,85
original_six,SGD,13,2,15,107,121,121,2
original_six,SYSCILIA_CCNET,13,31,44,97,121,121,31
original_six,UniProt,8,75090,75098,0,1,2,75085
original_six,WormBase,13,18,31,93,121,121,18
original_six,dictyBase,13,9,22,99,121,121,9
best_global_after_qualifier_exclusion,AgBase,13,249,262,28,121,121,249
best_global_after_qualifier_exclusion,Alzheimers_University_of_Toronto,13,105,118,37,121,121,105
best_global_after_qualifier_exclusion,BHF-UCL,13,19997,20010,4,9,83,19997
best_global_after_qualifier_exclusion,CACAO,13,507,520,20,121,121,507
best_global_after_qualifier_exclusion,DFLAT,13,107,120,67,121,121,107
best_global_after_qualifier_exclusion,FlyBase,13,152,165,56,121,121,152
best_global_after_qualifier_exclusion,GDB,13,76,89,83,121,121,76
best_global_after_qualifier_exclusion,GO_Central,13,177,190,41,121,121,177
best_global_after_qualifier_exclusion,HGNC,13,2357,2370,4,115,121,2357
best_global_after_qualifier_exclusion,HPA,8,4784,4792,102,103,111,4779
best_global_after_qualifier_exclusion,LIFEdb,13,145,158,101,121,121,145
best_global_after_qualifier_exclusion,MGI,13,3621,3634,4,94,121,3621
best_global_after_qualifier_exclusion,NTNU_SB,13,768,781,66,121,121,768
best_global_after_qualifier_exclusion,PINC,13,10,23,98,121,121,10
best_global_after_qualifier_exclusion,ParkinsonsUK-UCL,13,1677,1690,9,119,121,1677
best_global_after_qualifier_exclusion,Reactome,13,85,98,105,121,121,85
best_global_after_qualifier_exclusion,SGD,13,2,15,107,121,121,2
best_global_after_qualifier_exclusion,SYSCILIA_CCNET,13,31,44,97,121,121,31
best_global_after_qualifier_exclusion,UniProt,8,75090,75098,0,1,2,75085
best_global_after_qualifier_exclusion,WormBase,13,18,31,93,121,121,18
best_global_after_qualifier_exclusion,dictyBase,13,9,22,99,121,121,9
