scope,group_definition,metric,nonexact_n,exact_n,nonexact_median,exact_median,mann_whitney_u,two_sided_p_value,cliffs_delta_nonexact_minus_exact,caveat
all_aspects,nonexact_under_all_relations_vs_exact_under_all_relations,min_is_a_depth_from_namespace_root,32,89,2.0,3,644.5,3.1937383186275687e-06,-0.5474016853932584,Aspect composition is confounded in all_aspects; the CC/MF comparison has only four exact columns.
all_aspects,nonexact_under_all_relations_vs_exact_under_all_relations,max_is_a_depth_from_namespace_root,32,89,2.0,4,721.0,2.8000072448178837e-05,-0.4936797752808989,Aspect composition is confounded in all_aspects; the CC/MF comparison has only four exact columns.
all_aspects,nonexact_under_all_relations_vs_exact_under_all_relations,descendant_count_including_self,32,89,468.0,1434,903.5,0.002243330644387929,-0.3655196629213483,Aspect composition is confounded in all_aspects; the CC/MF comparison has only four exact columns.
all_aspects,nonexact_under_all_relations_vs_exact_under_all_relations,all_relation_predicted_positive_genes,32,89,1231.5,893,1864.5,0.009714722920830515,0.30933988764044945,Aspect composition is confounded in all_aspects; the CC/MF comparison has only four exact columns.
all_aspects,nonexact_under_all_relations_vs_exact_under_all_relations,predicted_information_content_bits_default,32,89,1.8539567973739772,2.256828095703202,1044.0,0.025729705556246756,-0.26685393258426965,Aspect composition is confounded in all_aspects; the CC/MF comparison has only four exact columns.
cellular_component_and_molecular_function_only,nonexact_under_all_relations_vs_exact_under_all_relations,min_is_a_depth_from_namespace_root,32,4,2.0,3.0,31.5,0.09309786376052519,-0.5078125,Aspect composition is confounded in all_aspects; the CC/MF comparison has only four exact columns.
cellular_component_and_molecular_function_only,nonexact_under_all_relations_vs_exact_under_all_relations,max_is_a_depth_from_namespace_root,32,4,2.0,3.5,34.0,0.12588735692765682,-0.46875,Aspect composition is confounded in all_aspects; the CC/MF comparison has only four exact columns.
cellular_component_and_molecular_function_only,nonexact_under_all_relations_vs_exact_under_all_relations,descendant_count_including_self,32,4,468.0,12.5,121.5,0.004108013927776501,0.8984375,Aspect composition is confounded in all_aspects; the CC/MF comparison has only four exact columns.
cellular_component_and_molecular_function_only,nonexact_under_all_relations_vs_exact_under_all_relations,all_relation_predicted_positive_genes,32,4,1231.5,945.5,104.0,0.04675025887813774,0.625,Aspect composition is confounded in all_aspects; the CC/MF comparison has only four exact columns.
cellular_component_and_molecular_function_only,nonexact_under_all_relations_vs_exact_under_all_relations,predicted_information_content_bits_default,32,4,1.8539567973739772,2.174415856037747,27.0,0.06613225140672252,-0.578125,Aspect composition is confounded in all_aspects; the CC/MF comparison has only four exact columns.
