selected_GO_ID,selected_GO_name,label_columns,candidate_immediate_edges_considered,search_method,minimum_mismatches_after_edge_deletions,false_negatives_at_optimum,false_positives_at_optimum,edges_deleted_at_optimum,deleted_child_GO_IDs
GO:0005575,cellular_component,116,3,exhaustive,1,0,1,0,
GO:0005634,nucleus,27,0,exhaustive,1,0,1,0,
GO:0005654,nucleoplasm,20,0,exhaustive,1,0,1,0,
GO:0005737,cytoplasm,7,0,exhaustive,1,0,1,0,
GO:0043226,organelle,26,2,exhaustive,1,0,1,0,
GO:0043227,membrane-bounded organelle,25,1,exhaustive,1,0,1,0,
GO:0043229,intracellular organelle,119,1,exhaustive,1,0,1,0,
GO:0043231,intracellular membrane-bounded organelle,100,1,exhaustive,1,0,1,0,
GO:0044422,organelle part,68,1,exhaustive,1,0,1,0,
GO:0044424,intracellular part,117,3,exhaustive,1,0,1,0,
GO:0044428,nuclear part,110,1,exhaustive,1,0,1,0,
GO:0044446,intracellular organelle part,108,1,exhaustive,1,0,1,0,
GO:0044464,cell part,118,1,exhaustive,1,0,1,0,
