label_column,GO_ID,GO_name,namespace,min_is_a_depth_from_namespace_root,max_is_a_depth_from_namespace_root,descendant_count_including_self,observed_positive_genes,all_relation_predicted_positive_genes,all_relation_false_positives,false_positives_eliminated_by_excluding_qualified_relations,default_relation_false_positives,default_relation_exact
95,GO:0003824,catalytic activity,molecular_function,1,1,6730,1149,1253,104,104,0,1
69,GO:0043234,protein complex,cellular_component,2,2,1867,1080,1165,85,85,0,1
12,GO:0003674,molecular_function,molecular_function,0,0,10236,2905,2989,84,84,0,1
35,GO:0032991,macromolecular complex,cellular_component,1,1,2062,1253,1332,79,79,0,1
84,GO:0016740,transferase activity,molecular_function,2,2,2120,582,637,55,55,0,1
68,GO:0044422,organelle part,cellular_component,1,1,1497,1737,1780,43,42,1,0
108,GO:0044446,intracellular organelle part,cellular_component,2,3,1382,1697,1740,43,42,1,0
81,GO:0005488,binding,molecular_function,1,1,1832,2035,2073,38,38,0,1
102,GO:0044425,membrane part,cellular_component,1,1,818,726,759,33,33,0,1
110,GO:0044428,nuclear part,cellular_component,3,4,480,1149,1180,31,30,1,0
106,GO:0005515,protein binding,molecular_function,2,2,990,1153,1182,29,29,0,1
3,GO:1901363,heterocyclic compound binding,molecular_function,2,2,456,935,959,24,24,0,1
6,GO:0097159,organic cyclic compound binding,molecular_function,2,2,497,961,985,24,24,0,1
109,GO:0044444,cytoplasmic part,cellular_component,3,3,1161,1389,1413,24,24,0,1
5,GO:0003676,nucleic acid binding,molecular_function,3,3,335,749,771,22,22,0,1
