policy,difference_type,label_column,GO_ID,GO_name,namespace,GeneID,selected_min_depth,selected_max_depth,selected_descendant_count,witness_annotation_rows,distinct_direct_GO_terms,direct_GO_terms,minimum_support_distance,maximum_support_distance,has_direct_selected_term_annotation,immediate_child_branches_to_selected,immediate_child_GO_IDs,accessions,mapping_methods,evidence_codes,assigned_by,annotation_dates,references,can_ontology_is_a_edge_drift_alone_remove_pair
original_six_default_relations,false_positive,7,GO:0005737,cytoplasm,cellular_component,25788,3,3,23,1,1,GO:0005737,0,0,1,0,,O95073,historical_gp2protein_all_edges,IDA,HPA,20151016,GO_REF:0000052,0
original_six_default_relations,false_positive,20,GO:0005654,nucleoplasm,cellular_component,25788,4,5,1,1,1,GO:0005654,0,0,1,0,,O95073,historical_gp2protein_all_edges,IDA,HPA,20151016,GO_REF:0000052,0
original_six_default_relations,false_positive,25,GO:0043227,membrane-bounded organelle,cellular_component,25788,2,2,213,1,1,GO:0005634,2,2,0,1,GO:0043231,O95073,historical_gp2protein_all_edges,IDA,UniProt,20120326,PMID:20531236,1
original_six_default_relations,false_positive,26,GO:0043226,organelle,cellular_component,25788,1,1,369,1,1,GO:0005634,3,3,0,2,GO:0043227|GO:0043229,O95073,historical_gp2protein_all_edges,IDA,UniProt,20120326,PMID:20531236,1
original_six_default_relations,false_positive,27,GO:0005634,nucleus,cellular_component,25788,4,5,21,1,1,GO:0005634,0,0,1,0,,O95073,historical_gp2protein_all_edges,IDA,UniProt,20120326,PMID:20531236,0
original_six_default_relations,false_positive,68,GO:0044422,organelle part,cellular_component,25788,1,1,1497,1,1,GO:0005654,3,3,0,1,GO:0044446,O95073,historical_gp2protein_all_edges,IDA,HPA,20151016,GO_REF:0000052,1
original_six_default_relations,false_positive,100,GO:0043231,intracellular membrane-bounded organelle,cellular_component,25788,3,4,193,1,1,GO:0005634,1,1,0,1,GO:0005634,O95073,historical_gp2protein_all_edges,IDA,UniProt,20120326,PMID:20531236,1
original_six_default_relations,false_positive,108,GO:0044446,intracellular organelle part,cellular_component,25788,2,3,1382,1,1,GO:0005654,2,2,0,1,GO:0044428,O95073,historical_gp2protein_all_edges,IDA,HPA,20151016,GO_REF:0000052,1
original_six_default_relations,false_positive,110,GO:0044428,nuclear part,cellular_component,25788,3,4,480,1,1,GO:0005654,1,1,0,1,GO:0005654,O95073,historical_gp2protein_all_edges,IDA,HPA,20151016,GO_REF:0000052,1
original_six_default_relations,false_positive,116,GO:0005575,cellular_component,cellular_component,25788,0,0,3905,3,3,GO:0005634|GO:0005654|GO:0005737,3,4,0,3,GO:0043226|GO:0044422|GO:0044464,O95073,historical_gp2protein_all_edges,IDA,HPA|UniProt,20120326|20151016,GO_REF:0000052|PMID:20531236,1
original_six_default_relations,false_positive,117,GO:0044424,intracellular part,cellular_component,25788,2,2,2288,3,3,GO:0005634|GO:0005654|GO:0005737,1,3,0,3,GO:0005737|GO:0043229|GO:0044446,O95073,historical_gp2protein_all_edges,IDA,HPA|UniProt,20120326|20151016,GO_REF:0000052|PMID:20531236,1
original_six_default_relations,false_positive,118,GO:0044464,cell part,cellular_component,25788,1,1,3118,3,3,GO:0005634|GO:0005654|GO:0005737,2,4,0,1,GO:0044424,O95073,historical_gp2protein_all_edges,IDA,HPA|UniProt,20120326|20151016,GO_REF:0000052|PMID:20531236,1
original_six_default_relations,false_positive,119,GO:0043229,intracellular organelle,cellular_component,25788,2,3,319,1,1,GO:0005634,2,2,0,1,GO:0043231,O95073,historical_gp2protein_all_edges,IDA,UniProt,20120326,PMID:20531236,1
