policy,difference_type,label_column,GO_ID,GO_name,namespace,GeneID
original_six_default_relations,false_positive,7,GO:0005737,cytoplasm,cellular_component,25788
original_six_default_relations,false_positive,20,GO:0005654,nucleoplasm,cellular_component,25788
original_six_default_relations,false_positive,25,GO:0043227,membrane-bounded organelle,cellular_component,25788
original_six_default_relations,false_positive,26,GO:0043226,organelle,cellular_component,25788
original_six_default_relations,false_positive,27,GO:0005634,nucleus,cellular_component,25788
original_six_default_relations,false_positive,68,GO:0044422,organelle part,cellular_component,25788
original_six_default_relations,false_positive,100,GO:0043231,intracellular membrane-bounded organelle,cellular_component,25788
original_six_default_relations,false_positive,108,GO:0044446,intracellular organelle part,cellular_component,25788
original_six_default_relations,false_positive,110,GO:0044428,nuclear part,cellular_component,25788
original_six_default_relations,false_positive,116,GO:0005575,cellular_component,cellular_component,25788
original_six_default_relations,false_positive,117,GO:0044424,intracellular part,cellular_component,25788
original_six_default_relations,false_positive,118,GO:0044464,cell part,cellular_component,25788
original_six_default_relations,false_positive,119,GO:0043229,intracellular organelle,cellular_component,25788
best_global_evidence_default_relations,false_positive,7,GO:0005737,cytoplasm,cellular_component,25788
best_global_evidence_default_relations,false_positive,20,GO:0005654,nucleoplasm,cellular_component,25788
best_global_evidence_default_relations,false_positive,25,GO:0043227,membrane-bounded organelle,cellular_component,25788
best_global_evidence_default_relations,false_positive,26,GO:0043226,organelle,cellular_component,25788
best_global_evidence_default_relations,false_positive,27,GO:0005634,nucleus,cellular_component,25788
best_global_evidence_default_relations,false_positive,68,GO:0044422,organelle part,cellular_component,25788
best_global_evidence_default_relations,false_positive,100,GO:0043231,intracellular membrane-bounded organelle,cellular_component,25788
best_global_evidence_default_relations,false_positive,108,GO:0044446,intracellular organelle part,cellular_component,25788
best_global_evidence_default_relations,false_positive,110,GO:0044428,nuclear part,cellular_component,25788
best_global_evidence_default_relations,false_positive,116,GO:0005575,cellular_component,cellular_component,25788
best_global_evidence_default_relations,false_positive,117,GO:0044424,intracellular part,cellular_component,25788
best_global_evidence_default_relations,false_positive,118,GO:0044464,cell part,cellular_component,25788
best_global_evidence_default_relations,false_positive,119,GO:0043229,intracellular organelle,cellular_component,25788
best_aspect_specific_evidence_default_relations,false_positive,7,GO:0005737,cytoplasm,cellular_component,25788
best_aspect_specific_evidence_default_relations,false_positive,20,GO:0005654,nucleoplasm,cellular_component,25788
best_aspect_specific_evidence_default_relations,false_positive,25,GO:0043227,membrane-bounded organelle,cellular_component,25788
best_aspect_specific_evidence_default_relations,false_positive,26,GO:0043226,organelle,cellular_component,25788
best_aspect_specific_evidence_default_relations,false_positive,27,GO:0005634,nucleus,cellular_component,25788
best_aspect_specific_evidence_default_relations,false_positive,68,GO:0044422,organelle part,cellular_component,25788
best_aspect_specific_evidence_default_relations,false_positive,100,GO:0043231,intracellular membrane-bounded organelle,cellular_component,25788
best_aspect_specific_evidence_default_relations,false_positive,108,GO:0044446,intracellular organelle part,cellular_component,25788
best_aspect_specific_evidence_default_relations,false_positive,110,GO:0044428,nuclear part,cellular_component,25788
best_aspect_specific_evidence_default_relations,false_positive,116,GO:0005575,cellular_component,cellular_component,25788
best_aspect_specific_evidence_default_relations,false_positive,117,GO:0044424,intracellular part,cellular_component,25788
best_aspect_specific_evidence_default_relations,false_positive,118,GO:0044464,cell part,cellular_component,25788
best_aspect_specific_evidence_default_relations,false_positive,119,GO:0043229,intracellular organelle,cellular_component,25788
