group,group_gene_count,comparison_gene_count,metric,group_median,comparison_median,mann_whitney_u,two_sided_p_value,caveat
nine_missing_from_historical_direct_GPI_projection,9,4259,graph_instance_count,14.0,15.0,18362.5,0.8276478116834618,"Small groups, especially one gene, do not support population inference."
nine_missing_from_historical_direct_GPI_projection,9,4259,unique_tissue_count,14.0,15.0,18362.5,0.8276478116834618,"Small groups, especially one gene, do not support population inference."
nine_missing_from_historical_direct_GPI_projection,9,4259,mean_instance_degree,4.2727272727272725,13.0,12119.0,0.05636971202856029,"Small groups, especially one gene, do not support population inference."
nine_missing_from_historical_direct_GPI_projection,9,4259,max_instance_degree,5.0,15.0,12034.0,0.053386354626160905,"Small groups, especially one gene, do not support population inference."
nine_missing_from_historical_direct_GPI_projection,9,4259,total_instance_degree,60.0,141.0,14373.5,0.19443656706075363,"Small groups, especially one gene, do not support population inference."
nine_missing_from_historical_direct_GPI_projection,9,4259,positive_label_count,17.0,30.0,12125.5,0.05656697746838041,"Small groups, especially one gene, do not support population inference."
one_unmatched_after_component_aware_mapping,1,4267,graph_instance_count,24.0,15.0,4096.5,0.1105360131025609,"Small groups, especially one gene, do not support population inference."
one_unmatched_after_component_aware_mapping,1,4267,unique_tissue_count,24.0,15.0,4096.5,0.1105360131025609,"Small groups, especially one gene, do not support population inference."
one_unmatched_after_component_aware_mapping,1,4267,mean_instance_degree,25.625,12.944444444444445,3045.5,0.4593906490965697,"Small groups, especially one gene, do not support population inference."
one_unmatched_after_component_aware_mapping,1,4267,max_instance_degree,32.0,15.0,3109.5,0.42833553784289224,"Small groups, especially one gene, do not support population inference."
one_unmatched_after_component_aware_mapping,1,4267,total_instance_degree,615.0,140.0,3508.5,0.2645846985494701,"Small groups, especially one gene, do not support population inference."
one_unmatched_after_component_aware_mapping,1,4267,positive_label_count,0.0,30.0,106.0,0.09986913854699057,"Small groups, especially one gene, do not support population inference."
genes_in_remaining_13_default_relation_false_positives,1,4267,graph_instance_count,3.0,15.0,760.5,0.26440691732016164,"Small groups, especially one gene, do not support population inference."
genes_in_remaining_13_default_relation_false_positives,1,4267,unique_tissue_count,3.0,15.0,760.5,0.26440691732016164,"Small groups, especially one gene, do not support population inference."
genes_in_remaining_13_default_relation_false_positives,1,4267,mean_instance_degree,10.0,12.947368421052632,1786.5,0.7785196167652522,"Small groups, especially one gene, do not support population inference."
genes_in_remaining_13_default_relation_false_positives,1,4267,max_instance_degree,12.0,15.0,1770.5,0.768508324732343,"Small groups, especially one gene, do not support population inference."
genes_in_remaining_13_default_relation_false_positives,1,4267,total_instance_degree,30.0,140.0,1020.0,0.36632827109472366,"Small groups, especially one gene, do not support population inference."
genes_in_remaining_13_default_relation_false_positives,1,4267,positive_label_count,19.0,30.0,1180.0,0.4391489229762717,"Small groups, especially one gene, do not support population inference."
all_zero_label_genes,213,4055,graph_instance_count,6.0,15.0,295559.0,6.706827565188395e-15,"Small groups, especially one gene, do not support population inference."
all_zero_label_genes,213,4055,unique_tissue_count,6.0,15.0,295559.0,6.706827565188395e-15,"Small groups, especially one gene, do not support population inference."
all_zero_label_genes,213,4055,mean_instance_degree,5.0,13.409090909090908,249868.0,2.973752905157198e-25,"Small groups, especially one gene, do not support population inference."
all_zero_label_genes,213,4055,max_instance_degree,6.0,16.0,245464.0,2.000554274442973e-26,"Small groups, especially one gene, do not support population inference."
all_zero_label_genes,213,4055,total_instance_degree,25.0,153.0,233296.0,9.568529450468386e-30,"Small groups, especially one gene, do not support population inference."
all_zero_label_genes,213,4055,positive_label_count,0.0,32.0,0.0,4.603454714343453e-134,"Small groups, especially one gene, do not support population inference."
