GeneID,analysis_groups,mapped_graphsage_row_count,graph_instance_count,unique_tissue_count,tissues,train_instance_count,valid_instance_count,test_instance_count,mean_instance_degree,median_instance_degree,max_instance_degree,min_instance_degree,total_instance_degree,feature_nonzero_counts,feature_nonzero_count_consistent,positive_label_count,all_zero_label_vector,graph_instance_count_percentile_among_all_resolved_genes,unique_tissue_count_percentile_among_all_resolved_genes,mean_instance_degree_percentile_among_all_resolved_genes,max_instance_degree_percentile_among_all_resolved_genes,total_instance_degree_percentile_among_all_resolved_genes,positive_label_count_percentile_among_all_resolved_genes
176,missing_from_historical_direct_GPI_projection|all_zero_label_gene,1,1,1,blood,1,0,0,4.0,4.0,4,4,4,2,1,0,1,4.6626054358013125,4.6626054358013125,18.123242736644798,14.550140581068417,4.486879100281162,2.4953139643861295
337,missing_from_historical_direct_GPI_projection,11,11,11,adrenal_gland|blood|blood_plasma|brain|eye|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung,8,2,1,4.2727272727272725,4.0,5,4,47,0,1,59,0,43.04123711340206,43.04123711340206,19.786785379568887,18.837863167760077,30.787253983130274,84.27835051546393
3108,missing_from_historical_direct_GPI_projection,22,22,22,adipose_tissue|adrenal_gland|amygdala|aorta|artery|basal_ganglion|basophil|blood|blood_plasma|blood_platelet|bone|brain|colon|eye|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung|midbrain,18,2,2,2.727272727272727,3.0,4,2,60,1,1,21,0,80.26007497656983,80.26007497656983,11.059044048734771,14.550140581068417,34.395501405810684,32.08762886597938
4018,missing_from_historical_direct_GPI_projection,2,2,2,blood|blood_plasma,2,0,0,4.0,4.0,5,3,8,0,1,5,0,12.312558575445173,12.312558575445173,18.123242736644798,18.837863167760077,8.6340206185567,7.591377694470478
7957,missing_from_historical_direct_GPI_projection,14,14,14,amygdala|basal_ganglion|blood|blood_plasma|brain|colon|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung|midbrain,10,2,2,8.714285714285714,9.0,10,7,122,0,1,17,0,47.63355201499532,47.63355201499532,37.79287722586692,36.03561387066542,47.27038425492034,24.144798500468603
10159,missing_from_historical_direct_GPI_projection|unmatched_after_component_aware_mapping|all_zero_label_gene,24,24,24,adipose_tissue|adrenal_cortex|adrenal_gland|amygdala|aorta|artery|astrocyte|basal_ganglion|basophil|blood|blood_plasma|blood_platelet|bone|brain|colon|eye|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung|midbrain,20,2,2,25.625,27.0,32,8,615,1,1,0,1,95.99343955014058,95.99343955014058,71.36832239925023,72.86785379568884,82.21649484536083,2.4953139643861295
25788,gene_in_remaining_13_default_relation_false_positives,3,3,3,colon|gastrointestinal_tract|large_intestine,3,0,0,10.0,9.0,12,9,30,0,1,19,0,17.83036551077788,17.83036551077788,41.869728209934394,41.49484536082474,23.91049671977507,27.659325210871604
29901,missing_from_historical_direct_GPI_projection|all_zero_label_gene,15,15,15,adrenal_gland|amygdala|basal_ganglion|blood|bone|brain|colon|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung|midbrain,11,2,2,2.533333333333333,3.0,3,1,38,1,1,0,1,49.8008434864105,49.8008434864105,10.67244611059044,10.28584817244611,27.483598875351454,2.4953139643861295
55125,missing_from_historical_direct_GPI_projection,8,8,8,amygdala|basal_ganglion|brain|forebrain|heart|kidney|liver|midbrain,5,2,1,23.375,23.0,26,21,187,0,1,38,0,35.789597000937206,35.789597000937206,68.86129334582944,66.57685098406748,55.611527647610124,62.95688847235239
84919,missing_from_historical_direct_GPI_projection,19,19,19,adipose_tissue|adrenal_cortex|adrenal_gland|artery|astrocyte|basal_ganglion|blood|blood_plasma|blood_platelet|brain|colon|eye|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung,16,2,1,6.2631578947368425,7.0,8,3,119,0,1,41,0,61.69165885660731,61.69165885660731,29.11199625117151,30.365510777881912,46.8369259606373,66.50656044985942
