GeneID,mapped_graphsage_row_count,graph_instance_count,unique_tissue_count,tissues,train_instance_count,valid_instance_count,test_instance_count,mean_instance_degree,median_instance_degree,max_instance_degree,min_instance_degree,total_instance_degree,feature_nonzero_counts,feature_nonzero_count_consistent,positive_label_count,all_zero_label_vector
2,4,4,4,blood|blood_plasma|brain|liver,4,0,0,43.5,43.5,49,38,174,1,1,28,0
14,21,21,21,adipose_tissue|adrenal_gland|aorta|artery|astrocyte|basal_ganglion|blood|blood_plasma|blood_platelet|bone|brain|colon|eye|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung|midbrain,17,2,2,9.428571428571429,10.0,12,6,198,2,1,22,0
16,23,23,23,adipose_tissue|adrenal_cortex|adrenal_gland|amygdala|aorta|artery|astrocyte|basal_ganglion|blood|blood_plasma|blood_platelet|bone|brain|colon|eye|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung|midbrain,19,2,2,14.391304347826088,15.0,22,6,331,0,1,12,0
19,5,5,5,blood|gastrointestinal_tract|kidney|liver|lung,3,1,1,25.4,25.0,27,24,127,0,1,62,0
20,20,20,20,adipose_tissue|adrenal_cortex|adrenal_gland|amygdala|artery|basal_ganglion|blood|blood_plasma|blood_platelet|brain|colon|eye|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung|midbrain,16,2,2,8.7,9.0,11,5,174,2,1,41,0
23,1,1,1,brain,1,0,0,26.0,26.0,26,26,26,1,1,12,0
27,22,22,22,adipose_tissue|adrenal_cortex|adrenal_gland|amygdala|aorta|artery|basal_ganglion|blood|blood_plasma|blood_platelet|bone|brain|colon|eye|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung|midbrain,18,2,2,28.318181818181817,28.0,33,25,623,0,1,34,0
29,24,24,24,adipose_tissue|adrenal_cortex|adrenal_gland|amygdala|aorta|artery|astrocyte|basal_ganglion|basophil|blood|blood_plasma|blood_platelet|bone|brain|colon|eye|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung|midbrain,20,2,2,5.458333333333333,5.0,11,1,131,1,1,2,0
31,21,21,21,adipose_tissue|adrenal_gland|amygdala|aorta|artery|basal_ganglion|blood|blood_plasma|blood_platelet|bone|brain|colon|eye|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung|midbrain,17,2,2,28.904761904761905,28.0,34,25,607,1,1,32,0
32,21,21,21,adipose_tissue|adrenal_gland|amygdala|aorta|artery|basal_ganglion|blood|blood_plasma|blood_platelet|bone|brain|colon|eye|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung|midbrain,17,2,2,5.190476190476191,5.0,7,4,109,1,1,19,0
34,22,22,22,adipose_tissue|adrenal_cortex|adrenal_gland|amygdala|aorta|artery|basal_ganglion|blood|blood_plasma|blood_platelet|bone|brain|colon|eye|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung|midbrain,18,2,2,26.727272727272727,28.0,34,16,588,0,1,29,0
37,7,7,7,adipose_tissue|blood|brain|gastrointestinal_tract|heart|kidney|liver,5,2,0,10.0,11.0,13,3,70,1,1,39,0
41,6,6,6,amygdala|astrocyte|basal_ganglion|brain|forebrain|midbrain,5,0,1,5.666666666666667,6.0,6,4,34,2,1,18,0
43,23,23,23,adipose_tissue|adrenal_cortex|adrenal_gland|amygdala|aorta|artery|astrocyte|basal_ganglion|blood|blood_plasma|blood_platelet|bone|brain|colon|eye|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung|midbrain,19,2,2,8.91304347826087,9.0,10,6,205,0,1,26,0
48,21,21,21,adipose_tissue|adrenal_cortex|adrenal_gland|amygdala|aorta|artery|basal_ganglion|blood|blood_plasma|blood_platelet|brain|colon|eye|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung|midbrain,17,2,2,7.619047619047619,8.0,11,3,160,0,1,32,0
50,15,15,15,adipose_tissue|amygdala|basal_ganglion|blood|blood_plasma|brain|colon|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung|midbrain,11,2,2,12.533333333333333,13.0,16,10,188,2,1,21,0
51,17,17,17,adipose_tissue|adrenal_gland|astrocyte|basal_ganglion|blood|blood_plasma|bone|brain|colon|eye|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung,14,2,1,16.176470588235293,17.0,21,8,275,0,1,30,0
54,3,3,3,blood|blood_plasma|bone,3,0,0,4.666666666666667,5.0,6,3,14,1,1,10,0
58,22,22,22,adipose_tissue|adrenal_cortex|adrenal_gland|amygdala|aorta|artery|basal_ganglion|blood|blood_plasma|blood_platelet|bone|brain|colon|eye|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung|midbrain,18,2,2,78.0,79.5,96,48,1716,1,1,34,0
59,4,4,4,aorta|artery|blood|kidney,3,1,0,35.25,35.5,40,30,141,0,1,32,0
70,2,2,2,blood|heart,1,1,0,30.5,30.5,31,30,61,1,1,41,0
71,11,11,11,blood|blood_plasma|blood_platelet|bone|brain|eye|gastrointestinal_tract|heart|kidney|liver|lung,8,2,1,84.72727272727273,90.0,98,66,932,1,1,22,0
