graph_index,split,row_start_inclusive,row_end_exclusive,node_count,edge_count_undirected_including_loops,ohmnet_tissue,ohmnet_node_count,ohmnet_edge_count,stats_exact
1,train,0,1554,1554,16912,adipose_tissue,1554,16912,True
2,train,1554,2942,1388,15517,adrenal_cortex,1388,15517,True
3,train,2942,5215,2273,30839,adrenal_gland,2273,30839,True
4,train,5215,7564,2349,33731,amygdala,2349,33731,True
5,train,7564,9151,1587,18871,aorta,1587,18871,True
6,train,9151,10180,1029,9635,astrocyte,1029,9635,True
7,train,10180,12015,1835,23041,artery,1835,23041,True
8,train,12015,14515,2500,36276,basal_ganglion,2500,36276,True
9,train,14515,15117,602,4193,basophil,602,4193,True
10,train,15117,18443,3326,54554,blood,3326,54554,True
11,train,18443,20850,2407,33201,blood_plasma,2407,33201,True
12,train,20850,22734,1884,24016,blood_platelet,1884,24016,True
13,train,22734,24559,1825,23741,bone,1825,23741,True
14,train,24559,28056,3497,54824,brain,3497,54824,True
15,train,28056,30863,2807,43854,colon,2807,43854,True
16,train,30863,33196,2333,30993,eye,2333,30993,True
17,train,33196,35860,2664,39671,forebrain,2664,39671,True
18,train,35860,38689,2829,43964,large_intestine,2829,43964,True
19,train,38689,41869,3180,48409,liver,3180,48409,True
20,train,41869,44906,3037,46956,gastrointestinal_tract,3037,46956,True
21,valid,44906,48116,3210,50061,heart,3210,50061,True
22,valid,48116,51420,3304,52126,kidney,3304,52126,True
23,test,51420,54634,3214,51666,lung,3214,51666,True
24,test,54634,56944,2310,31665,midbrain,2310,31665,True
