ancestor_GO_ID,descendant_GO_ID,ancestor_name,descendant_name,direct_parent_child
GO:0003674,GO:0003676,molecular_function,nucleic acid binding,0
GO:0003674,GO:0003723,molecular_function,RNA binding,0
GO:0003674,GO:0003824,molecular_function,catalytic activity,1
GO:0003674,GO:0005488,molecular_function,binding,1
GO:0003674,GO:0005515,molecular_function,protein binding,0
GO:0003674,GO:0016740,molecular_function,transferase activity,0
GO:0003674,GO:0044822,molecular_function,poly(A) RNA binding,0
GO:0003674,GO:0097159,molecular_function,organic cyclic compound binding,0
GO:0003674,GO:1901363,molecular_function,heterocyclic compound binding,0
GO:0003676,GO:0003723,nucleic acid binding,RNA binding,1
GO:0003676,GO:0044822,nucleic acid binding,poly(A) RNA binding,0
GO:0003723,GO:0044822,RNA binding,poly(A) RNA binding,1
GO:0003824,GO:0016740,catalytic activity,transferase activity,1
GO:0005488,GO:0003676,binding,nucleic acid binding,0
GO:0005488,GO:0003723,binding,RNA binding,0
GO:0005488,GO:0005515,binding,protein binding,1
GO:0005488,GO:0044822,binding,poly(A) RNA binding,0
GO:0005488,GO:0097159,binding,organic cyclic compound binding,1
GO:0005488,GO:1901363,binding,heterocyclic compound binding,1
GO:0005575,GO:0005634,cellular_component,nucleus,0
GO:0005575,GO:0005654,cellular_component,nucleoplasm,0
GO:0005575,GO:0005737,cellular_component,cytoplasm,0
GO:0005575,GO:0005886,cellular_component,plasma membrane,0
GO:0005575,GO:0016020,cellular_component,membrane,1
GO:0005575,GO:0031982,cellular_component,vesicle,0
GO:0005575,GO:0032991,cellular_component,macromolecular complex,1
GO:0005575,GO:0043226,cellular_component,organelle,1
GO:0005575,GO:0043227,cellular_component,membrane-bounded organelle,0
GO:0005575,GO:0043228,cellular_component,non-membrane-bounded organelle,0
GO:0005575,GO:0043229,cellular_component,intracellular organelle,0
GO:0005575,GO:0043230,cellular_component,extracellular organelle,0
GO:0005575,GO:0043231,cellular_component,intracellular membrane-bounded organelle,0
GO:0005575,GO:0043232,cellular_component,intracellular non-membrane-bounded organelle,0
GO:0005575,GO:0043234,cellular_component,protein complex,0
GO:0005575,GO:0044421,cellular_component,extracellular region part,1
GO:0005575,GO:0044422,cellular_component,organelle part,1
GO:0005575,GO:0044424,cellular_component,intracellular part,0
GO:0005575,GO:0044425,cellular_component,membrane part,1
GO:0005575,GO:0044428,cellular_component,nuclear part,0
GO:0005575,GO:0044444,cellular_component,cytoplasmic part,0
GO:0005575,GO:0044446,cellular_component,intracellular organelle part,0
GO:0005575,GO:0044464,cellular_component,cell part,1
GO:0005575,GO:0070062,cellular_component,extracellular exosome,0
GO:0005575,GO:1903561,cellular_component,extracellular vesicle,0
GO:0006807,GO:0034641,nitrogen compound metabolic process,cellular nitrogen compound metabolic process,1
GO:0006810,GO:0044765,transport,single-organism transport,1
GO:0006996,GO:1902589,organelle organization,single-organism organelle organization,1
GO:0008150,GO:0006355,biological_process,"regulation of transcription, DNA-templated",0
