version,GO_ID,GO_name,namespace,present_in_C5,C5_set_names,C5_orders,C5_full_member_counts,C5_graph_member_counts,GOA_exact_graph_member_count,direct_C5_vs_exact_GOA_mismatches,direct_C5_exact
5.1,GO:0003674,molecular_function,molecular_function,0,,,,,2905,,0
5.1,GO:0003676,nucleic acid binding,molecular_function,0,,,,,749,,0
5.1,GO:0003723,RNA binding,molecular_function,1,RNA_BINDING,1238,259,90,395,321,0
5.1,GO:0003824,catalytic activity,molecular_function,0,,,,,1149,,0
5.1,GO:0005488,binding,molecular_function,0,,,,,2035,,0
5.1,GO:0005515,protein binding,molecular_function,0,,,,,1153,,0
5.1,GO:0005575,cellular_component,cellular_component,0,,,,,3612,,0
5.1,GO:0005634,nucleus,cellular_component,1,NUCLEUS,79,1430,720,1208,850,0
5.1,GO:0005654,nucleoplasm,cellular_component,1,NUCLEOPLASM,0,279,157,692,691,0
5.1,GO:0005737,cytoplasm,cellular_component,1,CYTOPLASM,61,2131,934,1307,1247,0
5.1,GO:0005886,plasma membrane,cellular_component,1,PLASMA_MEMBRANE,226,1426,579,550,685,0
5.1,GO:0006355,"regulation of transcription, DNA-templated",biological_process,1,REGULATION_OF_TRANSCRIPTIONDNA_DEPENDENT,702,461,266,892,738,0
5.1,GO:0006464,cellular protein modification process,biological_process,1,PROTEIN_MODIFICATION_PROCESS,910,631,362,742,592,0
5.1,GO:0006807,nitrogen compound metabolic process,biological_process,1,NITROGEN_COMPOUND_METABOLIC_PROCESS,537,155,49,599,582,0
5.1,GO:0006810,transport,biological_process,1,TRANSPORT,724,795,363,610,523,0
5.1,GO:0006950,response to stress,biological_process,1,RESPONSE_TO_STRESS,597,508,335,658,599,0
5.1,GO:0006996,organelle organization,biological_process,1,ORGANELLE_ORGANIZATION_AND_BIOGENESIS,398,473,311,695,604,0
5.1,GO:0007165,signal transduction,biological_process,1,SIGNAL_TRANSDUCTION,344,1634,909,785,850,0
5.1,GO:0008150,biological_process,biological_process,0,,,,,3696,,0
5.1,GO:0008152,metabolic process,biological_process,0,,,,,1657,,0
5.1,GO:0009889,regulation of biosynthetic process,biological_process,0,,,,,1124,,0
