model,model_type,comparable_terms,best_duplicate_assignment_bits,kendall_tau,kendall_p_value,pairwise_concordance,lcs_length,exact_positions,prefix_exact,inversions,pair_count,first10_predicted
GO_ID_numeric_ascending,full_121,121,001,-0.10082644628099172,0.10102738772327648,0.4495867768595041,18,1,0,3996,7260,GO:0003674|GO:0003676|GO:0003723|GO:0003824|GO:0005488|GO:0005515|GO:0005575|GO:0005634|GO:0005654|GO:0005737
GO_term_name_alphabetical,full_121,121,110,0.01212121212121212,0.8437135817706681,0.5060606060606061,20,1,0,3586,7260,GO:0003723|GO:0005488|GO:0065007|GO:0008150|GO:0003824|GO:0044464|GO:0016043|GO:0071840|GO:0044260|GO:0044237
GraphSAGE_positive_gene_count_descending,full_121,121,000,-0.08016528925619834,0.1922849141116867,0.4599173553719008,14,0,0,3921,7260,GO:0008150|GO:0005575|GO:0044464|GO:0044424|GO:0003674|GO:0009987|GO:0065007|GO:0050789|GO:0043226|GO:0050794
full_human_GOA_prevalence_descending,full_121,121,000,-0.034710743801652885,0.572377585629773,0.4826446280991735,18,1,0,3756,7260,GO:0005575|GO:0044464|GO:0008150|GO:0044424|GO:0043226|GO:0003674|GO:0043227|GO:0009987|GO:0065007|GO:0043229
OBO_stanza_order,full_121,121,001,-0.10082644628099172,0.10102738772327648,0.4495867768595041,18,1,0,3996,7260,GO:0003674|GO:0003676|GO:0003723|GO:0003824|GO:0005488|GO:0005515|GO:0005575|GO:0005634|GO:0005654|GO:0005737
accepted_GAF_first_direct_occurrence,full_121,121,001,-0.053994490358126715,0.37983837165190515,0.4730027548209367,19,1,0,3826,7260,GO:0005737|GO:0044822|GO:0016020|GO:0005634|GO:0070062|GO:0005886|GO:0010628|GO:0005654|GO:0043231|GO:0008152
Python2_raw_hash_low15_slot,full_121,121,001,0.7137741046831956,3.701098241920313e-31,0.8568870523415978,86,16,5,1039,7260,GO:0050789|GO:0070062|GO:0044710|GO:1901363|GO:1901360|GO:0003674|GO:0003676|GO:0097159|GO:0005737|GO:1902589
Python2_full_GAF_is_a_dictionary_scan,full_121,121,001,0.7721763085399448,3.5446432238783906e-36,0.8860881542699725,92,6,5,827,7260,GO:0050789|GO:0070062|GO:0044710|GO:1901363|GO:1901360|GO:0003674|GO:0003676|GO:0097159|GO:0005737|GO:1902589
Python2_new_121_key_dictionary_negative_control,full_121,121,010,0.04765840220385674,0.43825649698231894,0.5238292011019283,23,0,0,3457,7260,GO:0080090|GO:0019222|GO:0048584|GO:0048583|GO:0007165|GO:1901363|GO:1901360|GO:0044710|GO:0010605|GO:0010604
Python2_all_ontology_terms_dictionary_negative_control,full_121,121,011,0.2360881542699724,0.00012310495714162574,0.6180440771349862,38,1,0,2773,7260,GO:0003674|GO:0003676|GO:1902589|GO:0043412|GO:1901363|GO:0005737|GO:0065007|GO:0008150|GO:0008152|GO:0032991
MSigDB_v5.0_C5_XML_order,partial_source_order,57,010,-0.05012531328320803,0.5818339186940666,0.474937343358396,12,1,0,838,1596,GO:0005654|GO:0044422|GO:0044444|GO:0044425|GO:0016020|GO:0044428|GO:0005737|GO:0043228|GO:0031982|GO:0005634
MSigDB_v5.1_C5_XML_order,partial_source_order,57,010,-0.05012531328320803,0.5818339186940666,0.474937343358396,12,1,0,838,1596,GO:0005654|GO:0044422|GO:0044444|GO:0044425|GO:0016020|GO:0044428|GO:0005737|GO:0043228|GO:0031982|GO:0005634
MSigDB_v5.2_C5_XML_order,partial_source_order,6,000,-0.6,0.1361111111111111,0.19999999999999996,2,0,0,12,15,GO:0048584|GO:0009891|GO:0010628|GO:0031399|GO:0044822|GO:0003723
MSigDB_v6.0_C5_XML_order,partial_source_order,6,000,-0.6,0.1361111111111111,0.19999999999999996,2,0,0,12,15,GO:0048584|GO:0009891|GO:0010628|GO:0031399|GO:0044822|GO:0003723
