version,scope,label_column,best_mismatches,best_agreement,best_set_names,best_set_tie_count
5.0,C5,0,2030,0.5243673851921274,SIGNAL_TRANSDUCTION,1
5.0,C5,1,916,0.7853795688847235,GTPASE_ACTIVITY,1
5.0,C5,2,736,0.8275538894095595,CELLULAR_LIPID_METABOLIC_PROCESS,1
5.0,C5,3,813,0.8095126522961574,DNA_BINDING,1
5.0,C5,4,494,0.8842549203373946,DNA_REPAIR,1
5.0,C5,5,627,0.8530927835051546,DNA_BINDING,1
5.0,C5,6,839,0.8034208059981256,DNA_BINDING,1
5.0,C5,7,1247,0.7078256794751641,CYTOPLASM,1
5.0,C5,8,510,0.880506091846298,CHROMOSOME_ORGANIZATION_AND_BIOGENESIS,1
5.0,C5,9,1048,0.7544517338331771,BIOPOLYMER_METABOLIC_PROCESS,1
5.0,C5,10,607,0.8577788191190253,PROTEIN_MODIFICATION_PROCESS,1
5.0,C5,11,736,0.8275538894095595,REGULATION_OF_SIGNAL_TRANSDUCTION,1
5.0,C5,12,2377,0.4430646672914714,BIOPOLYMER_METABOLIC_PROCESS,1
5.0,C5,13,794,0.8139643861293346,CYTOKINE_PRODUCTION,1
5.0,C5,14,639,0.8502811621368322,POSITIVE_REGULATION_OF_NUCLEOBASENUCLEOSIDENUCLEOTIDE_AND_NUCLEIC_ACID_METABOLIC_PROCESS,1
5.0,C5,15,1165,0.7270384254920337,NEGATIVE_REGULATION_OF_BIOLOGICAL_PROCESS,1
5.0,C5,16,321,0.9247891283973758,RNA_BINDING,1
5.0,C5,17,523,0.877460168697282,TRANSPORT,1
5.0,C5,18,1037,0.757029053420806,EXTRACELLULAR_REGION,1
5.0,C5,19,1359,0.6815838800374883,BIOPOLYMER_METABOLIC_PROCESS,1
5.0,C5,20,682,0.8402061855670103,RIBONUCLEOPROTEIN_COMPLEX|SPLICEOSOME|CHROMATIN_BINDING,3
5.0,C5,21,1941,0.5452202436738519,SIGNAL_TRANSDUCTION,1
5.0,C5,22,668,0.8434864104967198,TRANSCRIPTION,1
5.0,C5,23,1048,0.7544517338331771,ORGANELLE_ORGANIZATION_AND_BIOGENESIS,1
5.0,C5,24,565,0.8676194939081537,NUCLEOLUS,1
5.0,C5,25,1953,0.5424086223055296,CYTOPLASM,1
5.0,C5,26,2053,0.5189784442361762,CYTOPLASM,1
5.0,C5,27,850,0.8008434864104967,NUCLEUS,1
5.0,C5,28,2276,0.46672914714151825,BIOPOLYMER_METABOLIC_PROCESS,1
5.0,C5,29,619,0.854967197750703,POSITIVE_REGULATION_OF_CELLULAR_METABOLIC_PROCESS,1
5.0,C5,30,2152,0.4957825679475164,SIGNAL_TRANSDUCTION,1
5.0,C5,31,570,0.866447985004686,SUBSTRATE_SPECIFIC_TRANSPORTER_ACTIVITY,1
5.0,C5,32,2896,0.3214620431115276,CYTOPLASM,1
5.0,C5,33,642,0.8495782567947516,RESPONSE_TO_HORMONE_STIMULUS|RESPONSE_TO_ORGANIC_SUBSTANCE,2
5.0,C5,34,769,0.819821930646673,REGULATION_OF_KINASE_ACTIVITY|REGULATION_OF_PROTEIN_KINASE_ACTIVITY|REGULATION_OF_TRANSFERASE_ACTIVITY,3
5.0,C5,35,993,0.7673383317713215,MACROMOLECULAR_COMPLEX,1
5.0,C5,36,713,0.8329428303655108,REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION_AND_BIOGENESIS,1
5.0,C5,37,706,0.8345829428303655,NEGATIVE_REGULATION_OF_CELLULAR_METABOLIC_PROCESS|NEGATIVE_REGULATION_OF_METABOLIC_PROCESS,2
5.0,C5,38,1307,0.6937675726335519,REGULATION_OF_METABOLIC_PROCESS,1
5.0,C5,39,592,0.8612933458294283,PROTEIN_MODIFICATION_PROCESS,1
5.0,C5,40,549,0.8713683223992502,DNA_REPAIR,1
5.0,C5,41,835,0.8043580131208997,ORGAN_DEVELOPMENT,1
5.0,C5,42,686,0.8392689784442362,REGULATION_OF_MOLECULAR_FUNCTION,1
5.0,C5,43,789,0.8151358950328023,REGULATION_OF_BIOLOGICAL_QUALITY,1
5.0,C5,44,545,0.8723055295220243,CORNIFIED_ENVELOPE,1
5.0,C5,45,877,0.7945173383317713,REGULATION_OF_GENE_EXPRESSION,1
5.0,C5,46,1238,0.7099343955014058,BIOPOLYMER_METABOLIC_PROCESS,1
