label_column,GO_ID,GO_name,namespace,python2_hash_signed_64,python2_hash_low15,simulated_full_dict_slot,simulated_full_dict_target_rank,exact_position_match
0,GO:0050789,regulation of biological process,biological_process,-1265601042971000675,157,157,0,1
1,GO:0070062,extracellular exosome,cellular_component,-6384282145620065883,421,421,1,1
2,GO:0044710,single-organism metabolic process,biological_process,7177354825390653986,546,546,2,1
3,GO:1901363,heterocyclic compound binding,molecular_function,4127669313207993373,1053,1053,3,1
4,GO:1901360,organic cyclic compound metabolic process,biological_process,4127669313207993374,1054,1054,4,1
5,GO:0003676,nucleic acid binding,molecular_function,-7827215014170721130,1174,1174,6,0
6,GO:0097159,organic cyclic compound binding,molecular_function,4612899284154516713,1257,1257,7,0
7,GO:0005737,cytoplasm,cellular_component,4619510059616830752,1312,1312,8,0
8,GO:1902589,single-organism organelle organization,biological_process,1127638313172993522,1522,1522,9,0
9,GO:0043170,macromolecule metabolic process,biological_process,6177345825371653999,1903,1903,10,0
10,GO:0043412,macromolecule modification,biological_process,6177350825393653970,2258,2258,11,0
11,GO:0009966,regulation of signal transduction,biological_process,-1827184014117721048,11304,11304,34,0
12,GO:0003674,molecular_function,molecular_function,-7827215014170721132,1172,1172,5,0
13,GO:0051239,regulation of multicellular organismal process,biological_process,-2265585042853000490,2774,2774,12,0
14,GO:0045935,positive regulation of nucleobase-containing compound metabolic process,biological_process,8177371825529654212,3012,3012,13,0
15,GO:0048519,negative regulation of biological process,biological_process,-4822683174449345479,3129,3129,14,0
16,GO:0003723,RNA binding,molecular_function,-7827216014183721099,6005,6005,24,0
17,GO:0006810,transport,biological_process,5619526059747830987,27851,27851,90,0
18,GO:0044421,extracellular region part,cellular_component,7177351825375654013,28797,28797,99,0
19,GO:0008152,metabolic process,biological_process,-2827199014123721002,11990,11990,40,0
20,GO:0005654,nucleoplasm,cellular_component,4619511059614830768,4272,4272,16,0
21,GO:0050794,regulation of cellular process,biological_process,-1265601042970000689,17103,17103,52,0
22,GO:1903506,regulation of nucleic acid-templated transcription,biological_process,2127645313179993422,17742,17742,57,0
23,GO:0071840,cellular component organization or biogenesis,biological_process,-7384283145633065954,5150,5150,17,0
24,GO:0043228,non-membrane-bounded organelle,cellular_component,6177348825384653971,5267,5267,18,0
25,GO:0043227,membrane-bounded organelle,cellular_component,6177348825384653980,5276,5276,19,0
26,GO:0043226,organelle,cellular_component,6177348825384653981,5277,5277,20,0
27,GO:0005634,nucleus,cellular_component,4619511059616830762,5418,5418,21,0
28,GO:0009987,cellular process,biological_process,-1827184014127721141,5451,5451,22,0
29,GO:0010557,positive regulation of macromolecule biosynthetic process,biological_process,3176573191045175538,22770,5549,23,0
30,GO:0065007,biological regulation,biological_process,-8708558911580655948,11956,11956,36,0
31,GO:1902578,single-organism localization,biological_process,1127638313165993438,13790,17205,53,0
32,GO:0008150,biological_process,biological_process,-2827199014123721004,11988,11988,39,0
33,GO:0042221,response to chemical,biological_process,5177367825621654489,7129,7129,25,0
34,GO:0032268,regulation of cellular protein metabolic process,biological_process,-3709285545815134365,12131,7251,26,0
35,GO:0032991,macromolecular complex,cellular_component,-3709296545822134300,12260,8025,27,0
36,GO:0051128,regulation of cellular component organization,biological_process,-2265582042836000497,8463,8463,28,0
37,GO:0009892,negative regulation of metabolic process,biological_process,-1827183014122721148,28804,8985,29,0
38,GO:0080090,regulation of primary metabolic process,biological_process,-2390888921179380219,9733,9733,31,0
39,GO:0006464,cellular protein modification process,biological_process,5619514059604830670,10702,10702,32,0
40,GO:0006807,nitrogen compound metabolic process,biological_process,5619526059746830995,10899,10899,33,0
41,GO:0032502,developmental process,biological_process,-3709292545823134400,11584,11584,35,0
42,GO:0065009,regulation of molecular function,biological_process,-8708558911580655942,11962,11962,37,0
43,GO:0065008,regulation of biological quality,biological_process,-8708558911580655941,11963,11963,38,0
44,GO:0005886,plasma membrane,cellular_component,4619517059727830999,12247,12247,41,0
45,GO:0009889,regulation of biosynthetic process,biological_process,-1827183014121721140,13004,13004,42,0
46,GO:0044238,primary metabolic process,biological_process,7177357825504654305,13281,13281,43,0
47,GO:0044237,cellular metabolic process,biological_process,7177357825504654318,13294,13294,44,0
48,GO:1903561,extracellular vesicle,cellular_component,2127645313173993435,14299,14299,45,0
49,GO:0051246,regulation of protein metabolic process,biological_process,-2265585042860000468,15148,15148,46,0
50,GO:0048523,negative regulation of cellular process,biological_process,-4822683174450345474,18942,18942,59,0
51,GO:0048583,regulation of response to stimulus,biological_process,-4822683174456345588,15372,26697,86,0
52,GO:0048522,positive regulation of cellular process,biological_process,-4822683174450345473,18943,18943,60,0
53,GO:0060255,regulation of macromolecule metabolic process,biological_process,-5708533911410655672,15944,30129,108,0
54,GO:0023051,regulation of signaling,biological_process,-2266356677284479209,16151,16151,48,0
55,GO:2000112,regulation of cellular macromolecule biosynthetic process,biological_process,-7934110132148715092,16812,16812,50,0
56,GO:0050793,regulation of developmental process,biological_process,-1265601042970000696,17096,17096,51,0
57,GO:0031399,regulation of protein modification process,biological_process,-6709311545849134281,17207,17207,54,0
58,GO:0043933,macromolecular complex subunit organization,biological_process,6177353825511654280,17288,17288,55,0
59,GO:0006355,"regulation of transcription, DNA-templated",biological_process,5619517059623830769,17649,17649,56,0
60,GO:0048518,positive regulation of biological process,biological_process,-4822683174449345480,3128,18769,58,0
61,GO:0051234,establishment of localization,biological_process,-2265585042853000485,2779,16675,49,0
62,GO:0032879,regulation of localization,biological_process,-3709295545816134309,19803,19803,61,0
63,GO:0036211,protein modification process,biological_process,-7709321545858134317,20179,20179,62,0
64,GO:0051716,cellular response to stimulus,biological_process,-2265588042971000798,20514,20514,63,0
65,GO:0044765,single-organism transport,biological_process,7177354825397653970,20946,20946,65,1
66,GO:0044763,single-organism cellular process,biological_process,7177354825397653972,20948,27385,89,0
67,GO:0016020,membrane,cellular_component,-2823443808865824213,21035,21035,66,0
68,GO:0044422,organelle part,cellular_component,7177351825375654014,28798,28798,100,0
69,GO:0043234,protein complex,cellular_component,6177348825383653984,21088,21088,67,0
70,GO:0043230,extracellular organelle,cellular_component,6177348825383653988,21092,21092,68,0
71,GO:0043232,intracellular non-membrane-bounded organelle,cellular_component,6177348825383653990,21094,21094,70,0
72,GO:0051254,positive regulation of RNA metabolic process,biological_process,-2265585042859000467,32109,32109,120,0
73,GO:0051171,regulation of nitrogen compound metabolic process,biological_process,-2265582042841000491,21973,21973,71,0
74,GO:0051173,positive regulation of nitrogen compound metabolic process,biological_process,-2265582042841000489,21975,21975,72,0
75,GO:0051179,localization,biological_process,-2265582042841000483,21981,21981,73,0
76,GO:0016043,cellular component organization,biological_process,-2823443808863824210,22190,22190,74,0
77,GO:0034641,cellular nitrogen compound metabolic process,biological_process,8737436527954417426,22290,22290,75,0
78,GO:0010556,regulation of macromolecule biosynthetic process,biological_process,3176573191045175539,22771,22771,76,0
79,GO:2001141,regulation of RNA biosynthetic process,biological_process,-6934007131520714153,14935,24075,77,0
80,GO:0044267,cellular protein metabolic process,biological_process,7177357825507654305,31393,31393,116,0
81,GO:0005488,binding,molecular_function,4619513059607830677,24725,24725,78,0
82,GO:0019219,regulation of nucleobase-containing compound metabolic process,biological_process,-8270136882589376056,25032,25032,79,0
83,GO:0007165,signal transduction,biological_process,6619526059629830677,25109,25109,80,0
84,GO:0016740,transferase activity,molecular_function,-2823442808865824206,25138,25138,81,0
85,GO:0044699,single-organism process,biological_process,7177353825394653982,31518,25269,82,0
86,GO:0044822,poly(A) RNA binding,molecular_function,7177363825511654218,25418,25418,83,0
87,GO:0010604,positive regulation of macromolecule metabolic process,biological_process,3176576191058175525,26149,26149,85,0
88,GO:0010468,regulation of gene expression,biological_process,3176574191048175549,12221,3446,15,0
89,GO:0010605,negative regulation of macromolecule metabolic process,biological_process,3176576191058175524,26148,26148,84,0
90,GO:0048584,positive regulation of response to stimulus,biological_process,-4822683174456345589,15371,15371,47,0
91,GO:0019538,protein metabolic process,biological_process,-8270129882579376024,26728,26728,87,0
92,GO:0044260,cellular macromolecule metabolic process,biological_process,7177357825507654310,31398,31398,117,0
