model,filter,row_order,ancestor_order,key_mode,lcs,kendall_tau,pairwise_concordance,exact_positions,exact_prefix,duplicate_flips,unique_dictionary_terms,input_terms,table_size,outer_kind,inner_kind,outer_count,pair_kind,set_policy,pair_count,mask_bits
first_direct_then_ancestors,exact_historical_mapped,date_accession_GO,sorted_asc,GO_ID,94,0.7661157024793387,0.8830578512396694,13,5,001,13302,141790,,,,,,,,
first_direct_then_ancestors,exact_historical_mapped,date_accession_GO,dfs_pre_obo,GO_ID,94,0.7661157024793387,0.8830578512396694,13,5,001,13302,141790,,,,,,,,
first_direct_then_ancestors,exact_historical_mapped,date_accession_GO,bfs_obo,GO_ID,94,0.7661157024793387,0.8830578512396694,13,5,001,13302,141790,,,,,,,,
first_direct_then_ancestors,exact_historical_mapped,date_accession_GO,py2set_dfs_35,GO_ID,94,0.7661157024793387,0.8830578512396694,13,5,001,13302,141790,,,,,,,,
first_direct_then_ancestors,exact_all_accessions,source,sorted_asc,GO_ID,92,0.7721763085399448,0.8860881542699723,6,5,001,16357,186381,,,,,,,,
first_direct_then_ancestors,exact_all_accessions,source,bfs_obo,GO_ID,92,0.7721763085399448,0.8860881542699723,6,5,001,16357,186381,,,,,,,,
first_direct_then_ancestors,exact_all_accessions,source,py2set_dfs_35,GO_ID,92,0.7721763085399448,0.8860881542699723,6,5,001,16357,186381,,,,,,,,
first_direct_then_ancestors,exact_all_accessions,accession_GO,sorted_asc,GO_ID,92,0.7721763085399448,0.8860881542699723,6,5,001,16357,186381,,,,,,,,
first_direct_then_ancestors,exact_all_accessions,accession_GO,bfs_obo,GO_ID,92,0.7721763085399448,0.8860881542699723,6,5,001,16357,186381,,,,,,,,
first_direct_then_ancestors,exact_all_accessions,accession_GO,py2set_dfs_35,GO_ID,92,0.7721763085399448,0.8860881542699723,6,5,001,16357,186381,,,,,,,,
first_direct_then_ancestors,exact_all_accessions,date_accession_GO,sorted_asc,GO_ID,92,0.7336088154269972,0.8668044077134986,12,5,001,16357,186381,,,,,,,,
first_direct_then_ancestors,exact_all_accessions,date_accession_GO,dfs_pre_obo,GO_ID,92,0.7336088154269972,0.8668044077134986,12,5,001,16357,186381,,,,,,,,
first_direct_then_ancestors,exact_all_accessions,date_accession_GO,bfs_obo,GO_ID,92,0.7336088154269972,0.8668044077134986,12,5,001,16357,186381,,,,,,,,
first_direct_then_ancestors,exact_all_accessions,date_accession_GO,py2set_dfs_35,GO_ID,92,0.7336088154269972,0.8668044077134986,12,5,001,16357,186381,,,,,,,,
first_direct_then_ancestors,exact_all_accessions,source,dfs_pre_obo,GO_ID,91,0.7556473829201101,0.877823691460055,11,3,001,16357,186381,,,,,,,,
first_direct_then_ancestors,exact_all_accessions,accession_GO,dfs_pre_obo,GO_ID,91,0.7556473829201101,0.877823691460055,11,3,001,16357,186381,,,,,,,,
first_direct_then_ancestors,exact_historical_mapped,source,sorted_asc,GO_ID,86,0.762258953168044,0.8811294765840221,10,5,001,13302,141790,,,,,,,,
first_direct_then_ancestors,exact_historical_mapped,source,dfs_pre_obo,GO_ID,86,0.762258953168044,0.8811294765840221,10,5,001,13302,141790,,,,,,,,
first_direct_then_ancestors,exact_historical_mapped,source,bfs_obo,GO_ID,86,0.762258953168044,0.8811294765840221,10,5,001,13302,141790,,,,,,,,
first_direct_then_ancestors,exact_historical_mapped,source,py2set_dfs_35,GO_ID,86,0.762258953168044,0.8811294765840221,10,5,001,13302,141790,,,,,,,,
