column,observed_assigned_GO,predicted_at_position,exact_position,observed_term_predicted_rank,rank_displacement,GO_name,namespace
0,GO:0050789,GO:0050789,1,0,0,regulation of biological process,biological_process
1,GO:0070062,GO:0070062,1,1,0,extracellular exosome,cellular_component
2,GO:0044710,GO:0044710,1,2,0,single-organism metabolic process,biological_process
3,GO:1901363,GO:0051179,0,4,1,heterocyclic compound binding,molecular_function
4,GO:1901360,GO:1901363,0,5,1,organic cyclic compound metabolic process,biological_process
5,GO:0003676,GO:1901360,0,7,2,nucleic acid binding,molecular_function
6,GO:0097159,GO:0003674,0,8,2,organic cyclic compound binding,molecular_function
7,GO:0005737,GO:0003676,0,9,2,cytoplasm,cellular_component
8,GO:1902589,GO:0097159,0,10,2,single-organism organelle organization,biological_process
9,GO:0043170,GO:0005737,0,11,2,macromolecule metabolic process,biological_process
10,GO:0043412,GO:1902589,0,12,2,macromolecule modification,biological_process
11,GO:0009966,GO:0043170,0,35,24,regulation of signal transduction,biological_process
12,GO:0003674,GO:0043412,0,6,-6,molecular_function,molecular_function
13,GO:0051239,GO:0051239,1,13,0,regulation of multicellular organismal process,biological_process
14,GO:0045935,GO:0045935,1,14,0,positive regulation of nucleobase-containing compound metabolic process,biological_process
15,GO:0048519,GO:0048518,0,16,1,negative regulation of biological process,biological_process
16,GO:0003723,GO:0048519,0,17,1,RNA binding,molecular_function
17,GO:0006810,GO:0003723,0,90,73,transport,biological_process
18,GO:0044421,GO:0005654,0,98,80,extracellular region part,cellular_component
19,GO:0008152,GO:0071840,0,27,8,metabolic process,biological_process
20,GO:0005654,GO:0043228,0,18,-2,nucleoplasm,cellular_component
21,GO:0050794,GO:0043227,0,55,34,regulation of cellular process,biological_process
22,GO:1903506,GO:0043226,0,60,38,regulation of nucleic acid-templated transcription,biological_process
23,GO:0071840,GO:0005634,0,19,-4,cellular component organization or biogenesis,biological_process
24,GO:0043228,GO:0009987,0,20,-4,non-membrane-bounded organelle,cellular_component
25,GO:0043227,GO:0010557,0,21,-4,membrane-bounded organelle,cellular_component
26,GO:0043226,GO:0010556,0,22,-4,organelle,cellular_component
27,GO:0005634,GO:0008152,0,23,-4,nucleus,cellular_component
28,GO:0009987,GO:0042221,0,24,-4,cellular process,biological_process
29,GO:0010557,GO:0032268,0,25,-4,positive regulation of macromolecule biosynthetic process,biological_process
30,GO:0065007,GO:0051128,0,37,7,biological regulation,biological_process
31,GO:1902578,GO:0009892,0,56,25,single-organism localization,biological_process
32,GO:0008150,GO:0080090,0,40,8,biological_process,biological_process
33,GO:0042221,GO:0006464,0,28,-5,response to chemical,biological_process
34,GO:0032268,GO:0006807,0,29,-5,regulation of cellular protein metabolic process,biological_process
35,GO:0032991,GO:0009966,0,42,7,macromolecular complex,cellular_component
36,GO:0051128,GO:0032502,0,30,-6,regulation of cellular component organization,biological_process
