label_column,candidate_GO_ID,observed_positive_genes,r158_mismatches,r158_FP,r158_FN,r158_predicted_positive,r159_mismatches,r159_FP,r159_FN,r159_predicted_positive,r160_mismatches,r160_FP,r160_FN,r160_predicted_positive,r161_mismatches,r161_FP,r161_FN,r161_predicted_positive,r162_mismatches,r162_FP,r162_FN,r162_predicted_positive,r163_mismatches,r163_FP,r163_FN,r163_predicted_positive,r164_mismatches,r164_FP,r164_FN,r164_predicted_positive,r165_mismatches,r165_FP,r165_FN,r165_predicted_positive,r166_mismatches,r166_FP,r166_FN,r166_predicted_positive,r167_mismatches,r167_FP,r167_FN,r167_predicted_positive,r168_mismatches,r168_FP,r168_FN,r168_predicted_positive,r169_mismatches,r169_FP,r169_FN,r169_predicted_positive,exact_releases,release159_exact,minimum_mismatches
0,GO:0050789,2647,13,0,13,2634,0,0,0,2647,13,3,10,2640,16,6,10,2643,19,9,10,2646,22,12,10,2649,31,20,11,2656,43,31,12,2666,73,60,13,2694,79,66,13,2700,88,72,16,2703,95,79,16,2710,159,1,0
1,GO:0070062,943,0,0,0,943,0,0,0,943,0,0,0,943,0,0,0,943,1,1,0,944,1,1,0,944,1,1,0,944,2,2,0,945,4,4,0,947,4,4,0,947,9,6,3,946,9,6,3,946,158|159|160|161,1,0
2,GO:0044710,820,10,1,9,812,0,0,0,820,30,6,24,802,33,9,24,805,34,10,24,806,37,13,24,809,44,19,25,814,46,21,25,816,63,38,25,833,64,38,26,832,65,38,27,831,70,43,27,836,159,1,0
3,GO:1901363,935,1,0,1,934,0,0,0,935,1,1,0,936,2,2,0,937,3,3,0,938,4,4,0,939,8,8,0,943,20,20,0,955,28,28,0,963,29,28,1,962,30,29,1,963,34,33,1,967,159,1,0
4,GO:1901360,542,1,0,1,541,0,0,0,542,4,4,0,546,6,6,0,548,6,6,0,548,7,7,0,549,11,10,1,551,13,12,1,553,18,17,1,558,17,17,0,559,17,17,0,559,21,21,0,563,159,1,0
5,GO:0003676,749,0,0,0,749,0,0,0,749,0,0,0,749,0,0,0,749,1,1,0,750,2,2,0,751,6,6,0,755,16,16,0,765,25,25,0,774,25,25,0,774,25,25,0,774,29,29,0,778,158|159|160|161,1,0
6,GO:0097159,961,1,0,1,960,0,0,0,961,1,1,0,962,2,2,0,963,3,3,0,964,4,4,0,965,8,8,0,969,20,20,0,981,28,28,0,989,29,28,1,988,30,29,1,989,34,33,1,993,159,1,0
7,GO:0005737,1307,13,0,13,1294,0,0,0,1307,4,4,0,1311,4,4,0,1311,4,4,0,1311,6,6,0,1313,381,8,373,942,381,8,373,942,393,21,372,956,397,25,372,960,400,28,372,963,404,33,371,969,159,1,0
8,GO:1902589,556,6,1,5,552,0,0,0,556,28,2,26,532,33,3,30,529,49,3,46,513,52,5,47,514,59,11,48,519,59,11,48,519,68,17,51,522,79,20,59,517,79,20,59,517,79,20,59,517,159,1,0
9,GO:0043170,1284,5,0,5,1279,0,0,0,1284,6,6,0,1290,9,9,0,1293,12,12,0,1296,15,15,0,1299,21,20,1,1303,25,23,2,1305,48,45,3,1326,50,46,4,1326,51,46,5,1325,54,49,5,1328,159,1,0
