threshold_ge,selected_count,same_ordered_50_as_threshold_200,selected_C1,selected_C3,selected_C7
1,50,0,50,0,0
2,50,0,50,0,0
3,50,0,50,0,0
4,50,0,50,0,0
5,50,0,50,0,0
6,50,0,50,0,0
7,50,0,50,0,0
8,50,0,50,0,0
9,50,0,50,0,0
10,50,0,50,0,0
11,50,0,50,0,0
12,50,0,50,0,0
13,50,0,50,0,0
14,50,0,50,0,0
15,50,0,50,0,0
16,50,0,50,0,0
17,50,0,50,0,0
18,50,0,50,0,0
19,50,0,50,0,0
20,50,0,50,0,0
21,50,0,50,0,0
22,50,0,50,0,0
23,50,0,50,0,0
24,50,0,50,0,0
25,50,0,50,0,0
26,50,0,50,0,0
27,50,0,50,0,0
28,50,0,50,0,0
29,50,0,50,0,0
30,50,0,50,0,0
31,50,0,50,0,0
32,50,0,50,0,0
33,50,0,50,0,0
34,50,0,50,0,0
35,50,0,50,0,0
36,50,0,50,0,0
37,50,0,50,0,0
38,50,0,50,0,0
39,50,0,50,0,0
40,50,0,50,0,0
41,50,0,50,0,0
42,50,0,50,0,0
43,50,0,50,0,0
44,50,0,50,0,0
45,50,0,50,0,0
46,50,0,50,0,0
47,50,0,50,0,0
48,50,0,50,0,0
49,50,0,50,0,0
50,50,0,50,0,0
51,50,0,50,0,0
52,50,0,50,0,0
53,50,0,50,0,0
54,50,0,50,0,0
55,50,0,50,0,0
56,50,0,50,0,0
57,50,0,50,0,0
58,50,0,50,0,0
59,50,0,50,0,0
60,50,0,50,0,0
61,50,0,50,0,0
62,50,0,50,0,0
63,50,0,50,0,0
64,50,0,50,0,0
65,50,0,50,0,0
66,50,0,50,0,0
67,50,0,50,0,0
68,50,0,50,0,0
69,50,0,50,0,0
70,50,0,50,0,0
71,50,0,50,0,0
72,50,0,50,0,0
73,50,0,50,0,0
74,50,0,50,0,0
75,50,0,50,0,0
76,50,0,50,0,0
77,50,0,50,0,0
78,50,0,50,0,0
79,50,0,50,0,0
80,50,0,50,0,0
81,50,0,50,0,0
82,50,0,50,0,0
83,50,0,50,0,0
84,50,0,50,0,0
85,50,0,50,0,0
86,50,0,50,0,0
87,50,0,50,0,0
88,50,0,50,0,0
89,50,0,50,0,0
90,50,0,50,0,0
91,50,0,50,0,0
92,50,0,50,0,0
93,50,0,50,0,0
94,50,0,50,0,0
95,50,0,50,0,0
96,50,0,50,0,0
97,50,0,50,0,0
98,50,0,50,0,0
99,50,0,50,0,0
100,50,0,50,0,0
101,50,0,50,0,0
102,50,0,50,0,0
103,50,0,50,0,0
104,50,0,50,0,0
105,50,0,50,0,0
106,50,0,50,0,0
107,50,0,50,0,0
108,50,0,50,0,0
109,50,0,50,0,0
110,50,0,50,0,0
111,50,0,50,0,0
112,50,0,50,0,0
113,50,0,50,0,0
114,50,0,50,0,0
115,50,0,50,0,0
116,50,0,50,0,0
117,50,0,50,0,0
118,50,0,50,0,0
119,50,0,50,0,0
120,50,0,50,0,0
121,50,0,50,0,0
122,50,0,50,0,0
123,50,0,50,0,0
124,50,0,50,0,0
125,50,0,50,0,0
126,50,0,50,0,0
127,50,0,50,0,0
128,50,0,50,0,0
129,50,0,50,0,0
130,50,0,50,0,0
131,50,0,50,0,0
132,50,0,50,0,0
133,50,0,50,0,0
134,50,0,50,0,0
135,50,0,50,0,0
136,50,0,50,0,0
137,50,0,50,0,0
138,50,0,50,0,0
139,50,0,50,0,0
140,50,0,50,0,0
141,50,0,50,0,0
142,50,0,50,0,0
143,50,0,50,0,0
144,50,0,50,0,0
145,50,0,50,0,0
146,50,0,50,0,0
147,50,0,50,0,0
148,50,0,50,0,0
149,50,0,50,0,0
150,50,0,47,3,0
151,50,0,47,3,0
152,50,0,47,3,0
153,50,0,47,3,0
154,50,0,46,4,0
155,50,0,45,5,0
156,50,0,45,5,0
157,50,0,45,5,0
158,50,0,43,7,0
159,50,0,43,7,0
160,50,0,43,7,0
161,50,0,43,7,0
162,50,0,42,8,0
163,50,0,42,8,0
164,50,0,41,9,0
165,50,0,41,9,0
166,50,0,41,9,0
167,50,0,41,9,0
168,50,0,41,9,0
169,50,0,40,10,0
170,50,0,40,10,0
171,50,0,39,11,0
172,50,0,39,11,0
173,50,0,38,12,0
174,50,0,38,12,0
175,50,0,38,12,0
176,50,0,37,13,0
177,50,0,36,14,0
178,50,0,36,14,0
179,50,0,36,14,0
180,50,0,35,15,0
181,50,0,34,16,0
182,50,0,34,16,0
183,50,0,34,16,0
184,50,0,34,16,0
185,50,0,34,16,0
186,50,0,33,17,0
187,50,0,33,17,0
188,50,0,33,17,0
189,50,0,33,17,0
190,50,0,33,17,0
191,50,0,33,17,0
192,50,0,33,17,0
193,50,0,33,17,0
194,50,0,33,17,0
195,50,0,33,17,0
196,50,0,32,18,0
197,50,0,32,18,0
198,50,0,32,18,0
199,50,0,32,18,0
200,50,1,30,20,0
201,50,1,30,20,0
202,50,0,29,21,0
203,50,0,29,21,0
204,50,0,29,21,0
205,50,0,28,22,0
206,50,0,28,22,0
207,50,0,28,22,0
208,50,0,28,22,0
209,50,0,27,23,0
210,50,0,27,23,0
211,50,0,27,23,0
212,50,0,27,23,0
213,50,0,26,24,0
214,50,0,26,24,0
215,50,0,25,25,0
216,50,0,25,25,0
217,50,0,25,25,0
218,50,0,25,25,0
219,50,0,24,26,0
220,50,0,24,26,0
221,50,0,24,26,0
222,50,0,24,26,0
223,50,0,24,26,0
224,50,0,24,26,0
225,50,0,24,26,0
226,50,0,23,27,0
227,50,0,23,27,0
228,50,0,23,27,0
229,50,0,23,27,0
230,50,0,23,27,0
231,50,0,23,27,0
232,50,0,23,27,0
233,50,0,23,27,0
234,50,0,23,27,0
235,50,0,23,27,0
236,50,0,22,28,0
237,50,0,22,28,0
238,50,0,22,28,0
239,50,0,22,28,0
240,50,0,22,28,0
241,50,0,22,28,0
242,50,0,22,28,0
243,50,0,22,28,0
244,50,0,22,28,0
245,50,0,21,29,0
246,50,0,21,29,0
247,50,0,21,29,0
248,50,0,20,30,0
249,50,0,20,30,0
250,50,0,20,30,0
251,50,0,20,30,0
252,50,0,20,30,0
253,50,0,20,30,0
254,50,0,20,30,0
255,50,0,20,30,0
256,50,0,20,30,0
257,50,0,20,30,0
258,50,0,20,30,0
259,50,0,20,30,0
260,50,0,20,30,0
261,50,0,20,30,0
262,50,0,19,31,0
263,50,0,19,31,0
264,50,0,19,31,0
265,50,0,19,31,0
266,50,0,19,31,0
267,50,0,19,31,0
268,50,0,18,32,0
269,50,0,18,32,0
270,50,0,18,32,0
271,50,0,17,33,0
272,50,0,16,34,0
273,50,0,16,34,0
274,50,0,16,34,0
275,50,0,16,34,0
276,50,0,16,34,0
277,50,0,16,34,0
278,50,0,16,34,0
279,50,0,16,34,0
280,50,0,16,34,0
281,50,0,16,34,0
282,50,0,16,34,0
283,50,0,16,34,0
284,50,0,16,34,0
285,50,0,16,34,0
286,50,0,15,35,0
287,50,0,15,35,0
288,50,0,14,36,0
289,50,0,14,36,0
290,50,0,14,36,0
291,50,0,14,36,0
292,50,0,14,36,0
293,50,0,14,36,0
294,50,0,13,37,0
295,50,0,13,37,0
296,50,0,13,37,0
297,50,0,13,37,0
298,50,0,13,37,0
299,50,0,13,37,0
300,50,0,13,37,0
301,50,0,13,37,0
302,50,0,13,37,0
303,50,0,13,37,0
304,50,0,13,37,0
305,50,0,13,37,0
306,50,0,13,37,0
307,50,0,13,37,0
308,50,0,13,37,0
309,50,0,13,37,0
310,50,0,13,37,0
311,50,0,13,37,0
312,50,0,12,38,0
313,50,0,12,38,0
314,50,0,12,38,0
315,50,0,12,38,0
316,50,0,12,38,0
317,50,0,12,38,0
318,50,0,12,38,0
319,50,0,12,38,0
320,50,0,12,38,0
321,50,0,12,38,0
322,50,0,12,38,0
323,50,0,12,38,0
324,50,0,12,38,0
325,50,0,12,38,0
326,50,0,12,38,0
327,50,0,12,38,0
328,50,0,12,38,0
329,50,0,12,38,0
330,50,0,12,38,0
331,50,0,11,39,0
332,50,0,11,39,0
333,50,0,11,39,0
334,50,0,11,39,0
335,50,0,11,39,0
336,50,0,11,39,0
337,50,0,11,39,0
338,50,0,11,39,0
339,50,0,10,40,0
340,50,0,9,41,0
341,50,0,9,41,0
342,50,0,9,41,0
343,50,0,9,41,0
344,50,0,9,41,0
345,50,0,9,41,0
346,50,0,9,41,0
347,50,0,9,41,0
348,50,0,8,42,0
349,50,0,8,42,0
350,50,0,8,42,0
351,50,0,8,42,0
352,50,0,8,42,0
353,50,0,8,42,0
354,50,0,8,42,0
355,50,0,8,42,0
356,50,0,8,42,0
357,50,0,8,42,0
358,50,0,8,42,0
359,50,0,7,43,0
360,50,0,7,43,0
361,50,0,7,43,0
362,50,0,7,43,0
363,50,0,7,43,0
364,50,0,7,43,0
365,50,0,7,43,0
366,50,0,7,43,0
367,50,0,7,43,0
368,50,0,7,43,0
369,50,0,7,43,0
370,50,0,6,44,0
371,50,0,6,44,0
372,50,0,6,44,0
373,50,0,6,44,0
374,50,0,6,44,0
375,50,0,6,44,0
376,50,0,6,44,0
377,50,0,6,44,0
378,50,0,6,44,0
379,50,0,6,44,0
380,50,0,6,44,0
381,50,0,6,44,0
382,50,0,6,44,0
383,50,0,6,44,0
384,50,0,6,44,0
385,50,0,6,44,0
386,50,0,6,44,0
387,50,0,6,44,0
388,50,0,6,44,0
389,50,0,6,44,0
390,50,0,6,44,0
391,50,0,6,44,0
392,50,0,6,44,0
393,50,0,6,44,0
394,50,0,6,44,0
395,50,0,6,44,0
396,50,0,6,44,0
397,50,0,6,44,0
398,50,0,6,44,0
399,50,0,6,44,0
400,50,0,6,44,0
401,50,0,6,44,0
402,50,0,6,44,0
403,50,0,6,44,0
404,50,0,6,44,0
405,50,0,6,44,0
406,50,0,6,44,0
407,50,0,6,44,0
408,50,0,6,44,0
409,50,0,6,44,0
410,50,0,6,44,0
411,50,0,6,44,0
412,50,0,6,44,0
413,50,0,6,44,0
414,50,0,6,44,0
415,50,0,6,44,0
416,50,0,6,44,0
417,50,0,6,44,0
418,50,0,6,44,0
419,50,0,6,44,0
420,50,0,6,44,0
421,50,0,6,44,0
422,50,0,6,44,0
423,50,0,6,44,0
424,50,0,6,44,0
425,50,0,6,44,0
426,50,0,6,44,0
427,50,0,6,44,0
428,50,0,6,44,0
429,50,0,6,44,0
430,50,0,6,44,0
431,50,0,6,44,0
432,50,0,6,44,0
433,50,0,5,45,0
434,50,0,5,45,0
435,50,0,5,45,0
436,50,0,5,45,0
437,50,0,5,45,0
438,50,0,5,45,0
439,50,0,5,45,0
440,50,0,5,45,0
441,50,0,5,45,0
442,50,0,5,45,0
443,50,0,5,45,0
444,50,0,5,45,0
445,50,0,5,45,0
446,50,0,5,45,0
447,50,0,5,45,0
448,50,0,5,45,0
449,50,0,5,45,0
450,50,0,5,45,0
451,50,0,5,45,0
452,50,0,5,45,0
453,50,0,5,45,0
454,50,0,5,45,0
455,50,0,5,45,0
456,50,0,5,45,0
457,50,0,4,46,0
458,50,0,4,46,0
459,50,0,4,46,0
460,50,0,4,46,0
461,50,0,4,46,0
462,50,0,4,46,0
463,50,0,4,46,0
464,50,0,4,46,0
465,50,0,4,46,0
466,50,0,4,46,0
467,50,0,4,46,0
468,50,0,4,46,0
469,50,0,4,46,0
470,50,0,4,46,0
471,50,0,4,46,0
472,50,0,4,46,0
473,50,0,4,46,0
474,50,0,4,46,0
475,50,0,4,46,0
476,50,0,4,46,0
477,50,0,4,46,0
478,50,0,4,46,0
479,50,0,4,46,0
480,50,0,4,46,0
481,50,0,4,46,0
482,50,0,4,46,0
483,50,0,4,46,0
484,50,0,4,46,0
485,50,0,4,46,0
486,50,0,4,46,0
487,50,0,4,46,0
488,50,0,4,46,0
489,50,0,4,46,0
490,50,0,4,46,0
491,50,0,4,46,0
492,50,0,4,46,0
493,50,0,4,46,0
494,50,0,4,46,0
495,50,0,4,46,0
496,50,0,4,46,0
497,50,0,4,46,0
498,50,0,4,46,0
499,50,0,4,46,0
500,50,0,4,46,0
501,50,0,4,46,0
502,50,0,4,46,0
503,50,0,4,46,0
504,50,0,4,46,0
505,50,0,3,47,0
506,50,0,3,47,0
507,50,0,3,47,0
508,50,0,3,47,0
509,50,0,3,47,0
510,50,0,3,47,0
511,50,0,3,47,0
512,50,0,3,47,0
513,50,0,3,47,0
514,50,0,3,47,0
515,50,0,3,47,0
516,50,0,3,47,0
517,50,0,3,47,0
518,50,0,3,47,0
519,50,0,3,47,0
520,50,0,3,47,0
521,50,0,3,47,0
522,49,0,3,46,0
523,49,0,3,46,0
524,49,0,3,46,0
525,49,0,3,46,0
526,49,0,3,46,0
527,49,0,3,46,0
528,49,0,3,46,0
529,49,0,3,46,0
530,49,0,3,46,0
531,49,0,3,46,0
532,49,0,3,46,0
533,49,0,3,46,0
534,49,0,3,46,0
535,49,0,3,46,0
536,49,0,3,46,0
537,49,0,3,46,0
538,49,0,3,46,0
539,47,0,3,44,0
540,47,0,3,44,0
541,47,0,3,44,0
542,47,0,3,44,0
543,47,0,3,44,0
544,47,0,3,44,0
545,46,0,2,44,0
546,45,0,2,43,0
547,45,0,2,43,0
548,44,0,2,42,0
549,44,0,2,42,0
550,44,0,2,42,0
551,44,0,2,42,0
552,44,0,2,42,0
553,43,0,2,41,0
554,43,0,2,41,0
555,43,0,2,41,0
556,43,0,2,41,0
557,42,0,2,40,0
558,42,0,2,40,0
559,42,0,2,40,0
560,42,0,2,40,0
561,42,0,2,40,0
562,42,0,2,40,0
563,42,0,2,40,0
564,42,0,2,40,0
565,42,0,2,40,0
566,42,0,2,40,0
567,42,0,2,40,0
568,42,0,2,40,0
569,42,0,2,40,0
570,42,0,2,40,0
571,42,0,2,40,0
572,42,0,2,40,0
573,42,0,2,40,0
574,42,0,2,40,0
575,42,0,2,40,0
576,42,0,2,40,0
577,42,0,2,40,0
578,42,0,2,40,0
579,42,0,2,40,0
580,41,0,2,39,0
581,41,0,2,39,0
582,41,0,2,39,0
583,41,0,2,39,0
584,41,0,2,39,0
585,41,0,2,39,0
586,41,0,2,39,0
587,41,0,2,39,0
588,40,0,2,38,0
589,40,0,2,38,0
590,40,0,2,38,0
591,40,0,2,38,0
592,40,0,2,38,0
593,40,0,2,38,0
594,40,0,2,38,0
595,40,0,2,38,0
596,39,0,2,37,0
597,39,0,2,37,0
598,39,0,2,37,0
599,39,0,2,37,0
600,39,0,2,37,0
601,39,0,2,37,0
602,38,0,2,36,0
603,38,0,2,36,0
604,38,0,2,36,0
605,38,0,2,36,0
606,38,0,2,36,0
607,38,0,2,36,0
608,38,0,2,36,0
609,38,0,2,36,0
610,38,0,2,36,0
611,38,0,2,36,0
612,38,0,2,36,0
613,38,0,2,36,0
614,38,0,2,36,0
615,38,0,2,36,0
616,38,0,2,36,0
617,37,0,2,35,0
618,37,0,2,35,0
619,37,0,2,35,0
620,37,0,2,35,0
621,37,0,2,35,0
622,37,0,2,35,0
623,37,0,2,35,0
624,37,0,2,35,0
625,37,0,2,35,0
626,37,0,2,35,0
627,37,0,2,35,0
