release,listed_release_date,gaf_url_or_local,gpi_url_or_local,gaf_size_bytes,gaf_sha256,gpi_size_bytes,gpi_sha256,gaf_rows,accepted_gaf_rows,mapped_geneids,symbol_fallback_edges,exact_label_columns,label_false_positives,label_false_negatives,label_total_mismatches,terms_ge1000,candidate_overlap_ge1000,candidate_overlap_top121,order_lcs,order_kendall_tau,order_exact_positions,order_exact_prefix,order_duplicate_orientation,dictionary_terms,dictionary_table_size
158,2016-06-07,https://ftp.ebi.ac.uk/pub/databases/GO/goa/old/HUMAN/goa_human.gaf.158.gz,https://ftp.ebi.ac.uk/pub/databases/GO/goa/old/HUMAN/goa_human.gpi.158.gz,4854158,7d5f7aabd0bea1e1f2a9d18af70f5d4038a85a78736d07ba69fc331b34241acf,602496,2c7a7a836d022038431a5efbfa48dbe0dd1777264e008f693b78387568dd354a,388218,105595,12337,0,8,21,825,846,120,120,121,94,0.7661157024793388,13,5,001,13257,32768
159,2016-07-04,https://ftp.ebi.ac.uk/pub/databases/GO/goa/old/HUMAN/goa_human.gaf.159.gz,https://ftp.ebi.ac.uk/pub/databases/GO/goa/old/HUMAN/goa_human.gpi.159.gz,4890788,b098509f9ce70fbe7e93e7fabb3c8a767b8201fe25662ff6a57959d6cee43838,602689,f783a8c71c464b3b98673eb4dc0ae836ad61bd6c72415ae62828d20d0e735612,392440,107568,12401,0,121,0,0,0,121,121,121,94,0.7661157024793388,13,5,001,13302,32768
160,2016-09-14,https://ftp.ebi.ac.uk/pub/databases/GO/goa/old/HUMAN/goa_human.gaf.160.gz,https://ftp.ebi.ac.uk/pub/databases/GO/goa/old/HUMAN/goa_human.gpi.160.gz,4574158,3d55da7ecf20d4e6c1dfd332a859be521579ba220bcf68fe93633592241ce300,693073,2638f62e9ef2e6de8017ad5de026d403ce74782a800bab2b3539645c218ddce9,354515,108225,12392,0,15,438,214,652,122,120,120,94,0.7661157024793388,13,5,001,13374,32768
161,2016-10-03,https://ftp.ebi.ac.uk/pub/databases/GO/goa/old/HUMAN/goa_human.gaf.161.gz,https://ftp.ebi.ac.uk/pub/databases/GO/goa/old/HUMAN/goa_human.gpi.161.gz,4583848,e6f195c9770e4ccb08d40af740094af4396b772754fd2f6c342b368aad4185e9,693074,f05a975c863e3a419b4a771379b412594aafe513077d581388140fb639d30e38,355052,108608,12402,0,9,625,238,863,123,120,120,94,0.7661157024793388,13,5,001,13397,32768
162,2016-10-31,https://ftp.ebi.ac.uk/pub/databases/GO/goa/old/HUMAN/goa_human.gaf.162.gz,https://ftp.ebi.ac.uk/pub/databases/GO/goa/old/HUMAN/goa_human.gpi.162.gz,4941785,0dd0bcb1b0e12ce1d1cd09002118c1520d9d0e050827542bd8e92c3f8aa261b8,693186,e6f6696cea728bad15bbe810d4dc3f568399243fcd4d490322f79f535ab20908,392942,109151,12443,0,1,894,288,1182,124,120,119,94,0.7661157024793388,13,5,001,13430,32768
163,2016-11-28,https://ftp.ebi.ac.uk/pub/databases/GO/goa/old/HUMAN/goa_human.gaf.163.gz,https://ftp.ebi.ac.uk/pub/databases/GO/goa/old/HUMAN/goa_human.gpi.163.gz,5017961,4b9fcc9be1012894a4040232e88aa3d899c5825890e74ab85f3e39a3aac4a8a5,694169,d6063d1a31cac0a20b3a53cd30052540a302e32ab6b892a40f10412026af7d1f,394983,109630,12460,2,1,1231,295,1526,125,120,119,94,0.7661157024793388,13,5,001,13462,32768
164,2017-01-16,https://ftp.ebi.ac.uk/pub/databases/GO/goa/old/HUMAN/goa_human.gaf.164.gz,https://ftp.ebi.ac.uk/pub/databases/GO/goa/old/HUMAN/goa_human.gpi.164.gz,5158129,636dfc573896e5c67f6c0d6d4a3857d12fea9e90abfc6cdb6f16355ebd1bc03a,695006,84bebbfa493c6e2cc3b21714dd58cc0e858914d911a994eccc5c708d32aa20a8,409565,111932,12714,2,1,3890,1757,5647,127,120,119,94,0.7661157024793388,13,5,001,13489,32768
165,2017-02-13,https://ftp.ebi.ac.uk/pub/databases/GO/goa/old/HUMAN/goa_human.gaf.165.gz,https://ftp.ebi.ac.uk/pub/databases/GO/goa/old/HUMAN/goa_human.gpi.165.gz,5151272,8adb3527961da5ead7fb3823c6a34de10b1d05ee27b81bd3b49e2cde69472ea3,695024,72324ce83a5ec15dbf8e19ec03427f9438ffbdd0c96965adbeadeac0aec1ba7e,409751,112291,12748,2,0,4458,2059,6517,130,119,118,94,0.7661157024793388,13,5,001,13528,32768
166,2017-03-13,https://ftp.ebi.ac.uk/pub/databases/GO/goa/old/HUMAN/goa_human.gaf.166.gz,https://ftp.ebi.ac.uk/pub/databases/GO/goa/old/HUMAN/goa_human.gpi.166.gz,5196653,b60423ed85e51c94296480f02f2ee85e04dd71672efba3541c710eb2d0b29ec7,695933,dd8a3a7ede52c67ac3d7d18e2060a0f1bc3b331865549b8851c6f8948bc92826,413064,114961,12793,2,0,6385,2099,8484,131,119,118,94,0.7661157024793388,13,5,001,13688,32768
167,2017-04-10,https://ftp.ebi.ac.uk/pub/databases/GO/goa/old/HUMAN/goa_human.gaf.167.gz,https://ftp.ebi.ac.uk/pub/databases/GO/goa/old/HUMAN/goa_human.gpi.167.gz,5206986,2ca276e6a3e3afea9d0db2c115828570cd6d0da2fe3bcb203aa9e31446355195,696353,a291f336f58df77c247c4fee2e937719244f01336b2ff1283e85016ea4bbc16c,413936,115428,12813,2,0,6634,2143,8777,131,119,118,93,0.759504132231405,7,5,001,13707,32768
