relative_path,size_bytes,sha256
B104G_ANALYSIS_SUMMARY_20260829T150633Z.json,10327,97b9803a0e68f20ef67f36913176819f77856e3c9178328fb17885744e4edcf0
B104G_CLAIM_STATUS_20260829T151452Z.csv,2344,7be24f72c228c7606d7b3b333bb89ff122b40166fdffeaf3c94c3eb35db8e4e2
B104G_DELETION_CLEARANCE_20260829T151452Z.md,1629,8099531aecd3f6f5b1eb0d7d3b946047e5a570645d049093bee7e4c0755c7549
B104G_EXECUTION_DIAGNOSTICS_20260829T151452Z.md,3384,9f5951f322c3703f4b7b4a3dc437686fe3d1706fea0d774c2222290bc47c6ea5
B104G_INDEPENDENT_FULL_FEATURE_VALIDATION_20260829T150633Z.json,388,af92594dc0b509a35370173e2dd621dc4fd388a81c206cf88fdf6551e0c10ff1
B104G_INDEPENDENT_FULL_LABEL_VALIDATION_20260829T150633Z.json,461,d10ea8ac9bcc00a713512bf3e10658d349f2ffbcc47103a6a98657e80eb05828
B104G_INDEPENDENT_ROW_ORDER_VALIDATION_20260829T150633Z.json,1190,51daba907948fe64488f686c3c048be5dcfcf11aac2849c5a5bfcbdcc6b37dab
B104G_REPORT_20260829T151452Z.md,16825,f7e3ed202bbbc8be938b60e8040fc5885824053e4e5e11d4a326241362619f13
B104G_REPRODUCTION_INSTRUCTIONS_20260829T151452Z.md,3580,b9303ed2a4b0d530f5103b32afd102c4c16a83a7b285b8be777653e9c3633c46
B104G_UPDATED_AGENT_HANDOFF_20260829T151452Z.md,3871,c381cbaf744127cd8a9d14c09fcb55a8ebdaf0b683aea075d13703d26ccdcb7a
analysis/B104G_all_OhmNet_network_sizes_and_GraphSAGE_selection.csv,11235,d567e07e20a068f7e782ad7a179b88994b463c1a259f30637545dfb12f19d341
analysis/B104G_current_resolution_and_remaining_ambiguities.csv,2344,7be24f72c228c7606d7b3b333bb89ff122b40166fdffeaf3c94c3eb35db8e4e2
analysis/B104G_dhimmel_annotation_file_summary.csv,940,021a5ac97febcbb392451a94de3b7283996c6e3171c7ebad862f268f190fe38a
analysis/B104G_dhimmel_column_order_controls.csv,1956,7243a7a55a360a0c36ebc303b1e29cbb37e7fabb8a94560c7a3e42d7f6a5f2e0
analysis/B104G_dhimmel_per_column_comparison.csv.gz,12559,31faded10b8aaec83ada72e4907d58275b5d5db3b2b198476d3cd56b9544f662
analysis/B104G_dhimmel_raw_to_retained_reconciliation.json,3328,7770c8198527f67ac5cacfc12dd1b17bcee7a24e3c75def1cc0414ecb342b65a
analysis/B104G_dhimmel_selected_gene_audit.csv,8882,d530b24b4fa1b59f8fcdbe3b61e1c3702ade1edfd7f9948bf89f3d7f32571ba6
analysis/B104G_duplicate_GO_candidate_full_universe_test.csv,420,5a997c2c6027f132aab125a761e3aafbe307c98c15d185d8d0fcf986560fabea
analysis/B104G_former_equivalence_classes_resolved_by_node_order.csv,13201,af51faa422e6f670e88ffc8d36c57b47696db63ac6c73ebf0aa0088162d83e0a
analysis/B104G_full_121_label_validation.csv,18033,7b6d50c6999238ec13d71bd0ec4ec0d2d27b6c03933f90dcfe9cfabd692ed792
analysis/B104G_full_24_tissue_node_edge_verification.csv,2105,f5be3091eb4729c841f9ba8b797438614774278e2847766ed90abd7425b8f527
analysis/B104G_full_50_feature_validation.csv,1883,868d40e8314216fb72fc1b38fd4be4bbc2ee447d9c544aec05eab39f39531759
analysis/B104G_full_mapping_leakage_recalculation.csv,1112,1d040f1efc9fdc08129b46fdd084f7ebc00fbfc47f79d670bb6926390b4bf9c2
analysis/B104G_graph_selection_open_question_summary.json,941,b93c72e8564a53395a694c835c72aa2714c0e2c7b700e680adcaae8dbbc8f9a0
analysis/B104G_mapping_components_touching_full_graph_gene_universe.csv,2554,15a972b7a5a761e4f3e4a60025326b9247619fa3924de4ea085075444531c507
analysis/B104G_node_order_model_controls.csv,341,bcb43b464199469ea8f163fa25a64ada1e78afbf55794c2f9a126141d84d78e7
analysis/B104G_special_and_unmapped_gene_rows.csv,1117,8afed3e03a6f4b86d65db972d976c074446f4a952ff80e9507f53ff7edbbaf87
derived/B104G_full_4301_gene_universe.csv.gz,207811,3ddaa4b39cd522859906f38efcb6097bdf73575f135a1dc9fc97d81015dadf44
derived/B104G_full_graphsage_row_to_entrez_mapping.csv.gz,651211,a21a6532e287bfe82102cdc9d6642a0c9aff77f9c7449997cbafb597d1145737
logs/analyze_B104G.stderr,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
logs/analyze_B104G.stdout,10327,97b9803a0e68f20ef67f36913176819f77856e3c9178328fb17885744e4edcf0
logs/independent_features.stderr,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
logs/independent_features.stdout,388,af92594dc0b509a35370173e2dd621dc4fd388a81c206cf88fdf6551e0c10ff1
logs/independent_labels.stderr,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
logs/independent_labels.stdout,461,d10ea8ac9bcc00a713512bf3e10658d349f2ffbcc47103a6a98657e80eb05828
logs/independent_validate.stderr,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
logs/independent_validate.stdout,1190,51daba907948fe64488f686c3c048be5dcfcf11aac2849c5a5bfcbdcc6b37dab
retained_inputs/GO_annotations-9606-direct-allev.tsv.gz,1653192,1e8a2e9d82b34d1cf2511661c1b2413f3fd0c3e502fd694d9e50aad29e3ebb66
retained_inputs/GO_annotations-9606-direct-expev.tsv.gz,662036,1b3525d3e300a83624f5d98dd22457ba3690e74b8564080f060e4ab9d7e4e8fb
retained_inputs/GO_annotations-9606-inferred-allev.tsv.gz,9379037,8fec17121978720d73ff306c5fa8080d9de1eca35cdacc2eebb06c1bf5decc8f
retained_inputs/GO_annotations-9606-inferred-expev.tsv.gz,3501432,83f9a3a514042a867b5881175125e27b8246eb66bdc40afca171efdb05d5f6cd
retained_inputs/prior_compact_inputs/B101_goa_human_gaf159_normalized_20260827T152736Z.tsv.gz,5123439,132066afa3d3ea550752d3d2eb98fcbc238570c23bf239f0ea77e720e34cc274
retained_inputs/prior_compact_inputs/B101_goa_human_gpi159_normalized_20260827T152736Z.tsv.gz,675697,4a69bf547b951d060c1b38a4fc208b116ff0917ce74b941675d244b3315c34b1
retained_inputs/prior_compact_inputs/B102_gp2protein_geneid_relevant_subset_20260827T162132Z.tsv.gz,164596,9187753eed649d1d72bc0d38764094877b1967d5e7fe7696b292241e1ff12039
retained_inputs/prior_compact_inputs/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv,16916,155d61ed60b4ad20a7d2dc4ad703d9f62a1d68b0fa360ea995643e0ef17ce89c
retained_inputs/prior_compact_inputs/B104C_msigdb_v5.0_normalized_entrez_gene_sets.tsv.gz,2982724,6775fb96be44080c768bd5789a0dbb0c802a1a0faa45927aa2a07d70af9f7c1f
retained_inputs/prior_compact_inputs/B104E_exact_MSigDB52_feature_generation_rule_20260829T121535Z.csv,10275,a66ea20e5face0a6f6d35ae308ea4a3bc59ba19c4f377201cbc2151a83c7a489
retained_inputs/prior_compact_inputs/B104F_MSigDB52_symbol_to_Entrez_relevant.tsv.gz,177974,ed6b1f3f949cc91562cb8ddc59666b6e0caa760beb54170da7488aaa56141595
retained_inputs/prior_compact_inputs/B104G_prior_compact_input_checksums.sha256,2593,7e6cede7b6824b33f06ed3c87cce267b59f7d9247aa02c12ac87a70f0a7fddc9
retained_inputs/prior_compact_inputs/B104_repaired_B103_GO_is_a_edges_20260828T030759Z.tsv.gz,316121,e5c95105ff60d78feb5acb7441d1628083081a28ccb4d858db50334a34259708
retained_inputs/prior_compact_inputs/B104_repaired_B103_GO_terms_20260828T030759Z.tsv.gz,510862,4f4e30e4705c669e47d7938948cb8ad81689da8ac0b96bf625a5c6f278024430
retained_inputs/prior_compact_inputs/core_verification_summary.json,6123,3d4e3624a4d00d6c8c85dcdaab01f951c55a0b6cdf338c97a492ce3930983ec0
retained_inputs/prior_compact_inputs/graphsage_row_to_entrez_topology_features.csv,1201265,4aaada1751c958db2653e19e05ca5a8e2bdd2da86c1a4441bad26e0468ae7207
