tissue,node_count,edge_count,selected_by_graphsage,graphsage_graph_index_1based,graphsage_split,meets_15000_edge_threshold,meets_35000_edge_threshold,tar_member,edge_count_rank_desc
nervous_system,3548,56021,0,,,1,1,bio-tissue-networks/nervous_system.edgelist,1
central_nervous_system,3520,55050,0,,,1,1,bio-tissue-networks/central_nervous_system.edgelist,2
brain,3497,54824,1,14,train,1,1,bio-tissue-networks/brain.edgelist,3
blood,3326,54554,1,10,train,1,1,bio-tissue-networks/blood.edgelist,4
fetus,3477,53703,0,,,1,1,bio-tissue-networks/fetus.edgelist,5
kidney,3304,52126,1,22,val,1,1,bio-tissue-networks/kidney.edgelist,6
lung,3214,51666,1,23,test,1,1,bio-tissue-networks/lung.edgelist,7
leukocyte,3130,51088,0,,,1,1,bio-tissue-networks/leukocyte.edgelist,8
heart,3210,50061,1,21,val,1,1,bio-tissue-networks/heart.edgelist,9
testis,3028,48758,0,,,1,1,bio-tissue-networks/testis.edgelist,10
liver,3180,48409,1,19,train,1,1,bio-tissue-networks/liver.edgelist,11
placenta,3135,48212,0,,,1,1,bio-tissue-networks/placenta.edgelist,12
pancreas,3043,47402,0,,,1,1,bio-tissue-networks/pancreas.edgelist,13
gastrointestinal_tract,3037,46956,1,20,train,1,1,bio-tissue-networks/gastrointestinal_tract.edgelist,14
intestine,3003,46712,0,,,1,1,bio-tissue-networks/intestine.edgelist,15
skeletal_muscle,2936,46055,0,,,1,1,bio-tissue-networks/skeletal_muscle.edgelist,16
spleen,2939,45605,0,,,1,1,bio-tissue-networks/spleen.edgelist,17
ovary,2864,44150,0,,,1,1,bio-tissue-networks/ovary.edgelist,18
large_intestine,2829,43964,1,18,train,1,1,bio-tissue-networks/large_intestine.edgelist,19
colon,2807,43854,1,15,train,1,1,bio-tissue-networks/colon.edgelist,20
prostate_gland,2697,41514,0,,,1,1,bio-tissue-networks/prostate_gland.edgelist,21
bone_marrow,2633,40360,0,,,1,1,bio-tissue-networks/bone_marrow.edgelist,22
small_intestine,2678,40123,0,,,1,1,bio-tissue-networks/small_intestine.edgelist,23
forebrain,2664,39671,1,17,train,1,1,bio-tissue-networks/forebrain.edgelist,24
lymphocyte,2548,39276,0,,,1,1,bio-tissue-networks/lymphocyte.edgelist,25
cerebellum,2608,39114,0,,,1,1,bio-tissue-networks/cerebellum.edgelist,26
telencephalon,2634,39065,0,,,1,1,bio-tissue-networks/telencephalon.edgelist,27
cerebral_cortex,2622,38875,0,,,1,1,bio-tissue-networks/cerebral_cortex.edgelist,28
hematopoietic_stem_cell,2633,38419,0,,,1,1,bio-tissue-networks/hematopoietic_stem_cell.edgelist,29
temporal_lobe,2570,38281,0,,,1,1,bio-tissue-networks/temporal_lobe.edgelist,30
skin,2532,38176,0,,,1,1,bio-tissue-networks/skin.edgelist,31
hippocampus,2512,37207,0,,,1,1,bio-tissue-networks/hippocampus.edgelist,32
basal_ganglion,2500,36276,1,8,train,1,1,bio-tissue-networks/basal_ganglion.edgelist,33
corpus_striatum,2466,35713,0,,,1,1,bio-tissue-networks/corpus_striatum.edgelist,34
uterus,2469,35646,0,,,1,1,bio-tissue-networks/uterus.edgelist,35
lymph_node,2382,35459,0,,,1,1,bio-tissue-networks/lymph_node.edgelist,36
spinal_cord,2478,34900,0,,,1,0,bio-tissue-networks/spinal_cord.edgelist,37
diencephalon,2422,34845,0,,,1,0,bio-tissue-networks/diencephalon.edgelist,38
caudate_nucleus,2370,33883,0,,,1,0,bio-tissue-networks/caudate_nucleus.edgelist,39
amygdala,2349,33731,1,4,train,1,0,bio-tissue-networks/amygdala.edgelist,40
muscle,2356,33473,0,,,1,0,bio-tissue-networks/muscle.edgelist,41
t_lymphocyte,2208,33281,0,,,1,0,bio-tissue-networks/t_lymphocyte.edgelist,42
blood_plasma,2407,33201,1,11,train,1,0,bio-tissue-networks/blood_plasma.edgelist,43
thalamus,2345,33167,0,,,1,0,bio-tissue-networks/thalamus.edgelist,44
corpus_callosum,2278,33019,0,,,1,0,bio-tissue-networks/corpus_callosum.edgelist,45
thyroid_gland,2268,33006,0,,,1,0,bio-tissue-networks/thyroid_gland.edgelist,46
monocyte,2341,32032,0,,,1,0,bio-tissue-networks/monocyte.edgelist,47
mononuclear_phagocyte,2341,32032,0,,,1,0,bio-tissue-networks/mononuclear_phagocyte.edgelist,48
midbrain,2310,31665,1,24,test,1,0,bio-tissue-networks/midbrain.edgelist,49
substantia_nigra,2308,31654,0,,,1,0,bio-tissue-networks/substantia_nigra.edgelist,50
eye,2333,30993,1,16,train,1,0,bio-tissue-networks/eye.edgelist,51
adrenal_gland,2273,30839,1,3,train,1,0,bio-tissue-networks/adrenal_gland.edgelist,52
mammary_gland,2208,30205,0,,,1,0,bio-tissue-networks/mammary_gland.edgelist,53
embryo,2224,30165,0,,,1,0,bio-tissue-networks/embryo.edgelist,54
subthalamic_nucleus,2151,29709,0,,,1,0,bio-tissue-networks/subthalamic_nucleus.edgelist,55
blood_vessel,2200,29603,0,,,1,0,bio-tissue-networks/blood_vessel.edgelist,56
nephron,2153,28932,0,,,1,0,bio-tissue-networks/nephron.edgelist,57
granulocyte,2148,28527,0,,,1,0,bio-tissue-networks/granulocyte.edgelist,58
stomach,2187,28342,0,,,1,0,bio-tissue-networks/stomach.edgelist,59
b_lymphocyte,2013,28329,0,,,1,0,bio-tissue-networks/b_lymphocyte.edgelist,60
epidermis,2075,27614,0,,,1,0,bio-tissue-networks/epidermis.edgelist,61
macrophage,2050,26792,0,,,1,0,bio-tissue-networks/macrophage.edgelist,62
neutrophil,2025,26340,0,,,1,0,bio-tissue-networks/neutrophil.edgelist,63
salivary_gland,1949,25364,0,,,1,0,bio-tissue-networks/salivary_gland.edgelist,64
caudate_putamen,1973,24869,0,,,1,0,bio-tissue-networks/caudate_putamen.edgelist,65
trachea,1901,24776,0,,,1,0,bio-tissue-networks/trachea.edgelist,66
frontal_lobe,1952,24651,0,,,1,0,bio-tissue-networks/frontal_lobe.edgelist,67
renal_glomerulus,1910,24585,0,,,1,0,bio-tissue-networks/renal_glomerulus.edgelist,68
megakaryocyte,1902,24562,0,,,1,0,bio-tissue-networks/megakaryocyte.edgelist,69
keratinocyte,1892,24520,0,,,1,0,bio-tissue-networks/keratinocyte.edgelist,70
uterine_endometrium,1892,24424,0,,,1,0,bio-tissue-networks/uterine_endometrium.edgelist,71
blood_platelet,1884,24016,1,12,train,1,0,bio-tissue-networks/blood_platelet.edgelist,72
bone,1825,23741,1,13,train,1,0,bio-tissue-networks/bone.edgelist,73
hypophysis,1842,23706,0,,,1,0,bio-tissue-networks/hypophysis.edgelist,74
retina,1877,23153,0,,,1,0,bio-tissue-networks/retina.edgelist,75
umbilical_cord,1875,23120,0,,,1,0,bio-tissue-networks/umbilical_cord.edgelist,76
artery,1835,23041,1,7,train,1,0,bio-tissue-networks/artery.edgelist,77
smooth_muscle,1855,22841,0,,,1,0,bio-tissue-networks/smooth_muscle.edgelist,78
occipital_lobe,1845,22768,0,,,1,0,bio-tissue-networks/occipital_lobe.edgelist,79
cartilage,1803,22756,0,,,1,0,bio-tissue-networks/cartilage.edgelist,80
medulla_oblongata,1828,22571,0,,,1,0,bio-tissue-networks/medulla_oblongata.edgelist,81
serum,1898,22530,0,,,1,0,bio-tissue-networks/serum.edgelist,82
esophagus,1657,20556,0,,,1,0,bio-tissue-networks/esophagus.edgelist,83
vascular_endothelium,1745,20420,0,,,1,0,bio-tissue-networks/vascular_endothelium.edgelist,84
urinary_bladder,1652,20224,0,,,1,0,bio-tissue-networks/urinary_bladder.edgelist,85
tonsil,1673,20111,0,,,1,0,bio-tissue-networks/tonsil.edgelist,86
aorta,1587,18871,1,5,train,1,0,bio-tissue-networks/aorta.edgelist,87
