file,GeneID,predicted_positive_selected_columns,predicted_positive_selected_count,observed_GraphSAGE_positive_columns,observed_positive_count,mismatch_count
GO_annotations-9606-direct-allev.tsv,25788,27,1,2|4|9|12|19|28|32|40|46|47|64|66|77|85|92|95|96|97|105,19,20
GO_annotations-9606-direct-allev.tsv,100861412,7|20|27|59|106,5,,0,not_in_graph
GO_annotations-9606-direct-allev.tsv,10159,1|44|106,3,,0,3
GO_annotations-9606-direct-allev.tsv,3248,1|7|20|95,4,0|1|2|3|6|7|12|15|18|19|20|21|25|26|28|30|32|41|46|47|48|50|66|68|70|81|83|85|94|95|97|99|108|110|116|117|118,37,33
GO_annotations-9606-direct-allev.tsv,3988,1,1,1|12|18|25|26|48|70|95|99|116,10,9
GO_annotations-9606-direct-allev.tsv,8564,1,1,1|2|3|4|6|12|18|19|25|26|28|32|40|46|47|48|66|67|68|70|81|85|95|96|97|99|105|108|109|116|117|118,32,31
GO_annotations-9606-direct-allev.tsv,27201,44,1,0|12|21|30|32|83,6,7
GO_annotations-9606-direct-allev.tsv,30061,7|44|106,3,12|17|28|30|31|32|43|44|61|65|66|67|75|85|102|116|118,17,18
GO_annotations-9606-direct-allev.tsv,51166,,0,2|4|12|19|28|32|40|46|47|66|84|85|95|97,14,14
GO_annotations-9606-direct-allev.tsv,51312,,0,,0,0
GO_annotations-9606-direct-allev.tsv,55471,,0,18|23|25|26|28|32|58|76|100|109|116|117|118|119,14,14
GO_annotations-9606-direct-allev.tsv,55801,,0,0|11|12|13|14|15|18|21|22|29|30|32|34|38|45|49|50|51|52|53|54|55|57|59|60|62|72|73|74|78|79|81|82|87|88|90|93|98|101|103|104|106|109|111|112|113|115|116|117|118|120,51,51
GO_annotations-9606-direct-allev.tsv,56994,67|100,2,2|12|19|28|32|40|46|47|66|77|84|85|95|97,14,16
GO_annotations-9606-direct-allev.tsv,79017,1,1,1|12|18|23|25|26|28|32|48|70|76|81|84|95|99|106|107|109|116|117|118,21,20
GO_annotations-9606-direct-allev.tsv,121599,27,1,,0,1
GO_annotations-9606-direct-expev.tsv,25788,,0,2|4|9|12|19|28|32|40|46|47|64|66|77|85|92|95|96|97|105,19,19
GO_annotations-9606-direct-expev.tsv,100861412,7|20|27|106,4,,0,not_in_graph
GO_annotations-9606-direct-expev.tsv,10159,1|106,2,,0,2
GO_annotations-9606-direct-expev.tsv,3248,1|7|20|95,4,0|1|2|3|6|7|12|15|18|19|20|21|25|26|28|30|32|41|46|47|48|50|66|68|70|81|83|85|94|95|97|99|108|110|116|117|118,37,33
GO_annotations-9606-direct-expev.tsv,3988,1,1,1|12|18|25|26|48|70|95|99|116,10,9
GO_annotations-9606-direct-expev.tsv,8564,1,1,1|2|3|4|6|12|18|19|25|26|28|32|40|46|47|48|66|67|68|70|81|85|95|96|97|99|105|108|109|116|117|118,32,31
GO_annotations-9606-direct-expev.tsv,27201,,0,0|12|21|30|32|83,6,6
GO_annotations-9606-direct-expev.tsv,30061,44|106,2,12|17|28|30|31|32|43|44|61|65|66|67|75|85|102|116|118,17,17
GO_annotations-9606-direct-expev.tsv,51166,,0,2|4|12|19|28|32|40|46|47|66|84|85|95|97,14,14
GO_annotations-9606-direct-expev.tsv,51312,,0,,0,0
GO_annotations-9606-direct-expev.tsv,55471,,0,18|23|25|26|28|32|58|76|100|109|116|117|118|119,14,14
GO_annotations-9606-direct-expev.tsv,55801,,0,0|11|12|13|14|15|18|21|22|29|30|32|34|38|45|49|50|51|52|53|54|55|57|59|60|62|72|73|74|78|79|81|82|87|88|90|93|98|101|103|104|106|109|111|112|113|115|116|117|118|120,51,51
GO_annotations-9606-direct-expev.tsv,56994,,0,2|12|19|28|32|40|46|47|66|77|84|85|95|97,14,14
GO_annotations-9606-direct-expev.tsv,79017,1,1,1|12|18|23|25|26|28|32|48|70|76|81|84|95|99|106|107|109|116|117|118,21,20
GO_annotations-9606-direct-expev.tsv,121599,,0,,0,0
GO_annotations-9606-inferred-allev.tsv,25788,2|3|4|5|6|8|9|12|19|23|25|26|27|28|32|33|40|41|46|47|64|66|76|77|81|85|92|94|95|96|97|100|105|107|116|119,36,2|4|9|12|19|28|32|40|46|47|64|66|77|85|92|95|96|97|105,19,17
GO_annotations-9606-inferred-allev.tsv,100861412,0|4|7|9|12|19|20|21|22|25|26|27|28|30|32|38|40|45|46|47|53|55|59|73|77|78|79|81|82|88|92|97|98|100|106|108|112|115|116|119|120,41,,0,not_in_graph
GO_annotations-9606-inferred-allev.tsv,10159,0|1|9|11|12|13|19|21|25|26|28|30|32|34|38|40|41|43|44|46|47|48|49|51|52|53|54|57|60|67|70|77|81|85|90|91|94|97|98|99|101|106|115|116,44,,0,44
GO_annotations-9606-inferred-allev.tsv,3248,0|1|2|3|6|7|12|15|19|20|21|25|26|27|28|30|32|33|41|44|46|47|48|50|64|66|67|70|81|83|85|94|95|97|99|100|105|106|108|116|119,41,0|1|2|3|6|7|12|15|18|19|20|21|25|26|28|30|32|41|46|47|48|50|66|68|70|81|83|85|94|95|97|99|108|110|116|117|118,37,14
GO_annotations-9606-inferred-allev.tsv,3988,1|2|4|7|12|19|23|25|26|28|30|32|41|43|46|47|48|66|70|76|85|94|95|96|97|99|100|105|116|119,30,1|12|18|25|26|48|70|95|99|116,10,22
GO_annotations-9606-inferred-allev.tsv,8564,1|2|3|4|6|7|12|19|25|26|28|32|40|46|47|48|66|67|70|77|81|85|95|96|97|99|100|105|108|116|119,31,1|2|3|4|6|12|18|19|25|26|28|32|40|46|47|48|66|67|68|70|81|85|95|96|97|99|105|108|109|116|117|118,32,9
GO_annotations-9606-inferred-allev.tsv,27201,0|12|21|28|30|32|44|64|66|67|83|85|105|116,14,0|12|21|30|32|83,6,8
GO_annotations-9606-inferred-allev.tsv,30061,0|7|12|14|15|17|21|22|25|26|28|29|30|31|32|33|38|41|43|44|45|50|52|53|55|59|60|61|64|65|66|67|72|73|74|75|78|79|81|82|85|87|88|93|94|98|99|100|103|104|105|106|111|112|113|115|116|119|120,59,12|17|28|30|31|32|43|44|61|65|66|67|75|85|102|116|118,17,46
GO_annotations-9606-inferred-allev.tsv,51166,2|3|4|6|7|12|19|25|26|28|32|40|46|47|66|77|81|84|85|95|97|100|106|108|116|119,26,2|4|12|19|28|32|40|46|47|66|84|85|95|97,14,12
GO_annotations-9606-inferred-allev.tsv,51312,7|9|12|17|19|25|26|28|30|31|32|40|43|46|47|61|65|66|67|75|77|80|85|91|92|97|100|108|116|119,30,,0,30
GO_annotations-9606-inferred-allev.tsv,55471,7|12|19|23|25|26|28|32|58|76|81|84|95|100|106|107|108|116|119,19,18|23|25|26|28|32|58|76|100|109|116|117|118|119,14,13
GO_annotations-9606-inferred-allev.tsv,55801,0|7|11|12|13|14|15|21|22|28|29|30|32|34|38|45|49|50|51|52|53|54|55|57|59|60|62|66|72|73|74|78|79|81|82|85|87|88|90|93|96|98|101|103|104|105|106|111|112|113|115|116|120,53,0|11|12|13|14|15|18|21|22|29|30|32|34|38|45|49|50|51|52|53|54|55|57|59|60|62|72|73|74|78|79|81|82|87|88|90|93|98|101|103|104|106|109|111|112|113|115|116|117|118|120,51,10
GO_annotations-9606-inferred-allev.tsv,56994,0|2|7|12|19|21|25|26|28|30|32|36|40|46|47|66|67|77|81|84|85|95|97|100|108|116|119,27,2|12|19|28|32|40|46|47|66|77|84|85|95|97,14,13
GO_annotations-9606-inferred-allev.tsv,79017,0|1|7|12|19|21|23|25|26|28|30|32|40|47|48|64|66|70|76|77|81|83|84|85|95|97|99|105|106|107|116,31,1|12|18|23|25|26|28|32|48|70|76|81|84|95|99|106|107|109|116|117|118,21,18
GO_annotations-9606-inferred-allev.tsv,121599,0|3|4|5|6|9|12|14|19|21|22|25|26|27|28|29|30|32|38|40|41|45|46|47|52|53|55|59|60|66|72|73|74|77|78|79|81|82|85|87|88|92|93|94|97|98|100|103|104|111|112|113|115|116|119|120,56,,0,56
GO_annotations-9606-inferred-expev.tsv,25788,2|4|9|12|19|28|32|40|46|47|64|66|77|85|92|95|96|97|105,19,2|4|9|12|19|28|32|40|46|47|64|66|77|85|92|95|96|97|105,19,0
GO_annotations-9606-inferred-expev.tsv,100861412,7|12|20|25|26|27|81|100|106|108|116|119,12,,0,not_in_graph
GO_annotations-9606-inferred-expev.tsv,10159,0|1|9|11|12|13|19|21|25|26|28|30|32|34|38|40|41|43|44|46|47|48|49|51|52|53|54|57|60|67|70|77|81|85|90|91|94|97|98|99|101|106|115|116,44,,0,44
GO_annotations-9606-inferred-expev.tsv,3248,0|1|2|3|6|7|12|15|19|20|21|25|26|27|28|30|32|33|46|47|48|50|64|66|70|81|83|85|95|97|99|100|105|108|116|119,36,0|1|2|3|6|7|12|15|18|19|20|21|25|26|28|30|32|41|46|47|48|50|66|68|70|81|83|85|94|95|97|99|108|110|116|117|118,37,13
