graph_index,tissue,WL_color,row_count,rows,predicted_GeneIDs_in_row_order,candidate_GeneIDs,candidate_set_exact,predicted_GeneIDs_unique
1,adipose_tissue,77,2,39|1469,6376|9263,6376|9263,1,1
1,adipose_tissue,49,2,108|541,1611|27035,1611|27035,1,1
1,adipose_tissue,174,3,195|596|824,1545|7363|3294,1545|3294|7363,1,1
1,adipose_tissue,0,4,486|892|1030|1060,56898|51378|10316|9048,9048|10316|51378|56898,1,1
1,adipose_tissue,64,2,422|473,8609|2537,2537|8609,1,1
1,adipose_tissue,37,2,514|1544,252983|59338,59338|252983,1,1
1,adipose_tissue,51,2,985|1523,23568|4240,4240|23568,1,1
2,adrenal_cortex,50,3,1921|2197|2435,8609|22821|79661,8609|22821|79661,1,1
2,adrenal_cortex,0,7,1800|2259|2342|2472|2501|2620|2871,9619|56246|51378|10316|9048|3141|3762,3141|3762|9048|9619|10316|51378|56246,1,1
2,adrenal_cortex,35,2,2144|2566,55500|51738,51738|55500,1,1
2,adrenal_cortex,843,5,2839|2841|2843|2845|2846,8360|8362|8364|8366|8368,8360|8362|8364|8366|8368,1,1
3,adrenal_gland,70,5,2949|3227|3622|3829|4143,8609|79017|2537|10242|55471,2537|8609|10242|55471|79017,1,1
3,adrenal_gland,0,5,3154|4226|4433|4500|5095,9048|51378|10316|112744|3762,3762|9048|10316|51378|112744,1,1
3,adrenal_gland,87,2,2962|3354,51289|57107,51289|57107,1,1
3,adrenal_gland,86,2,3008|5103,6376|9263,6376|9263,1,1
3,adrenal_gland,43,2,3674|5147,1136|55500,1136|55500,1,1
3,adrenal_gland,1456,4,5046|5048|5050|5051,8362|8364|8366|8368,8362|8364|8366|8368,1,1
4,amygdala,71,5,5220|5342|5509|5925|6448,8609|10242|79017|2537|55471,2537|8609|10242|55471|79017,1,1
4,amygdala,0,5,5434|6420|6537|6740|7430,9048|7903|51378|10316|3762,3762|7903|9048|10316|51378,1,1
4,amygdala,87,3,5233|5716|6594,51289|1395|57107,1395|51289|57107,1,1
4,amygdala,86,2,5280|7439,6376|9263,6376|9263,1,1
4,amygdala,39,2,5706|6185,9990|57493,9990|57493,1,1
4,amygdala,156,2,5711|7327,50485|246243,50485|246243,1,1
4,amygdala,32,2,5737|6511,150290|2591,2591|150290,1,1
4,amygdala,43,3,5976|6886|7490,1136|51738|55500,1136|51738|55500,1,1
4,amygdala,1470,3,7371|7373|7376,8362|8364|8368,8362|8364|8368,1,1
5,aorta,62,2,7602|9072,6376|9263,6376|9263,1,1
5,aorta,0,5,7708|8466|8611|8688|9066,9048|51378|10316|130557|3762,3762|9048|10316|51378|130557,1,1
5,aorta,47,2,7995|8053,8609|2537,2537|8609,1,1
5,aorta,32,2,8117|8657,27035|1611,1611|27035,1,1
5,aorta,29,2,8703|9104,51738|55500,51738|55500,1,1
5,aorta,34,2,8790|8847,59277|4664,4664|59277,1,1
6,astrocyte,0,4,9201|9530|9843|9980,9048|3592|10316|51378,3592|9048|10316|51378,1,1
6,astrocyte,38,3,9211|9754|10162,8609|79661|22821,8609|22821|79661,1,1
6,astrocyte,33,2,9593|9950,27035|1611,1611|27035,1,1
6,astrocyte,24,2,9768|10168,252983|59338,59338|252983,1,1
7,artery,78,2,10223|11919,6376|9263,6376|9263,1,1
7,artery,0,5,10347|11217|11389|11479|11910,9048|51378|10316|130557|3762,3762|9048|10316|51378|130557,1,1
7,artery,63,2,10665|10730,8609|2537,2537|8609,1,1
7,artery,45,2,10812|11439,27035|1611,1611|27035,1,1
7,artery,38,2,11495|11957,51738|55500,51738|55500,1,1
8,basal_ganglion,74,5,12023|12149|12328|12778|13335,8609|10242|79017|2537|55471,2537|8609|10242|55471|79017,1,1
8,basal_ganglion,0,5,12250|13305|13428|13645|14373,9048|7903|51378|10316|3762,3762|7903|9048|10316|51378,1,1
8,basal_ganglion,93,3,12036|12553|13487,51289|1395|57107,1395|51289|57107,1,1
8,basal_ganglion,92,2,12084|14384,6376|9263,6376|9263,1,1
8,basal_ganglion,179,2,12547|14260,50485|246243,50485|246243,1,1
8,basal_ganglion,34,2,12576|13401,150290|2591,2591|150290,1,1
8,basal_ganglion,1554,3,14313|14315|14318,8362|8364|8368,8362|8364|8368,1,1
9,basophil,0,6,14588|14694|14695|14932|14989|15096,1510|51379|51378|10316|112744|9353,1510|9353|10316|51378|51379|112744,1,1
9,basophil,186,3,14599|14762|14763,11128|10621|10622,10621|10622|11128,1,1
9,basophil,26,2,14717|14783,51752|27035,27035|51752,1,1
9,basophil,25,2,14857|15085,23568|4240,4240|23568,1,1
10,blood,97,5,15126|15389|15507|16101|17818,8609|55801|79017|2537|55471,2537|8609|55471|55801|79017,1,1
10,blood,65,3,15402|15525|16231,10800|123606|8611,8611|10800|123606,1,1
10,blood,0,7,15403|15548|15549|15908|16371|16837|18412,9048|115362|112744|10316|8547|122042|54977,8547|9048|10316|54977|112744|115362|122042,1,1
10,blood,36,2,15491|16409,8858|9002,8858|9002,1,1
10,blood,57,2,15842|16945,150290|2591,2591|150290,1,1
10,blood,2132,2,18177|18182,8362|8368,8362|8368,1,1
11,blood_plasma,77,4,18449|18727|19147|20402,8609|79017|2537|55471,2537|8609|55471|79017,1,1
11,blood_plasma,93,2,18504|20731,6376|9263,6376|9263,1,1
11,blood_plasma,60,2,18607|19259,1611|27035,1611|27035,1,1
11,blood_plasma,0,4,18652|18872|19339|20007,9048|54977|8547|10316,8547|9048|10316|54977,1,1
11,blood_plasma,30,2,18719|19366,8858|9002,8858|9002,1,1
11,blood_plasma,41,2,18966|19773,150290|2591,2591|150290,1,1
11,blood_plasma,1569,2,20664|20667,8360|8365,8360|8365,1,1
11,blood_plasma,1531,4,20666|20668|20670|20671,8362|8364|8366|8368,8362|8364|8366|8368,1,1
12,blood_platelet,60,2,20855|21417,8609|2537,2537|8609,1,1
12,blood_platelet,5,2,20870|21086,84869|1545,1545|84869,1,1
12,blood_platelet,81,2,20898|22638,6376|9263,6376|9263,1,1
12,blood_platelet,46,2,20983|21502,1611|27035,1611|27035,1,1
12,blood_platelet,0,3,21019|21197|22093,9048|54977|10316,9048|10316|54977,1,1
12,blood_platelet,1223,2,22589|22592,8360|8365,8360|8365,1,1
12,blood_platelet,1191,4,22591|22593|22595|22596,8362|8364|8366|8368,8362|8364|8366|8368,1,1
13,bone,0,3,22900|23766|23939,9048|51378|10316,9048|10316|51378,1,1
13,bone,54,3,23519|24098|24338,150465|53834|55998,53834|55998|150465,1,1
13,bone,12,2,23668|23693,2542|10791,2542|10791,1,1
14,brain,109,7,24571|24886|24979|25327|25437|25955|26088,8609|30061|79017|55471|121599|10242|27201,8609|10242|27201|30061|55471|79017|121599,1,1
14,brain,0,8,24870|25220|25399|26106|26483|26919|27345|28023,9048|122042|10316|51378|3592|1618|941|54977,941|1618|3592|9048|10316|51378|54977|122042,1,1
14,brain,72,2,24868|24998,10800|123606,10800|123606,1,1
