graph_index_1based,tissue,graphsage_nodes,ohmnet_nodes,node_set_exact,graphsage_edges,ohmnet_edges,edge_set_exact,missing_edges,extra_edges,ohmnet_tar_member
1,adipose_tissue,1554,1554,1,16912,16912,1,0,0,bio-tissue-networks/adipose_tissue.edgelist
2,adrenal_cortex,1388,1388,1,15517,15517,1,0,0,bio-tissue-networks/adrenal_cortex.edgelist
3,adrenal_gland,2273,2273,1,30839,30839,1,0,0,bio-tissue-networks/adrenal_gland.edgelist
4,amygdala,2349,2349,1,33731,33731,1,0,0,bio-tissue-networks/amygdala.edgelist
5,aorta,1587,1587,1,18871,18871,1,0,0,bio-tissue-networks/aorta.edgelist
6,astrocyte,1029,1029,1,9635,9635,1,0,0,bio-tissue-networks/astrocyte.edgelist
7,artery,1835,1835,1,23041,23041,1,0,0,bio-tissue-networks/artery.edgelist
8,basal_ganglion,2500,2500,1,36276,36276,1,0,0,bio-tissue-networks/basal_ganglion.edgelist
9,basophil,602,602,1,4193,4193,1,0,0,bio-tissue-networks/basophil.edgelist
10,blood,3326,3326,1,54554,54554,1,0,0,bio-tissue-networks/blood.edgelist
11,blood_plasma,2407,2407,1,33201,33201,1,0,0,bio-tissue-networks/blood_plasma.edgelist
12,blood_platelet,1884,1884,1,24016,24016,1,0,0,bio-tissue-networks/blood_platelet.edgelist
13,bone,1825,1825,1,23741,23741,1,0,0,bio-tissue-networks/bone.edgelist
14,brain,3497,3497,1,54824,54824,1,0,0,bio-tissue-networks/brain.edgelist
15,colon,2807,2807,1,43854,43854,1,0,0,bio-tissue-networks/colon.edgelist
16,eye,2333,2333,1,30993,30993,1,0,0,bio-tissue-networks/eye.edgelist
17,forebrain,2664,2664,1,39671,39671,1,0,0,bio-tissue-networks/forebrain.edgelist
18,large_intestine,2829,2829,1,43964,43964,1,0,0,bio-tissue-networks/large_intestine.edgelist
19,liver,3180,3180,1,48409,48409,1,0,0,bio-tissue-networks/liver.edgelist
20,gastrointestinal_tract,3037,3037,1,46956,46956,1,0,0,bio-tissue-networks/gastrointestinal_tract.edgelist
21,heart,3210,3210,1,50061,50061,1,0,0,bio-tissue-networks/heart.edgelist
22,kidney,3304,3304,1,52126,52126,1,0,0,bio-tissue-networks/kidney.edgelist
23,lung,3214,3214,1,51666,51666,1,0,0,bio-tissue-networks/lung.edgelist
24,midbrain,2310,2310,1,31665,31665,1,0,0,bio-tissue-networks/midbrain.edgelist
