graphsage_row,entrez_gene_id,resolution_basis
0,55614,topology
1,28996,topology
2,4023,topology
3,84919,topology
4,55294,topology
5,26574,topology
6,10891,topology
7,51065,topology
8,3996,topology
9,348,topology
10,7518,topology
11,51283,topology
12,55904,topology
13,4683,topology
14,6794,topology
15,6792,topology
16,4734,topology
17,2316,topology
18,2317,topology
19,84869,topology
20,4830,topology
21,4651,topology
22,30845,topology
23,81628,topology
24,81622,topology
25,81620,topology
26,200894,topology
27,51119,topology
28,9525,topology
29,9255,topology
30,9253,topology
31,57178,topology
32,22900,topology
33,100,topology
34,2045,topology
35,2040,topology
36,2049,topology
37,57506,topology
38,10892,topology
40,10413,topology
41,11128,topology
42,10381,topology
43,9344,topology
44,9324,topology
45,8943,topology
46,8945,topology
47,133746,topology
48,3516,topology
49,2683,topology
50,6809,topology
51,5292,topology
52,6801,topology
53,5290,topology
54,91,topology
55,90,topology
56,92,topology
57,1622,topology
58,3202,topology
59,1997,topology
60,9935,topology
61,8837,topology
62,285440,topology
63,2864,topology
64,29965,topology
65,1198,topology
66,1191,topology
67,3340,topology
68,1192,topology
69,1195,topology
70,7071,topology
71,7072,topology
72,1196,topology
73,1174,topology
74,5532,topology
75,5530,topology
76,5536,topology
77,5538,topology
78,1289,topology
79,7188,topology
80,7189,topology
81,8767,topology
82,8766,topology
83,79718,topology
84,8763,topology
85,7184,topology
86,7186,topology
87,7187,topology
88,51474,topology
89,8546,topology
90,8542,topology
91,7453,topology
92,6574,topology
93,5621,topology
94,8493,topology
95,406,topology
96,405,topology
97,23295,topology
98,25942,topology
99,25945,topology
100,23291,topology
101,408,topology
102,23476,topology
103,3837,topology
104,3838,topology
105,84901,topology
106,4035,topology
107,4038,topology
109,51079,topology
110,51076,topology
111,55752,topology
112,55023,topology
113,55240,topology
114,391,topology
115,394,topology
116,128869,topology
117,2309,topology
118,2308,topology
119,10972,topology
120,4729,topology
121,4728,topology
122,6786,topology
123,6789,topology
124,4724,topology
125,84876,topology
126,2305,topology
127,4720,topology
128,4722,topology
129,27141,topology
130,11285,topology
131,11284,topology
132,56829,topology
133,64112,topology
134,240,topology
135,4627,topology
136,4628,topology
137,4629,topology
138,25988,topology
139,2277,topology
140,140885,topology
141,64599,topology
142,51100,topology
143,9536,topology
144,9531,topology
145,56913,topology
146,7857,topology
147,2054,topology
148,2059,topology
149,4824,topology
150,10628,topology
151,10621,topology
152,10622,topology
153,10623,topology
154,10626,topology
155,57060,topology
156,10155,topology
157,10159,topology
158,54567,topology
159,10397,topology
160,22809,topology
161,10399,topology
162,149041,topology
163,1601,topology
164,6210,topology
165,25865,topology
166,2690,topology
167,84649,topology
168,6812,topology
169,6814,topology
170,83595,topology
171,10579,topology
172,10577,topology
173,10572,topology
174,24145,topology
175,7320,topology
176,1969,topology
177,5195,topology
178,1965,topology
179,58191,topology
180,5191,topology
181,1613,topology
182,10083,topology
183,8841,topology
184,2874,topology
185,3357,topology
186,54344,topology
187,7067,topology
188,5444,topology
189,1760,topology
190,83605,topology
191,1147,topology
192,23049,topology
193,23513,topology
194,23043,topology
196,694,topology
197,83737,topology
198,540,topology
199,546,topology
200,8717,topology
201,29110,topology
202,29116,topology
203,29979,topology
204,29115,topology
205,8539,topology
206,8531,topology
207,8021,topology
208,7443,topology
209,7442,topology
210,7444,topology
211,5610,topology
212,55109,topology
213,5617,topology
214,27032,topology
215,1385,topology
216,1386,topology
217,23287,topology
218,5609,topology
219,55326,topology_plus_feature
220,55327,topology
221,65981,topology
222,8445,topology
223,8440,topology
224,4282,topology
225,369,topology
226,55740,topology
227,51592,topology
228,7531,topology
229,7533,topology
230,55031,topology
231,55250,topology
232,382,topology
233,384,topology
234,387,topology
235,388,topology
236,389,topology
237,64854,topology
238,6774,topology
239,10987,topology
240,6777,topology
241,6772,topology
242,5873,topology
243,55636,topology
244,5871,topology
245,5879,topology
246,9968,topology
247,55366,topology
248,5371,topology
249,60485,topology
250,102,topology
251,2192,topology
252,2202,topology
253,57679,topology_plus_feature
254,51135,topology
255,6683,topology_plus_feature
256,63916,topology
257,57104,topology
258,9500,topology
259,79831,topology
260,1848,topology
261,166,topology
262,3688,topology
263,4831,topology
264,85458,topology
265,3685,topology
266,4520,topology
267,6194,topology
268,6196,topology
269,64924,topology
270,6198,topology
271,9616,topology
272,9341,topology
273,2736,topology
274,9612,topology
275,9611,topology
276,5296,topology
277,10165,topology
278,5295,topology
279,10163,topology
280,2739,topology
281,9618,topology
282,9619,topology_plus_feature
283,5058,topology
284,5054,topology
285,5052,topology
286,57099,topology
287,54974,topology
288,7205,topology
289,10763,topology
290,5468,topology
291,10766,topology
292,10769,topology
293,112939,topology
294,375790,topology
295,673,topology
296,10507,topology
297,7337,topology
298,7335,topology
299,7334,topology
300,7332,topology
301,1979,topology
302,1978,topology
303,1977,topology
304,1603,topology
305,1605,topology
306,1604,topology
307,808,topology
308,801,topology
309,805,topology
310,10210,topology
311,3326,topology
312,80824,topology
313,3329,topology
314,80829,topology
315,347734,topology
316,55705,topology
317,7052,topology
318,7050,topology
319,7057,topology
320,23077,topology
321,5516,topology
322,58,topology
323,3030,topology
324,50,topology
325,11104,topology
326,2997,topology
327,83706,topology
328,539,topology
329,538,topology
330,23673,topology
331,22872,topology
332,51,topology
333,1906,topology
334,5607,topology
335,5606,topology
336,5601,topology
337,5603,topology
338,9990,topology
339,8527,topology
