UniProtKB_accession,field,release158_value,release159_value
A0A0B4J2G7,DB_Object_Name,HCG2028668,Uncharacterized protein
A6NK06,DB_Object_Symbol,IRG1,ACOD1
A6NK06,DB_Object_Synonyms,IRG1_HUMAN|IRG1,IRG1_HUMAN|ACOD1|IRG1
E9PSI1,DB_Object_Name,Uncharacterized protein,Transmembrane 9 superfamily member
O43822,DB_Object_Synonyms,CU002_HUMAN|C21orf2,CU002_HUMAN|C21orf2|LRRC76
O75121,DB_Object_Name,Microfi brillar-associated protein 3-like,Microfibrillar-associated protein 3-like
O95153,DB_Object_Symbol,BZRAP1,TSPOAP1
O95153,DB_Object_Synonyms,RIMB1_HUMAN|BZRAP1|KIAA0612|RBP1|RIMBP1,RIMB1_HUMAN|TSPOAP1|BZRAP1|KIAA0612|RBP1|RIMBP1
P03979,DB_Object_Name,T-cell receptor gamma chain V region PT-gamma-1/2,T cell receptor gamma variable 3
P03979,DB_Object_Synonyms,TVC_HUMAN|TRGV3|TCRB,TRGV3_HUMAN|TRGV3|TCRB|TCRGV3
P08582,DB_Object_Symbol,MFI2,MELTF
P08582,DB_Object_Synonyms,TRFM_HUMAN|MFI2|MAP97,TRFM_HUMAN|MELTF|MAP97|MFI2
P0CW23,DB_Object_Symbol,C18orf42,AKAIN1
P0CW23,DB_Object_Name,A-kinase anchor protein C18orf42,A-kinase anchor protein inhibitor 1
P0CW23,DB_Object_Synonyms,CR042_HUMAN|C18orf42,AKAI1_HUMAN|AKAIN1|C18orf42
P30536,DB_Object_Synonyms,TSPOA_HUMAN|TSPO|BZRP|MBR,TSPO_HUMAN|TSPO|BZRP|MBR
P50749,DB_Object_Synonyms,RASF2_HUMAN|RASSF2|KIAA0168,RASF2_HUMAN|RASSF2|CENP-34|KIAA0168
P58004,DB_Object_Synonyms,SESN2_HUMAN|SESN2|SEST2,SESN2_HUMAN|SESN2|Hi95|SEST2
Q00994,DB_Object_Symbol,NGFRAP1,BEX3
Q00994,DB_Object_Synonyms,BEX3_HUMAN|NGFRAP1|BEX3|DXS6984E|NADE,BEX3_HUMAN|BEX3|DXS6984E|NADE|NGFRAP1
Q06787,DB_Object_Name,Fragile X mental retardation protein 1,Synaptic functional regulator FMR1
Q13686,DB_Object_Name,DNA oxidative demethylase ALKBH1,DNA demethylase ALKBH1
Q15397,DB_Object_Synonyms,PUM3_HUMAN|PUM3|KIAA0020|PUF-A|XTP5,PUM3_HUMAN|PUM3|KIAA0020|PUF-A|XTP5|cPERP-C
Q16773,DB_Object_Symbol,CCBL1,KYAT1
Q16773,DB_Object_Synonyms,KAT1_HUMAN|CCBL1,KAT1_HUMAN|KYAT1|CCBL1
Q562F6,DB_Object_Symbol,SGOL2,SGO2
Q562F6,DB_Object_Name,Shugoshin-like 2,Shugoshin 2
Q562F6,DB_Object_Synonyms,SGOL2_HUMAN|SGOL2,SGO2_HUMAN|SGO2|SGOL2
Q57Z89,DB_Object_Name,HCG1732469,Uncharacterized protein
Q5FBB7,DB_Object_Symbol,SGOL1,SGO1
Q5FBB7,DB_Object_Name,Shugoshin-like 1,Shugoshin 1
Q5FBB7,DB_Object_Synonyms,SGOL1_HUMAN|SGOL1|SGO1,SGO1_HUMAN|SGO1|SGOL1
Q5JSJ4,DB_Object_Symbol,DDX26B,INTS6L
Q5JSJ4,DB_Object_Name,Protein DDX26B,Integrator complex subunit 6-like
Q5JSJ4,DB_Object_Synonyms,DX26B_HUMAN|DDX26B,INT6L_HUMAN|INTS6L|DDX26B
Q5T036,DB_Object_Name,Putative FAM120A opposite strand protein,Uncharacterized protein FAM120AOS
Q5VYJ5,DB_Object_Synonyms,MALR1_HUMAN|MALRD1|C10orf112,MALR1_HUMAN|MALRD1|C10orf112|DIET1
Q6F5E8,DB_Object_Symbol,RLTPR,CARMIL2
Q6F5E8,DB_Object_Name,F-actin-uncapping protein RLTPR,"Capping protein, Arp2/3 and myosin-I linker protein 2"
Q6F5E8,DB_Object_Synonyms,CARL2_HUMAN|RLTPR|LRRC16C,CARL2_HUMAN|CARMIL2|LRRC16C|RLTPR
Q6PK04,DB_Object_Synonyms,CC137_HUMAN|CCDC137,CC137_HUMAN|CCDC137|cPERP-B
Q6TDU7,DB_Object_Synonyms,CASC1_HUMAN|CASC1|LAS1,CASC1_HUMAN|CASC1|LAS1|PPP1R54
Q6YP21,DB_Object_Symbol,CCBL2,KYAT3
Q6YP21,DB_Object_Synonyms,KAT3_HUMAN|CCBL2|KAT3,KAT3_HUMAN|KYAT3|CCBL2|KAT3
Q6ZW05,DB_Object_Synonyms,PTHD4_HUMAN|PTCHD4|C6orf138,PTHD4_HUMAN|PTCHD4|C6orf138|PTCH53
Q8IW45,DB_Object_Symbol,CARKD,NAXD
Q8IW45,DB_Object_Synonyms,NNRD_HUMAN|CARKD,NNRD_HUMAN|NAXD|CARKD
Q8IYJ2,DB_Object_Name,Uncharacterized protein C10orf67,"Uncharacterized protein C10orf67, mitochondrial"
Q8IYJ2,DB_Object_Synonyms,CJ067_HUMAN|C10orf67,CJ067_HUMAN|C10orf67|LINC01552
Q8N554,DB_Object_Synonyms,ZN276_HUMAN|ZNF276|ZFP276|ZNF477,ZN276_HUMAN|ZNF276|CENP-Z|ZFP276|ZNF477
Q8N954,DB_Object_Synonyms,GPT11_HUMAN|GPATCH11|CCDC75,GPT11_HUMAN|GPATCH11|CCDC75|CENP-Y
Q8NCW5,DB_Object_Symbol,APOA1BP,NAXE
Q8NCW5,DB_Object_Synonyms,NNRE_HUMAN|APOA1BP|AIBP|YJEFN1,NNRE_HUMAN|NAXE|AIBP|APOA1BP|YJEFN1
Q8ND23,DB_Object_Symbol,LRRC16B,CARMIL3
Q8ND23,DB_Object_Name,Leucine-rich repeat-containing protein 16B,"Capping protein, Arp2/3 and myosin-I linker protein 3"
Q8ND23,DB_Object_Synonyms,CARL3_HUMAN|LRRC16B|C14orf121,CARL3_HUMAN|CARMIL3|C14orf121|LRRC16B
Q8NDD1,DB_Object_Synonyms,CA131_HUMAN|C1orf131,CA131_HUMAN|C1orf131|cPERP-A
Q8NHU0,DB_Object_Synonyms,CT453_HUMAN|CT45A3|CT45-3,CT453_HUMAN|CT45A3|CT45-3|CT45-4|CT45A4
Q8TAD2,DB_Object_Synonyms,IL17D_HUMAN|IL17D|IL27|UNQ3096/PRO21175,IL17D_HUMAN|IL17D|UNQ3096/PRO21175
Q8TE76,DB_Object_Synonyms,MORC4_HUMAN|MORC4|ZCWCC2,MORC4_HUMAN|MORC4|ZCW4|ZCWCC2
Q969X6,DB_Object_Synonyms,UTP4_HUMAN|UTP4|CIRH1A|KIAA1988,UTP4_HUMAN|UTP4|CIRH1A|KIAA1988|cPERP-E
Q96DE5,DB_Object_Synonyms,APC16_HUMAN|ANAPC16|C10orf104,APC16_HUMAN|ANAPC16|C10orf104|CENP-27
Q96E40,DB_Object_Symbol,C9orf9,SPACA9
Q96E40,DB_Object_Name,Uncharacterized protein C9orf9,Sperm acrosome-associated protein 9
Q96E40,DB_Object_Synonyms,CI009_HUMAN|C9orf9,SACA9_HUMAN|SPACA9|C9orf9
Q96GQ7,DB_Object_Synonyms,DDX27_HUMAN|DDX27|RHLP|HSPC259|PP3241,DDX27_HUMAN|DDX27|RHLP|cPERP-F|HSPC259|PP3241
Q99935,DB_Object_Symbol,PROL1,OPRPN
Q99935,DB_Object_Name,Proline-rich protein 1,Opiorphin prepropeptide
Q99935,DB_Object_Synonyms,PROL1_HUMAN|PROL1|BPLP,PROL1_HUMAN|OPRPN|BPLP|PROL1
Q9BRT6,DB_Object_Synonyms,LLPH_HUMAN|LLPH|C12orf31,LLPH_HUMAN|LLPH|C12orf31|cPERP-G
Q9H6R7,DB_Object_Symbol,C2orf44,WDCP
Q9H6R7,DB_Object_Name,WD repeat and coiled-coil-containing protein C2orf44,WD repeat and coiled-coil-containing protein
Q9H6R7,DB_Object_Synonyms,CB044_HUMAN|C2orf44|PP384,WDCP_HUMAN|WDCP|C2orf44|PP384
Q9HAF1,DB_Object_Synonyms,EAF6_HUMAN|MEAF6|C1orf149|EAF6,EAF6_HUMAN|MEAF6|C1orf149|CENP-28|EAF6
Q9HC36,DB_Object_Symbol,RNMTL1,MRM3
Q9HC36,DB_Object_Synonyms,MRM3_HUMAN|RNMTL1|MRM3|HC90,MRM3_HUMAN|MRM3|RNMTL1|HC90
Q9NVF7,DB_Object_Synonyms,FBX28_HUMAN|FBXO28|KIAA0483,FBX28_HUMAN|FBXO28|CENP-30|KIAA0483
Q9NVP1,DB_Object_Synonyms,DDX18_HUMAN|DDX18,DDX18_HUMAN|DDX18|cPERP-D
Q9UFC0,DB_Object_Synonyms,LRWD1_HUMAN|LRWD1|CENP33|ORCA,LRWD1_HUMAN|LRWD1|CENP-33|ORCA
Q9UHQ7,DB_Object_Symbol,WBP5,TCEAL9
Q9UHQ7,DB_Object_Name,WW domain-binding protein 5,Transcription elongation factor A protein-like 9
Q9UHQ7,DB_Object_Synonyms,WBP5_HUMAN|WBP5,TCAL9_HUMAN|TCEAL9|WBP5
Q9UI43,DB_Object_Symbol,FTSJ2,MRM2
