cutoff_date,total_mismatches,false_positives,false_negatives,exact,at_least_99pct,at_least_95pct,delta_mismatches
20160628,901,901,0,89,114,121,0
20160629,901,901,0,89,114,121,0
20160630,901,901,0,89,114,121,0
20160701,901,901,0,89,114,121,0
20160624,942,900,42,57,114,121,41
20160627,942,900,42,57,114,121,41
20160623,949,900,49,57,114,121,48
20160622,959,900,59,56,114,121,58
20160621,972,900,72,51,114,121,71
20160620,980,900,80,51,114,121,79
20160619,987,900,87,50,114,121,86
20160617,991,900,91,49,114,121,90
20160618,991,900,91,49,114,121,90
20160616,998,897,101,42,114,121,97
20160615,1028,897,131,35,114,121,127
20160614,1065,897,168,35,114,121,164
20160613,1074,897,177,33,114,121,173
20160610,1091,897,194,33,114,121,190
20160609,1093,897,196,33,114,121,192
20160608,1113,897,216,33,114,121,212
20160607,1143,897,246,27,113,121,242
20160606,1148,897,251,25,113,121,247
20160603,1158,897,261,25,113,121,257
20160602,1159,897,262,25,113,121,258
20160601,1190,897,293,21,113,121,289
20160531,1220,897,323,21,112,121,319
20160530,1240,897,343,21,112,121,339
20160526,1241,897,344,21,112,121,340
20160527,1241,897,344,21,112,121,340
20160525,1256,897,359,21,112,121,355
20160524,1435,897,538,15,112,121,534
20160523,1454,897,557,12,112,121,553
20160521,1472,897,575,12,112,121,571
20160520,1487,897,590,12,112,121,586
20160518,1579,897,682,4,112,121,678
20160519,1579,897,682,4,112,121,678
20160517,1584,897,687,4,112,121,683
20160516,1601,897,704,4,112,121,700
20160513,1603,897,706,4,112,121,702
20160512,1613,897,716,4,112,121,712
20160511,1623,897,726,4,112,121,722
20160510,1660,897,763,4,112,121,759
20160509,1670,897,773,4,112,121,769
20160506,1690,897,793,4,112,121,789
20160504,1701,897,804,4,112,121,800
20160502,1702,897,805,4,112,121,801
20160503,1702,897,805,4,112,121,801
20160428,1706,897,809,4,112,121,805
20160429,1706,897,809,4,112,121,805
20160427,1760,897,863,4,112,121,859
20160426,1793,897,896,4,112,121,892
20160421,1823,897,926,4,112,121,922
20160422,1823,897,926,4,112,121,922
20160425,1823,897,926,4,112,121,922
20160420,1845,897,948,4,112,121,944
20160418,1889,894,995,4,112,121,988
20160419,1889,894,995,4,112,121,988
20160413,1897,894,1003,4,112,121,996
20160414,1897,894,1003,4,112,121,996
20160415,1897,894,1003,4,112,121,996
20160407,1899,894,1005,4,112,121,998
20160408,1899,894,1005,4,112,121,998
20160411,1899,894,1005,4,112,121,998
20160406,1923,894,1029,4,112,121,1022
20160405,1929,894,1035,4,112,121,1028
20160404,1950,894,1056,4,112,121,1049
20160403,1953,894,1059,4,112,121,1052
20160401,1959,894,1065,4,112,121,1058
20160331,1960,894,1066,4,112,121,1059
20160330,1985,893,1092,4,112,121,1084
20160329,1999,893,1106,4,112,121,1098
20160325,2000,893,1107,4,112,121,1099
20160328,2000,893,1107,4,112,121,1099
20160324,2007,893,1114,4,112,121,1106
20160323,2024,893,1131,4,112,121,1123
20160322,2059,893,1166,4,112,121,1158
20160321,2065,893,1172,4,112,121,1164
20160320,2089,893,1196,4,112,121,1188
20160318,2125,893,1232,4,112,121,1224
20160317,2168,893,1275,4,112,121,1267
20160315,2174,893,1281,4,112,121,1273
20160316,2174,893,1281,4,112,121,1273
20160314,2181,893,1288,4,112,121,1280
20160312,2186,893,1293,4,112,121,1285
20160311,2188,893,1295,4,112,121,1287
20160310,2206,893,1313,4,112,121,1305
20160309,2250,893,1357,4,112,121,1349
20160307,2273,893,1380,4,112,121,1372
20160304,2278,893,1385,4,112,121,1377
20160303,2324,893,1431,4,111,121,1423
20160301,2349,893,1456,4,111,121,1448
20160229,2381,893,1488,4,111,121,1480
20160225,2390,893,1497,4,111,121,1489
20160226,2390,893,1497,4,111,121,1489
20160223,2437,893,1544,4,111,121,1536
20160224,2437,893,1544,4,111,121,1536
20160222,2441,891,1550,4,111,121,1540
20160219,2474,891,1583,4,111,121,1573
20160218,2484,891,1593,4,111,121,1583
20160217,2493,890,1603,4,111,121,1592
20160215,2508,890,1618,4,111,121,1607
20160212,2510,890,1620,4,111,121,1609
20160211,2532,890,1642,4,111,121,1631
20160210,2575,890,1685,4,111,121,1674
20160209,2585,890,1695,4,111,121,1684
20160208,2662,890,1772,4,110,121,1761
20160205,2670,890,1780,4,110,121,1769
20160204,2696,890,1806,4,110,121,1795
20160202,2710,890,1820,4,110,121,1809
20160201,2711,890,1821,4,110,121,1810
20160129,2717,890,1827,4,110,121,1816
20160128,2721,890,1831,4,110,121,1820
20160127,2726,890,1836,4,110,121,1825
20160126,2738,890,1848,4,110,121,1837
20160125,2757,890,1867,4,110,121,1856
20160122,2758,890,1868,4,110,121,1857
20160121,2781,890,1891,4,110,121,1880
20160119,2830,890,1940,4,110,121,1929
20160120,2830,890,1940,4,110,121,1929
20160118,2850,890,1960,4,110,121,1949
20160115,2866,890,1976,4,109,121,1965
20160114,2878,890,1988,4,109,121,1977
20160112,2923,890,2033,4,109,121,2022
20160111,2960,890,2070,4,109,121,2059
20160108,2968,890,2078,4,109,121,2067
20160107,2993,890,2103,4,109,121,2092
20160106,3000,890,2110,4,109,121,2099
20160105,3009,890,2119,4,109,121,2108
20160104,3012,890,2122,4,109,121,2111
20160103,3079,890,2189,4,109,121,2178
20151228,3087,878,2209,4,110,121,2186
20151223,3120,878,2242,4,110,121,2219
20151222,3126,878,2248,4,110,121,2225
20151221,3133,878,2255,4,110,121,2232
20151218,3134,878,2256,4,110,121,2233
20151217,3221,876,2345,4,109,121,2320
20151215,3236,876,2360,4,108,121,2335
20151214,3272,876,2396,4,108,121,2371
20151211,3285,876,2409,4,108,121,2384
20151210,3291,876,2415,4,108,121,2390
20151209,3322,876,2446,4,108,121,2421
20151208,3329,876,2453,4,107,121,2428
20151207,3361,876,2485,4,106,121,2460
20151203,3368,876,2492,4,106,121,2467
20151204,3368,876,2492,4,106,121,2467
20151202,3380,876,2504,4,106,121,2479
20151201,3393,876,2517,4,105,121,2492
20151130,3395,876,2519,4,105,121,2494
20151127,3399,876,2523,4,105,121,2498
20151126,3431,876,2555,4,105,121,2530
20151125,3433,876,2557,4,105,121,2532
20151123,3450,876,2574,4,105,121,2549
20151124,3450,876,2574,4,105,121,2549
20151120,3487,876,2611,4,104,121,2586
20151118,3488,876,2612,4,104,121,2587
20151117,3525,876,2649,4,103,121,2624
20151116,3552,876,2676,4,103,121,2651
20151112,3585,873,2712,4,103,121,2684
20151110,3599,873,2726,4,103,121,2698
20151109,3618,869,2749,4,103,121,2717
20151106,3629,869,2760,4,103,121,2728
20151105,3644,869,2775,4,103,121,2743
20151104,3657,869,2788,4,103,121,2756
20151102,3661,869,2792,4,103,121,2760
20151103,3661,869,2792,4,103,121,2760
20151030,3685,869,2816,4,103,121,2784
20151029,3867,869,2998,4,99,121,2966
20151028,3955,869,3086,4,99,121,3054
20151027,3964,867,3097,4,99,121,3063
20151026,3974,867,3107,4,99,121,3073
20151023,4009,867,3142,4,98,121,3108
20151025,4009,867,3142,4,98,121,3108
20151022,4033,867,3166,4,97,121,3132
20151021,4152,867,3285,4,94,121,3251
20151019,4163,867,3296,4,92,121,3262
20151020,4163,867,3296,4,92,121,3262
20151016,4199,867,3332,4,92,121,3298
20151015,4752,862,3890,4,81,121,3851
20151014,4760,862,3898,4,81,121,3859
20151013,4796,862,3934,4,81,121,3895
20151012,4821,862,3959,4,80,121,3920
20151009,4824,862,3962,4,80,121,3923
20151008,4835,862,3973,4,79,121,3934
20151007,4843,854,3989,4,79,121,3942
20151006,4855,854,4001,4,79,121,3954
20151005,4905,854,4051,4,79,121,4004
20151002,4908,854,4054,4,79,121,4007
20151001,4924,854,4070,4,79,121,4023
20150929,4929,854,4075,4,79,121,4028
20150928,4966,854,4112,4,76,121,4065
20150926,5023,854,4169,4,75,121,4122
20150925,5038,854,4184,4,74,121,4137
20150924,5043,854,4189,4,74,121,4142
20150923,5050,854,4196,4,73,121,4149
20150922,5060,852,4208,4,73,121,4159
20150921,5073,852,4221,4,73,121,4172
20150918,5076,852,4224,4,73,121,4175
20150917,5079,852,4227,4,73,121,4178
20150916,5098,852,4246,4,72,121,4197
20150915,5194,852,4342,4,70,121,4293
20150914,5202,852,4350,4,70,121,4301
20150910,5226,852,4374,4,70,121,4325
20150911,5226,852,4374,4,70,121,4325
20150909,5237,852,4385,4,70,121,4336
20150904,5252,852,4400,4,70,121,4351
20150902,5257,852,4405,4,70,121,4356
20150901,5264,852,4412,4,70,121,4363
20150831,5294,852,4442,4,68,121,4393
20150828,5296,852,4444,4,67,121,4395
20150827,5315,852,4463,4,67,121,4414
20150826,5316,852,4464,4,67,121,4415
20150825,5318,852,4466,4,67,121,4417
20150824,5320,852,4468,4,67,121,4419
20150822,5332,850,4482,4,67,121,4431
20150820,5380,850,4530,4,66,121,4479
20150821,5380,850,4530,4,66,121,4479
20150819,5402,850,4552,4,66,121,4501
20150818,5408,850,4558,4,66,121,4507
