GeneID,gene_symbol,accession,role_in_audit,historical_gp2protein_edge,historical_human_self_map,present_in_GPI158,GPI158_symbol,present_in_GPI159,GPI159_symbol,current_query_returned_for_GeneID_2026_08_27,current_query_reviewed_field,current_status_from_official_UniProt_web,current_relation_or_history,best_evidence_GAF159_rows,best_evidence_GAF159_direct_GO_IDs,GraphSAGE_positive_label_count,mapping_decision_or_note,official_source_url
7957,EPM2A,B3EWF7,GPI158/159 reference-proteome accession and unique primary-symbol fallback,0,,1,EPM2A,1,EPM2A,0,,reviewed,Distinct reviewed EPM2A isoform entry; coexists with O95278,2,GO:0016239|GO:0032007,17,Retain as a historically contextual fallback. It yields the exact 17-label row under the accepted model; do not call it a replacement for O95278.,https://www.uniprot.org/uniprotkb/B3EWF7
7957,EPM2A,O95278,May-2016 gp2protein and current canonical EPM2A accession,1,1,0,,0,,1,reviewed,reviewed,Canonical laforin entry; coexists with B3EWF7,0,,17,"Historical GeneID edge is direct but the accession is absent from GPI158/159, so it contributes no GOA rows in these reference-proteome files.",https://www.uniprot.org/uniprotkb/O95278
7957,EPM2A,H0UI04,May-2016 non-human-self-map historical edge,1,0,0,,0,,0,,,,0,,17,Keep recorded; absent from historical human self-map and GPI158/159.,
29901,SAC3D1,A6NKF1,GPI158/159 reference-proteome accession and unique primary-symbol fallback,0,,1,SAC3D1,1,SAC3D1,0,,reviewed,Reviewed SAC3D1 entry; current page lists F8WC89/A0A6I8PRW4/H9KVA8 as mapped potential isoforms,0,,0,"Retain as historically contextual fallback. No accepted-evidence GAF159 rows survive, and the observed label row is all zero.",https://www.uniprot.org/uniprotkb/A6NKF1
29901,SAC3D1,F8WC89,May-2016 or current alternative SAC3D1 accession,1,1,0,,0,,1,unreviewed,unreviewed,Potential isoform mapped to A6NKF1 on current UniProt page,0,,0,Track without treating as a replacement relationship; absent from GPI158/159 and irrelevant to current zero label row.,https://www.uniprot.org/uniprotkb/F8WC89
29901,SAC3D1,A0A6I8PRW4,May-2016 or current alternative SAC3D1 accession,0,,0,,0,,1,unreviewed,unreviewed,Potential isoform mapped to A6NKF1 on current UniProt page,0,,0,Track without treating as a replacement relationship; absent from GPI158/159 and irrelevant to current zero label row.,https://www.uniprot.org/uniprotkb/A0A6I8PRW4
29901,SAC3D1,H9KVA8,May-2016 or current alternative SAC3D1 accession,0,,0,,0,,1,unreviewed,unreviewed,Potential isoform mapped to A6NKF1 on current UniProt page,0,,0,Track without treating as a replacement relationship; absent from GPI158/159 and irrelevant to current zero label row.,https://www.uniprot.org/uniprotkb/H9KVA8
10159,ATP6AP2,O75787,May-2016 gp2protein and current primary reviewed accession,1,1,0,,0,,1,reviewed,reviewed,Current primary accession; GeneID 10159; MANE NM_005765.3 / NP_005756.2,0,,0,"Canonical anchor. Absent from GPI158/159. The observed GraphSAGE row is all zero, so absence causes no false negative.",https://www.uniprot.org/uniprotkb/O75787
10159,ATP6AP2,B7Z9I3,Current O75787 secondary accession,0,,0,,0,,0,,,Current secondary accession of O75787; it is not one of the eight accessions named in the 2005 replacement event,0,,0,Do not treat as an independent current reviewed mapping. It is absent from GPI158/159.,https://www.uniprot.org/uniprotkb/O75787
10159,ATP6AP2,Q5QTQ7,O75787 secondary/replaced accession,0,,0,,0,,0,,,Explicitly replaced by O75787 in UniProt release 5.0 on 2005-05-10,0,,0,Do not treat as an independent current reviewed mapping. It is absent from GPI158/159.,https://www.uniprot.org/uniprotkb/O75787/history
10159,ATP6AP2,Q6T7F5,O75787 secondary/replaced accession,0,,0,,0,,0,,,Explicitly replaced by O75787 in UniProt release 5.0 on 2005-05-10,0,,0,Do not treat as an independent current reviewed mapping. It is absent from GPI158/159.,https://www.uniprot.org/uniprotkb/O75787/history
10159,ATP6AP2,Q8NBP3,O75787 secondary/replaced accession,0,,0,,0,,0,,,Explicitly replaced by O75787 in UniProt release 5.0 on 2005-05-10,0,,0,Do not treat as an independent current reviewed mapping. It is absent from GPI158/159.,https://www.uniprot.org/uniprotkb/O75787/history
10159,ATP6AP2,Q8NG15,O75787 secondary/replaced accession,0,,0,,0,,0,,,Explicitly replaced by O75787 in UniProt release 5.0 on 2005-05-10,0,,0,Do not treat as an independent current reviewed mapping. It is absent from GPI158/159.,https://www.uniprot.org/uniprotkb/O75787/history
10159,ATP6AP2,Q96FV6,O75787 secondary/replaced accession,0,,0,,0,,0,,,Explicitly replaced by O75787 in UniProt release 5.0 on 2005-05-10,0,,0,Do not treat as an independent current reviewed mapping. It is absent from GPI158/159.,https://www.uniprot.org/uniprotkb/O75787/history
10159,ATP6AP2,Q96LB5,O75787 secondary/replaced accession,0,,0,,0,,0,,,Explicitly replaced by O75787 in UniProt release 5.0 on 2005-05-10,0,,0,Do not treat as an independent current reviewed mapping. It is absent from GPI158/159.,https://www.uniprot.org/uniprotkb/O75787/history
10159,ATP6AP2,Q9H2P8,O75787 secondary/replaced accession,0,,0,,0,,0,,,Explicitly replaced by O75787 in UniProt release 5.0 on 2005-05-10,0,,0,Do not treat as an independent current reviewed mapping. It is absent from GPI158/159.,https://www.uniprot.org/uniprotkb/O75787/history
10159,ATP6AP2,Q9UG89,O75787 secondary/replaced accession,0,,0,,0,,0,,,Explicitly replaced by O75787 in UniProt release 5.0 on 2005-05-10,0,,0,Do not treat as an independent current reviewed mapping. It is absent from GPI158/159.,https://www.uniprot.org/uniprotkb/O75787/history
10159,ATP6AP2,A0A1C7CYW4,Current NCBI-listed UniProtKB/TrEMBL product,0,,0,,0,,0,,unreviewed,Current alternative ATP6AP2 product,0,,0,Absent from GPI158/159; not evidence for a 2016 reference-proteome mapping.,https://www.uniprot.org/uniprotkb/A0A1C7CYW4
10159,ATP6AP2,Q8NBJ9,Unsafe historical synonym collision: SIDT2,0,,1,SIDT2,1,SIDT2,0,,,GPI158/159 symbol SIDT2 includes synonym PSEC0072,1,GO:0005765,0,Never map ATP6AP2 via PSEC0072 alone; that synonym would collide with SIDT2/Q8NBJ9 in the historical GPI.,https://www.uniprot.org/uniprotkb/Q8NBJ9
