excluded_source,total_mismatches,false_positives,false_negatives,exact,at_least_99pct,at_least_95pct,delta_mismatches
Ensembl,901,901,0,89,,,0
GOC,901,901,0,89,,,0
IntAct,901,901,0,89,,,0
InterPro,901,901,0,89,,,0
MTBBASE,901,901,0,89,,,0
Roslin_Institute,901,901,0,89,,,0
SGD,903,901,2,89,,,2
dictyBase,910,901,9,80,,,9
PINC,911,901,10,79,,,10
WormBase,918,900,18,81,,,17
SYSCILIA_CCNET,930,899,31,82,,,29
GDB,977,901,76,64,,,76
Reactome,984,901,83,89,,,83
Alzheimers_University_of_Toronto,1005,900,105,25,,,104
DFLAT,1008,901,107,50,,,107
LIFEdb,1038,901,137,89,,,137
FlyBase,1048,899,149,48,,,147
GO_Central,1075,901,174,33,,,174
AgBase,1149,901,248,20,,,248
CACAO,1402,897,505,8,,,501
NTNU_SB,1666,901,765,53,,,765
ParkinsonsUK-UCL,2547,875,1672,7,,,1646
HGNC,3215,864,2351,4,,,2314
MGI,4473,899,3574,4,,,3572
HPA,5630,896,4734,89,,,4729
BHF-UCL,20699,739,19960,4,,,19798
UniProt,75192,256,74936,0,,,74291
