direct_GO_ID,direct_GO_name,witness_rows
GO:0061158,3'-UTR-mediated mRNA destabilization,172
GO:0098641,cadherin binding involved in cell-cell adhesion,131
GO:0005634,nucleus,47
GO:0045944,positive regulation of transcription from RNA polymerase II promoter,46
GO:0000165,MAPK cascade,43
GO:0038066,p38MAPK cascade,30
GO:0005737,cytoplasm,27
GO:0006346,methylation-dependent chromatin silencing,27
GO:0070371,ERK1 and ERK2 cascade,24
GO:0051092,positive regulation of NF-kappaB transcription factor activity,23
GO:0042512,negative regulation of tyrosine phosphorylation of Stat1 protein,20
GO:0042518,negative regulation of tyrosine phosphorylation of Stat3 protein,20
GO:0045830,positive regulation of isotype switching,20
GO:0034729,histone H3-K79 methylation,20
GO:0046426,negative regulation of JAK-STAT cascade,16
GO:0030529,intracellular ribonucleoprotein complex,16
GO:0043124,negative regulation of I-kappaB kinase/NF-kappaB signaling,16
GO:1903003,positive regulation of protein deubiquitination,16
GO:2000158,positive regulation of ubiquitin-specific protease activity,16
GO:1900112,regulation of histone H3-K9 trimethylation,15
GO:0045647,negative regulation of erythrocyte differentiation,14
GO:0071356,cellular response to tumor necrosis factor,14
GO:0071364,cellular response to epidermal growth factor stimulus,14
GO:1900153,"positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",14
GO:1904628,cellular response to phorbol 13-acetate 12-myristate,13
GO:0006470,protein dephosphorylation,13
GO:0035335,peptidyl-tyrosine dephosphorylation,13
GO:0051015,actin filament binding,12
GO:1904925,positive regulation of mitophagy in response to mitochondrial depolarization,12
GO:0030042,actin filament depolymerization,10
GO:0031086,"nuclear-transcribed mRNA catabolic process, deadenylation-independent decay",10
GO:0044344,cellular response to fibroblast growth factor stimulus,9
GO:0071385,cellular response to glucocorticoid stimulus,9
GO:0000932,cytoplasmic mRNA processing body,9
GO:0030858,positive regulation of epithelial cell differentiation,8
GO:0008284,positive regulation of cell proliferation,8
GO:0042058,regulation of epidermal growth factor receptor signaling pathway,8
GO:0071375,cellular response to peptide hormone stimulus,8
GO:0031623,receptor internalization,7
GO:0071560,cellular response to transforming growth factor beta stimulus,7
GO:0098534,centriole assembly,7
GO:0008064,regulation of actin polymerization or depolymerization,7
GO:1903348,positive regulation of bicellular tight junction assembly,6
GO:0031731,CCR6 chemokine receptor binding,6
GO:0046579,positive regulation of Ras protein signal transduction,6
GO:0043651,linoleic acid metabolic process,6
GO:0098636,protein complex involved in cell adhesion,6
GO:0005886,plasma membrane,6
GO:0031226,intrinsic component of plasma membrane,6
GO:0051028,mRNA transport,6
GO:0060474,positive regulation of sperm motility involved in capacitation,6
GO:0031440,regulation of mRNA 3'-end processing,6
GO:0043234,protein complex,6
GO:0071347,cellular response to interleukin-1,6
GO:0010494,cytoplasmic stress granule,6
GO:1901223,negative regulation of NIK/NF-kappaB signaling,6
GO:0061734,parkin-mediated mitophagy in response to mitochondrial depolarization,5
GO:0030890,positive regulation of B cell proliferation,5
GO:0042102,positive regulation of T cell proliferation,5
GO:0051091,positive regulation of sequence-specific DNA binding transcription factor activity,5
GO:1904707,positive regulation of vascular smooth muscle cell proliferation,5
GO:0016485,protein processing,5
GO:0045600,positive regulation of fat cell differentiation,5
GO:0097011,cellular response to granulocyte macrophage colony-stimulating factor stimulus,5
GO:0030016,myofibril,5
GO:0090051,negative regulation of cell migration involved in sprouting angiogenesis,5
GO:0033077,T cell differentiation in thymus,5
GO:0045657,positive regulation of monocyte differentiation,5
GO:0071456,cellular response to hypoxia,5
GO:0006974,cellular response to DNA damage stimulus,5
GO:0010719,negative regulation of epithelial to mesenchymal transition,5
GO:0036064,ciliary basal body,5
GO:0035435,phosphate ion transmembrane transport,5
GO:1905007,positive regulation of epithelial to mesenchymal transition involved in endocardial cushion formation,4
GO:0008201,heparin binding,4
GO:0045616,regulation of keratinocyte differentiation,4
GO:1904582,positive regulation of intracellular mRNA localization,4
GO:1900026,positive regulation of substrate adhesion-dependent cell spreading,4
GO:0009611,response to wounding,4
GO:0043488,regulation of mRNA stability,4
GO:0097352,autophagosome maturation,4
GO:0019933,cAMP-mediated signaling,4
GO:0035584,calcium-mediated signaling using intracellular calcium source,4
GO:0098908,regulation of neuronal action potential,4
GO:0032869,cellular response to insulin stimulus,4
GO:0071320,cellular response to cAMP,4
GO:0071472,cellular response to salt stress,4
GO:0097403,cellular response to raffinose,4
GO:0090090,negative regulation of canonical Wnt signaling pathway,4
GO:0071479,cellular response to ionizing radiation,4
GO:0010633,negative regulation of epithelial cell migration,4
GO:0016311,dephosphorylation,4
GO:0031065,positive regulation of histone deacetylation,4
GO:0045724,positive regulation of cilium assembly,4
GO:0005615,extracellular space,3
GO:0008083,growth factor activity,3
GO:0003779,actin binding,3
GO:2000458,regulation of astrocyte chemotaxis,3
GO:1990876,cytoplasmic side of nuclear pore,3
GO:0070374,positive regulation of ERK1 and ERK2 cascade,3
GO:1900745,positive regulation of p38MAPK cascade,3
GO:0048382,mesendoderm development,3
GO:0031618,nuclear pericentric heterochromatin,3
GO:0090110,cargo loading into COPII-coated vesicle,3
GO:0042405,nuclear inclusion body,3
GO:0042475,odontogenesis of dentin-containing tooth,3
GO:0043621,protein self-association,3
GO:0050661,NADP binding,3
GO:0010976,positive regulation of neuron projection development,2
GO:0032823,regulation of natural killer cell differentiation,2
GO:0033082,regulation of extrathymic T cell differentiation,2
GO:0051136,regulation of NK T cell differentiation,2
GO:0070971,endoplasmic reticulum exit site,2
GO:0030332,cyclin binding,2
GO:0032516,positive regulation of phosphoprotein phosphatase activity,2
GO:0007596,blood coagulation,2
GO:1904659,glucose transmembrane transport,2
GO:0005887,integral component of plasma membrane,2
GO:0035374,chondroitin sulfate binding,2
GO:0030027,lamellipodium,2
GO:0030175,filopodium,2
GO:0071222,cellular response to lipopolysaccharide,2
GO:2000726,negative regulation of cardiac muscle cell differentiation,2
GO:0014912,negative regulation of smooth muscle cell migration,2
GO:0030218,erythrocyte differentiation,2
GO:0016887,ATPase activity,2
GO:0097225,sperm midpiece,2
GO:0010629,negative regulation of gene expression,2
GO:0010613,positive regulation of cardiac muscle hypertrophy,2
GO:0004721,phosphoprotein phosphatase activity,2
GO:0014065,phosphatidylinositol 3-kinase signaling,2
GO:0043491,protein kinase B signaling,2
GO:0045661,regulation of myoblast differentiation,2
GO:0071889,14-3-3 protein binding,2
GO:0060965,negative regulation of gene silencing by miRNA,2
GO:0006979,response to oxidative stress,2
GO:0006914,autophagy,2
GO:0006915,apoptotic process,2
GO:0016791,phosphatase activity,2
GO:0000822,inositol hexakisphosphate binding,2
GO:0000776,kinetochore,2
GO:0005913,cell-cell adherens junction,2
GO:0030279,negative regulation of ossification,1
GO:0001227,"transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific binding",1
GO:0030017,sarcomere,1
GO:0036145,dendritic cell homeostasis,1
GO:0045648,positive regulation of erythrocyte differentiation,1
GO:1905150,regulation of voltage-gated sodium channel activity,1
GO:0000730,DNA recombinase assembly,1
GO:0010837,regulation of keratinocyte proliferation,1
GO:0072091,regulation of stem cell proliferation,1
GO:1902172,regulation of keratinocyte apoptotic process,1
GO:0003220,left ventricular cardiac muscle tissue morphogenesis,1
GO:0060412,ventricular septum morphogenesis,1
GO:0031982,vesicle,1
GO:0046599,regulation of centriole replication,1
GO:0042954,lipoprotein transporter activity,1
GO:0032481,positive regulation of type I interferon production,1
GO:0005911,cell-cell junction,1
GO:0035800,deubiquitinase activator activity,1
GO:0004843,thiol-dependent ubiquitin-specific protease activity,1
GO:0001618,virus receptor activity,1
GO:0015114,phosphate ion transmembrane transporter activity,1
GO:0015562,efflux transmembrane transporter activity,1
