assigned_by,evidence,reference_prefix,witness_rows
UniProt,IDA,PMID,805
BHF-UCL,IDA,PMID,154
HGNC,IDA,PMID,63
UniProt,ISS,GO_REF,44
UniProt,IMP,PMID,33
ParkinsonsUK-UCL,IDA,PMID,19
BHF-UCL,ISS,GO_REF,18
BHF-UCL,ISS,PMID,13
HPA,IDA,GO_REF,11
UniProt,ISS,PMID,10
BHF-UCL,IMP,PMID,9
ParkinsonsUK-UCL,ISS,GO_REF,4
CACAO,IDA,PMID,4
MGI,IDA,PMID,3
ParkinsonsUK-UCL,IGI,PMID,3
FlyBase,IDA,PMID,2
SYSCILIA_CCNET,IDA,PMID,2
BHF-UCL,IGI,PMID,2
Alzheimers_University_of_Toronto,IDA,PMID,1
WormBase,IDA,PMID,1
ParkinsonsUK-UCL,IMP,PMID,1
