graph_id,tissue,variant,cost,second_best_cost,gs_n,gs_m,ohm_n,ohm_m
0,aorta,lcc,33177007800.0,5473003380.0,1546,16904,1578,18081
1,duodenum,lcc,1348686029374.0,546162006326.0,1,1,1335,14687
2,ear,lcc,820055012112.0,546162006326.0,1,1,815,6056
3,eosinophil,lcc,1307518025038.0,546162006326.0,1,1,1296,12519
4,epidermis,lcc,2094668053338.0,546162006326.0,1,1,2069,26669
5,bone,lcc,1840883045768.0,546162006326.0,1,1,1819,22884
6,caudate_putamen,lcc,1985954047910.0,546162006326.0,1,1,1963,23955
7,glia,lcc,1172658023318.0,546162006326.0,1,1,1162,11659
8,granulocyte,lcc,2165532055066.0,546162006326.0,1,1,2139,27533
9,chondrocyte,lcc,42429010704.0,663007376.0,1377,15506,1419,15935
10,hair_follicle,lcc,1493316032634.0,546162006326.0,1,1,1478,16317
11,cerebral_cortex,lcc,2643749075500.0,546162006326.0,1,1,2607,37750
12,adrenal_cortex,lcc,1389850029704.0,545161006326.0,2,2,1377,14852
13,basal_ganglion,lcc,2522194070390.0,546162006326.0,1,1,2488,35195
14,hepatocyte,lcc,1039530019062.0,546162006326.0,1,1,1031,9531
15,blood_plasma,lcc,2432108064218.0,546162006326.0,1,1,2401,32109
16,embryo,lcc,2237164058330.0,546162006326.0,1,1,2209,29165
17,adrenal_gland,lcc,2291821059644.0,546162006326.0,1,1,2263,29822
18,eye,lcc,2354930059862.0,546162006326.0,1,1,2326,29931
19,blood_vessel,lcc,2214589057180.0,546162006326.0,1,1,2187,28590
20,corpus_callosum,lcc,8199004194.0,4157004590.0,2263,30829,2270,32028
21,hippocampus,lcc,2536121072244.0,546162006326.0,1,1,2501,36122
22,hypophysis,lcc,1855826045654.0,546162006326.0,1,1,1834,22827
23,hypothalamus,lcc,1280757025516.0,546162006326.0,1,1,1269,12758
24,ileum,lcc,919471014944.0,546162006326.0,1,1,913,7472
25,bone_marrow,lcc,2658194078390.0,546162006326.0,1,1,2620,39195
26,jejunum,lcc,942675015352.0,546162006326.0,1,1,936,7676
27,keratinocyte,lcc,1909650047302.0,546162006326.0,1,1,1887,23651
28,hematopoietic_stem_cell,lcc,2660233074468.0,546162006326.0,1,1,2624,37234
29,forebrain,lcc,2687531077064.0,546162006326.0,1,1,2650,38532
30,lens,lcc,648422008846.0,546162006326.0,1,1,645,4423
31,lymph_node,lcc,29664012614.0,3570003604.0,2339,33721,2368,34385
32,large_intestine,lcc,2856759085520.0,546162006326.0,1,1,2815,42760
33,liver,lcc,3209078094158.0,546162006326.0,1,1,3163,47079
34,locus_ceruleus,lcc,546162006326.0,546162006326.0,1,1,544,3163
35,heart,lcc,3242715097432.0,546162006326.0,1,1,3195,48716
36,corpus_striatum,lcc,2490647069296.0,546162006326.0,1,1,2457,34648
37,cerebellum,lcc,2633991075984.0,546162006326.0,1,1,2597,37992
38,macrophage,lcc,2066822051646.0,546162006326.0,1,1,2042,25823
39,cartilage,lcc,1818883043768.0,546162006326.0,1,1,1798,21884
40,mammary_epithelium,lcc,1171539023080.0,546162006326.0,1,1,1161,11540
41,mammary_gland,lcc,2226208058418.0,546162006326.0,1,1,2198,29209
42,esophagus,lcc,68862016260.0,19430016618.0,1578,18862,1646,19724
43,mast_cell,lcc,1018014018030.0,546162006326.0,1,1,1010,9015
44,medulla_oblongata,lcc,1839701043404.0,546162006326.0,1,1,1819,21702
45,megakaryocyte,lcc,1918671047344.0,546162006326.0,1,1,1896,23672
46,midbrain,lcc,2329663061328.0,546162006326.0,1,1,2300,30664
47,monocyte,lcc,2360952061906.0,546162006326.0,1,1,2331,30953
48,mononuclear_phagocyte,lcc,2360952061906.0,546162006326.0,1,1,2331,30953
49,caudate_nucleus,lcc,2392861065724.0,546162006326.0,1,1,2361,32862
50,myometrium,lcc,1406501029004.0,546162006326.0,1,1,1393,14502
51,natural_killer_cell,lcc,856992013986.0,546162006326.0,1,1,851,6993
52,nucleus_accumbens,lcc,30244006104.0,612012314.0,1021,9627,1051,9871
53,nephron,lcc,2167961055924.0,546162006326.0,1,1,2141,27962
54,brain,lcc,3532376106754.0,546162006326.0,1,1,3480,53377
55,cardiac_muscle,lcc,1150246022494.0,546162006326.0,1,1,1140,11247
56,neutrophil,lcc,2039388050778.0,546162006326.0,1,1,2015,25389
57,neuron,lcc,1138378022758.0,546162006326.0,1,1,1128,11379
58,occipital_lobe,lcc,1855899043800.0,546162006326.0,1,1,1835,21900
59,occipital_pole,lcc,1310494026990.0,546162006326.0,1,1,1298,13495
60,osteoblast,lcc,1127230022462.0,546162006326.0,1,1,1117,11231
61,uterine_endometrium,lcc,61504017844.0,2145007816.0,1823,23029,1884,23533
62,ovarian_follicle,lcc,920220016442.0,546162006326.0,1,1,913,8221
63,ovary,lcc,2894948085898.0,546162006326.0,1,1,2853,42949
64,oviduct,lcc,1384842029686.0,546162006326.0,1,1,1371,14843
65,gastrointestinal_tract,lcc,3065668091338.0,546162006326.0,1,1,3021,45669
66,pancreatic_islet,lcc,1235357024716.0,546162006326.0,1,1,1224,12358
67,parietal_lobe,lcc,748290012582.0,546162006326.0,1,1,743,6291
68,peripheral_nervous_system,lcc,1120251022504.0,546162006326.0,1,1,1110,11252
69,placenta,lcc,3164883093768.0,546162006326.0,1,1,3119,46884
70,podocyte,lcc,1274664025330.0,546162006326.0,1,1,1263,12665
71,pons,lcc,810155014312.0,546162006326.0,1,1,804,7156
72,colon,lcc,2835658085318.0,546162006326.0,1,1,2794,42659
73,renal_glomerulus,lcc,1922698047398.0,546162006326.0,1,1,1900,23699
74,skin,lcc,36771015986.0,12432019544.0,2488,36264,2524,37035
75,renal_tubule,lcc,1465522029046.0,546162006326.0,1,1,1452,14523
76,retina,lcc,1889261044524.0,546162006326.0,1,1,1868,22262
77,frontal_lobe,lcc,1965744047490.0,546162006326.0,1,1,1943,23745
78,serum,lcc,1909650043302.0,546162006326.0,1,1,1889,21651
79,pancreas,lcc,3070123092248.0,546162006326.0,1,1,3025,46124
80,lymphocyte,lcc,2575123076248.0,546162006326.0,1,1,2538,38124
81,skin_fibroblast,lcc,1371685027372.0,546162006326.0,1,1,1359,13686
82,small_intestine,lcc,2706976077954.0,546162006326.0,1,1,2669,38977
83,smooth_muscle,lcc,1870961043924.0,546162006326.0,1,1,1850,21962
84,spermatid,lcc,1383934029870.0,546162006326.0,1,1,1370,14935
85,spermatocyte,lcc,1451326032654.0,546162006326.0,1,1,1436,16327
86,spermatogonium,lcc,1451326032654.0,546162006326.0,1,1,1436,16327
87,choroid,lcc,54277005752.0,39019012542.0,591,4182,645,4459
88,spinal_cord,lcc,2497830067662.0,546162006326.0,1,1,2465,33831
89,intestine,lcc,3035439090880.0,546162006326.0,1,1,2991,45440
90,stomach,lcc,2200374054750.0,546162006326.0,1,1,2174,27375
91,substantia_nigra,lcc,2327653061308.0,546162006326.0,1,1,2298,30654
92,subthalamic_nucleus,lcc,2170759057520.0,546162006326.0,1,1,2143,28760
93,t_lymphocyte,lcc,2229242064486.0,546162006326.0,1,1,2198,32243
94,tear_gland,lcc,1566430032862.0,546162006326.0,1,1,1551,16431
95,telencephalon,lcc,2655935075872.0,546162006326.0,1,1,2619,37936
96,temporal_lobe,lcc,2594174074350.0,546162006326.0,1,1,2558,37175
97,testis,lcc,3061506095014.0,546162006326.0,1,1,3015,47507
98,muscle,lcc,2375412064826.0,546162006326.0,1,1,2344,32413
99,central_nervous_system,lcc,191946068390.0,11798027050.0,3312,54539,3503,53593
100,thymocyte,lcc,1348519031040.0,546162006326.0,1,1,1334,15520
101,thyroid_gland,lcc,2290985063972.0,546162006326.0,1,1,2260,31986
102,tonsil,lcc,1679313038628.0,546162006326.0,1,1,1661,19314
103,basophil,lcc,592851007710.0,545160006328.0,2,3,591,3854
104,tooth,lcc,1098368018738.0,546162006326.0,1,1,1090,9369
105,astrocyte,lcc,1028106018216.0,545161006326.0,2,2,1021,9108
106,b_lymphocyte,lcc,2032376054754.0,546162006326.0,1,1,2006,27377
107,trophoblast,lcc,1006479018960.0,546162006326.0,1,1,998,9480
108,umbilical_cord,lcc,1886252044506.0,546162006326.0,1,1,1865,22253
109,umbilical_vein_endothelial_cell,lcc,1397523027048.0,546162006326.0,1,1,1385,13524
110,urinary_bladder,lcc,1662445038892.0,546162006326.0,1,1,1644,19446
111,uroepithelium,lcc,946532017066.0,546162006326.0,1,1,939,8533
112,diencephalon,lcc,13605007186.0,13605007186.0,2401,33195,2414,33800
113,uterine_cervix,lcc,1438132030266.0,546162006326.0,1,1,1424,15133
114,blood_platelet,lcc,1900133046268.0,546162006326.0,1,1,1878,23134
115,uterus,lcc,2487540069082.0,546162006326.0,1,1,2454,34541
116,vascular_endothelial_cell,lcc,1623210034422.0,546162006326.0,1,1,1607,17211
117,vascular_endothelium,lcc,1751607039216.0,546162006326.0,1,1,1733,19608
118,vermiform_appendix,lcc,1632918035838.0,546162006326.0,1,1,1616,17919
119,salivary_gland,lcc,59428017552.0,2747011626.0,1878,24010,1937,24438
126,trachea,lcc,72147020566.0,2033004066.0,1819,23735,1891,23882
133,nervous_system,lcc,51252029552.0,5519022560.0,3480,54806,3531,54554
141,bronchus,lcc,1179734021476.0,545160006328.0,2,3,1171,10737
150,spleen,lcc,127515044416.0,22081014830.0,2794,43841,2921,44356
164,thalamus,lcc,12165006130.0,5033003800.0,2326,30986,2337,32151
172,prostate_gland,lcc,35685016476.0,17462023158.0,2650,39657,2685,40342
187,skeletal_muscle,lcc,106891039600.0,9291019608.0,2815,43950,2921,44841
202,lung,lcc,32928015134.0,29509031014.0,3163,48394,3194,50322
208,cochlea,lcc,244658001316.0,545162006324.0,2,1,246,659
213,adipose_tissue,lcc,1560152032304.0,545162006324.0,2,1,1546,16153
218,leukocyte,lcc,98784035020.0,4816005132.0,3021,46940,3117,49724
235,kidney,lcc,89690038260.0,1331002662.0,3195,50047,3284,50737
239,cornea,lcc,1474885031770.0,545162006324.0,2,1,1461,15886
240,bronchial_epithelial_cell,lcc,1122203020414.0,545160006328.0,2,3,1114,10206
244,cecum,lcc,1640945035890.0,545162006324.0,2,1,1625,17946
248,blood,lcc,28991016928.0,28991016928.0,3284,52108,3312,53099
255,corpus_luteum,lcc,780521013042.0,545162006324.0,2,1,776,6522
257,artery,lcc,1843164044328.0,545162006324.0,2,1,1823,22165
258,cerebellar_cortex,lcc,1046112018232.0,545160006328.0,2,3,1039,9115
260,culture_condition_cd8_cell,lcc,902249014498.0,545162006324.0,2,1,897,7250
265,fetus,lcc,265637077966.0,3932006942.0,3194,51648,3459,52285
273,dendritic_cell,lcc,1420751027502.0,545162006324.0,2,1,1409,13752
280,dentate_gyrus,lcc,711019010038.0,545162006324.0,2,1,708,5020
284,amygdala,lcc,40060014854.0,3001002828.0,2300,31655,2339,32715
