graph_index,split,full_nodes,component_count,largest_component_nodes,non_lcc_nodes,assigned_dgl_graph_id_for_lcc,assigned_dgl_graph_id_for_non_lcc
1,train,1554,9,1546,8,1,1
2,train,1388,11,1377,11,2,1
3,train,2273,11,2263,10,3,1
4,train,2349,11,2339,10,4,1
5,train,1587,10,1578,9,5,1
6,train,1029,9,1021,8,6,1
7,train,1835,13,1823,12,7,1
8,train,2500,13,2488,12,8,1
9,train,602,12,591,11,9,1
10,train,3326,13,3312,14,10,1
11,train,2407,7,2401,6,11,1
12,train,1884,7,1878,6,12,1
13,train,1825,7,1819,6,13,1
14,train,3497,17,3480,17,14,1
15,train,2807,14,2794,13,15,1
16,train,2333,8,2326,7,16,1
17,train,2664,15,2650,14,17,1
18,train,2829,15,2815,14,18,1
19,train,3180,16,3163,17,19,1
20,train,3037,17,3021,16,20,1
21,valid,3210,13,3195,15,21,21
22,valid,3304,17,3284,20,22,21
23,test,3214,19,3194,20,23,23
24,test,2310,11,2300,10,24,23
