column,observed_positive_genes_topology_unique,best_mismatch_gene_count,best_agreement,observational_tie_count,unique_full_gene_set_count_among_exact_ties,chosen_name,chosen_collection,chosen_source_member,all_zero_column,identification_status,top_tied_names
0,30,0,1.0,1,1,chr8q24,C1,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c1.all.v5.2.entrez.gmt,False,exact_unique,chr8q24
1,30,0,1.0,1,1,chr14q11,C1,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c1.all.v5.2.entrez.gmt,False,exact_unique,chr14q11
2,49,0,1.0,1,1,chr12q24,C1,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c1.all.v5.2.entrez.gmt,False,exact_unique,chr12q24
3,115,0,1.0,1,1,chr19p13,C1,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c1.all.v5.2.entrez.gmt,False,exact_unique,chr19p13
4,24,0,1.0,1,1,chr11q12,C1,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c1.all.v5.2.entrez.gmt,False,exact_unique,chr11q12
5,43,0,1.0,1,1,chr22q13,C1,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c1.all.v5.2.entrez.gmt,False,exact_unique,chr22q13
6,23,0,1.0,1,1,chr22q11,C1,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c1.all.v5.2.entrez.gmt,False,exact_unique,chr22q11
7,50,0,1.0,1,1,chr1q21,C1,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c1.all.v5.2.entrez.gmt,False,exact_unique,chr1q21
8,68,0,1.0,1,1,chr6p21,C1,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c1.all.v5.2.entrez.gmt,False,exact_unique,chr6p21
9,41,0,1.0,1,1,chr5q31,C1,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c1.all.v5.2.entrez.gmt,False,exact_unique,chr5q31
10,0,0,1.0,74,71,,,,True,all_zero_unidentifiable,chr18p|chrxq|chr7p|chryq11|chr6q15|chr1q|chr5q|chr4p11|chr21p11|chr16q11|KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS|REACTOME_COPI_MEDIATED_TRANSPORT|REACTOME_VITAMIN_B5_PANTOTHENATE_METABOLISM|REACTOME_THE_ACTIVATION_OF_ARYLSULFATASES|REACTOME_REVERSIBLE_HYDRATION_OF_CARBON_DIOXIDE|REACTOME_BILE_SALT_AND_ORGANIC_ANION_SLC_TRANSPORTERS|REACTOME_DIGESTION_OF_DIETARY_CARBOHYDRATE|NAKAMURA_ALVEOLAR_EPITHELIUM|NAKAMURA_BRONCHIAL_AND_BRONCHIOLAR_EPITHELIA|NAKAMURA_LUNG_CANCER_DIFFERENTIATION_MARKERS|JIANG_CORE_DUPLICON_GENES|PETRETTO_LEFT_VENTRICLE_MASS_QTL_CIS_UP|NIKOLSKY_BREAST_CANCER_19Q13.1_AMPLICON|NIKOLSKY_BREAST_CANCER_20P13_AMPLICON|PALOMERO_GSI_SENSITIVITY_DN
