source_type,version,label_column,observed_positive_genes,best_name,best_go_id,best_collection,best_subcollection,best_source_member,best_candidate_positive_genes,mismatch_genes,agreement,true_positives,false_positives,false_negatives,f1,jaccard,tie_count,tied_names,best_go_in_greene_table6,best_go_in_greene_table9
MSigDB 5.1 all collections,5.1,0,2647,SIGNAL_TRANSDUCTION,GO:0007165,C5,BP,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.bp.v5.1.entrez.gmt,909,2030,0.5243673851921274,763,146,1884,0.42913385826771655,0.2731829573934837,1,SIGNAL_TRANSDUCTION,False,False
MSigDB 5.1 all collections,5.1,1,943,ZHONG_SECRETOME_OF_LUNG_CANCER_AND_FIBROBLAST,,C2,,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c2.all.v5.1.entrez.gmt,67,900,0.7891283973758201,55,12,888,0.10891089108910891,0.05759162303664921,1,ZHONG_SECRETOME_OF_LUNG_CANCER_AND_FIBROBLAST,False,False
MSigDB 5.1 all collections,5.1,2,820,CELLULAR_LIPID_METABOLIC_PROCESS,GO:0044255,C5,BP,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.bp.v5.1.entrez.gmt,118,736,0.8275538894095595,101,17,719,0.21535181236673773,0.12066905615292713,1,CELLULAR_LIPID_METABOLIC_PROCESS,False,False
MSigDB 5.1 all collections,5.1,3,935,DNA_BINDING,,C5,,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.all.v5.1.entrez.gmt,290,813,0.8095126522961574,206,84,729,0.3363265306122449,0.20215897939156036,1,DNA_BINDING,False,False
MSigDB 5.1 all collections,5.1,4,542,KAUFFMANN_DNA_REPAIR_GENES,,C2,,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c2.all.v5.1.entrez.gmt,134,492,0.8847235238987816,92,42,450,0.27218934911242604,0.15753424657534246,1,KAUFFMANN_DNA_REPAIR_GENES,False,False
MSigDB 5.1 all collections,5.1,5,749,DNA_BINDING,,C5,,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.all.v5.1.entrez.gmt,290,627,0.8530927835051546,206,84,543,0.3965351299326275,0.24729891956782712,1,DNA_BINDING,False,False
MSigDB 5.1 all collections,5.1,6,961,DNA_BINDING,,C5,,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.all.v5.1.entrez.gmt,290,839,0.8034208059981256,206,84,755,0.3293365307753797,0.19712918660287082,1,DNA_BINDING,False,False
MSigDB 5.1 all collections,5.1,7,1307,CYTOPLASM,,C5,,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.all.v5.1.entrez.gmt,934,1247,0.7078256794751641,497,437,810,0.4435519857206604,0.2849770642201835,1,CYTOPLASM,False,False
MSigDB 5.1 all collections,5.1,8,556,CHROMOSOME_ORGANIZATION_AND_BIOGENESIS,GO:0051276,C5,BP,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.bp.v5.1.entrez.gmt,86,510,0.880506091846298,66,20,490,0.205607476635514,0.11458333333333333,1,CHROMOSOME_ORGANIZATION_AND_BIOGENESIS,False,False
MSigDB 5.1 all collections,5.1,9,1284,BIOPOLYMER_METABOLIC_PROCESS,GO:0043283,C5,BP,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.bp.v5.1.entrez.gmt,914,1048,0.7544517338331771,575,339,709,0.5232029117379435,0.3542821934688848,1,BIOPOLYMER_METABOLIC_PROCESS,False,False
MSigDB 5.1 all collections,5.1,10,757,PROTEIN_MODIFICATION_PROCESS,GO:0006464,C5,BP,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.bp.v5.1.entrez.gmt,362,607,0.8577788191190253,256,106,501,0.4575513851653262,0.2966396292004635,1,PROTEIN_MODIFICATION_PROCESS,False,False
MSigDB 5.1 all collections,5.1,11,890,REGULATION_OF_SIGNAL_TRANSDUCTION,GO:0009966,C5,BP,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.bp.v5.1.entrez.gmt,176,736,0.8275538894095595,165,11,725,0.30956848030018763,0.18312985571587126,1,REGULATION_OF_SIGNAL_TRANSDUCTION,False,False
MSigDB 5.1 all collections,5.1,12,2905,BIOPOLYMER_METABOLIC_PROCESS,GO:0043283,C5,BP,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.bp.v5.1.entrez.gmt,914,2377,0.4430646672914714,721,193,2184,0.37758575543335954,0.2327307940606843,1,BIOPOLYMER_METABOLIC_PROCESS,False,False
