source_type,version,label_column,observed_positive_genes,best_name,best_go_id,best_collection,best_subcollection,best_source_member,best_candidate_positive_genes,mismatch_genes,agreement,true_positives,false_positives,false_negatives,f1,jaccard,tie_count,tied_names,best_go_in_greene_table6,best_go_in_greene_table9
"OhmNet individual tissue label files, absent genes treated as 0",OhmNet supplied archive,0,2647,nervous_system_GO:0051960,GO:0051960,individual_tissue_file,,nervous_system_GO:0051960.lab,350,2403,0.4369728209934396,297,53,2350,0.1981981981981982,0.11,1,nervous_system_GO:0051960,False,True
"OhmNet individual tissue label files, absent genes treated as 0",OhmNet supplied archive,1,943,blood_platelet_GO:0002576,GO:0002576,individual_tissue_file,,blood_platelet_GO:0002576.lab,43,928,0.7825679475164011,29,14,914,0.058823529411764705,0.030303030303030304,1,blood_platelet_GO:0002576,False,True
"OhmNet individual tissue label files, absent genes treated as 0",OhmNet supplied archive,2,820,blood_plasma_GO:0071827,GO:0071827,individual_tissue_file,,blood_plasma_GO:0071827.lab,19,811,0.8099812558575445,14,5,806,0.033373063170441,0.01696969696969697,1,blood_plasma_GO:0071827,False,True
"OhmNet individual tissue label files, absent genes treated as 0",OhmNet supplied archive,3,935,megakaryocyte_GO:0045652,GO:0045652,individual_tissue_file,,megakaryocyte_GO:0045652.lab,18,921,0.7842080599812559,16,2,919,0.033578174186778595,0.017075773745997867,1,megakaryocyte_GO:0045652,False,True
"OhmNet individual tissue label files, absent genes treated as 0",OhmNet supplied archive,4,542,leukocyte_GO:0002312,GO:0002312,individual_tissue_file,,leukocyte_GO:0002312.lab,22,534,0.8748828491096532,15,7,527,0.05319148936170213,0.0273224043715847,1,leukocyte_GO:0002312,False,True
"OhmNet individual tissue label files, absent genes treated as 0",OhmNet supplied archive,5,749,megakaryocyte_GO:0045652,GO:0045652,individual_tissue_file,,megakaryocyte_GO:0045652.lab,18,735,0.827788191190253,16,2,733,0.041720990873533245,0.02130492676431425,1,megakaryocyte_GO:0045652,False,True
"OhmNet individual tissue label files, absent genes treated as 0",OhmNet supplied archive,6,961,megakaryocyte_GO:0045652,GO:0045652,individual_tissue_file,,megakaryocyte_GO:0045652.lab,18,947,0.778116213683224,16,2,945,0.03268641470888662,0.016614745586708203,1,megakaryocyte_GO:0045652,False,True
"OhmNet individual tissue label files, absent genes treated as 0",OhmNet supplied archive,7,1307,natural_killer_cell_GO:0001959,GO:0001959,individual_tissue_file,,natural_killer_cell_GO:0001959.lab,38,1293,0.6970477975632614,26,12,1281,0.038661710037174724,0.019711902956785442,2,natural_killer_cell_GO:0001959|neuron_GO:0050773,False,True
"OhmNet individual tissue label files, absent genes treated as 0",OhmNet supplied archive,8,556,heart_GO:0055013,GO:0055013,individual_tissue_file,,heart_GO:0055013.lab,16,556,0.8697282099343955,8,8,548,0.027972027972027972,0.014184397163120567,1,heart_GO:0055013,False,True
"OhmNet individual tissue label files, absent genes treated as 0",OhmNet supplied archive,9,1284,natural_killer_cell_GO:0007178,GO:0007178,individual_tissue_file,,natural_killer_cell_GO:0007178.lab,40,1272,0.7019681349578257,26,14,1258,0.03927492447129909,0.020030816640986132,1,natural_killer_cell_GO:0007178,False,True
