tissue,go_id,source_member,label_column,compared_rows,mismatch_rows,agreement,f1,true_positives,false_positives,false_negatives
blood,GO:0045765,blood_GO:0045765.lab,0,3305,2012,0.39122541603630867,0.10258697591436218,115,10,2002
brain,GO:0022029,brain_GO:0022029.lab,1,3460,768,0.7780346820809249,0.010309278350515464,4,18,750
artery,GO:0048844,artery_GO:0048844.lab,2,1822,345,0.8106476399560922,0.011461318051575931,2,20,325
brain,GO:0030901,brain_GO:0030901.lab,3,3460,804,0.7676300578034683,0.012285012285012284,5,10,794
blood_plasma,GO:0034369,blood_plasma_GO:0034369.lab,4,2385,275,0.8846960167714885,0.04844290657439446,7,9,266
eye,GO:0002088,eye_GO:0002088.lab,5,2319,418,0.8197498921949116,0.014150943396226415,3,12,406
blood_plasma,GO:0034369,blood_plasma_GO:0034369.lab,6,2385,563,0.7639412997903564,0.014010507880910683,4,12,551
brain,GO:0022029,brain_GO:0022029.lab,7,3460,1149,0.6679190751445087,0.012037833190025795,7,15,1134
adipose_tissue,GO:0045444,adipose_tissue_GO:0045444.lab,8,1537,212,0.8620689655172413,0.061946902654867256,7,24,188
adipose_tissue,GO:0045599,adipose_tissue_GO:0045599.lab,9,1537,479,0.6883539362394275,0.03232323232323232,8,11,468
brain,GO:0030901,brain_GO:0030901.lab,10,3460,684,0.8023121387283236,0.011560693641618497,4,11,673
heart,GO:0003179,heart_GO:0003179.lab,11,3182,679,0.7866121935889377,0.039603960396039604,14,5,674
blood,GO:0045765,blood_GO:0045765.lab,12,3305,2243,0.3213313161875946,0.08261758691206544,101,24,2219
blood,GO:0045765,blood_GO:0045765.lab,13,3305,566,0.8287443267776097,0.2591623036649215,99,26,540
liver,GO:0001889,liver_GO:0001889.lab,14,3146,540,0.8283534647171011,0.07849829351535836,23,24,516
brain,GO:0021885,brain_GO:0021885.lab,15,3460,1187,0.6569364161849711,0.018196856906534328,11,13,1174
eye,GO:0002088,eye_GO:0002088.lab,16,2319,216,0.906856403622251,0.0,0,15,201
blood_plasma,GO:0071827,blood_plasma_GO:0071827.lab,17,2385,339,0.8578616352201258,0.07629427792915532,14,5,334
brain,GO:0022029,brain_GO:0022029.lab,18,3460,877,0.7465317919075145,0.013498312710911136,6,16,861
eye,GO:0048592,eye_GO:0048592.lab,19,2319,941,0.5942216472617508,0.02284527518172378,11,13,928
brain,GO:0030901,brain_GO:0030901.lab,20,3460,621,0.8205202312138729,0.009569377990430622,3,12,609
blood,GO:0045637,blood_GO:0045637.lab,21,3305,1928,0.4166414523449319,0.10242085661080075,110,9,1919
liver,GO:0001889,liver_GO:0001889.lab,22,3146,663,0.7892561983471075,0.07012622720897616,25,22,641
adipose_tissue,GO:0045599,adipose_tissue_GO:0045599.lab,23,1537,473,0.6922576447625244,0.032719836400818,8,11,462
brain,GO:0022029,brain_GO:0022029.lab,24,3460,541,0.8436416184971098,0.014571948998178506,4,18,523
brain,GO:0007420,brain_GO:0007420.lab,25,3460,2016,0.4173410404624277,0.05352112676056338,57,26,1990
brain,GO:0007420,brain_GO:0007420.lab,26,3460,2144,0.38034682080924853,0.05132743362831858,58,25,2119
brain,GO:0030901,brain_GO:0030901.lab,27,3460,1064,0.692485549132948,0.014814814814814815,8,7,1057
blood,GO:0030099,blood_GO:0030099.lab,28,3305,2206,0.3325264750378215,0.07388748950461797,88,14,2192
heart,GO:0003151,heart_GO:0003151.lab,29,3182,518,0.8372093023255813,0.06498194945848375,18,8,510
blood,GO:0045765,blood_GO:0045765.lab,30,3305,2105,0.3630862329803328,0.10004275331338179,117,8,2097
bone,GO:0030500,bone_GO:0030500.lab,31,1817,262,0.8558062740781508,0.015037593984962405,2,17,245
blood,GO:0045765,blood_GO:0045765.lab,32,3305,2796,0.15400907715582446,0.07905138339920949,120,5,2791
brain,GO:0022029,brain_GO:0022029.lab,33,3460,519,0.85,0.022598870056497175,6,16,503
heart,GO:0003179,heart_GO:0003179.lab,34,3182,632,0.8013827781269642,0.03951367781155015,13,6,626
adipose_tissue,GO:0045599,adipose_tissue_GO:0045599.lab,35,1537,468,0.6955107351984385,0.03305785123966942,8,11,457
brain,GO:0022029,brain_GO:0022029.lab,36,3460,631,0.8176300578034682,0.030721966205837174,10,12,619
brain,GO:0030901,brain_GO:0030901.lab,37,3460,681,0.8031791907514451,0.011611030478955007,4,11,670
heart,GO:0007507,heart_GO:0007507.lab,38,3182,1222,0.6159648020113137,0.08941877794336811,60,31,1191
brain,GO:0030901,brain_GO:0030901.lab,39,3460,677,0.804335260115607,0.01167883211678832,4,11,666
blood_plasma,GO:0034369,blood_plasma_GO:0034369.lab,40,2385,311,0.869601677148847,0.03115264797507788,5,11,300
blood,GO:0030099,blood_GO:0030099.lab,41,3305,597,0.8193645990922844,0.20080321285140562,75,27,570
kidney,GO:0072215,kidney_GO:0072215.lab,42,3277,615,0.8123283490997864,0.031496062992125984,10,8,607
heart,GO:0008016,heart_GO:0008016.lab,43,3182,590,0.8145820238843495,0.17827298050139276,64,27,563
brain,GO:0022029,brain_GO:0022029.lab,44,3460,454,0.86878612716763,0.029914529914529916,7,15,439
liver,GO:0001889,liver_GO:0001889.lab,45,3146,808,0.7431659249841068,0.06264501160092807,27,20,788
brain,GO:0030901,brain_GO:0030901.lab,46,3460,1273,0.6320809248554913,0.00779423226812159,5,10,1263
eye,GO:0002088,eye_GO:0002088.lab,47,2319,872,0.6239758516601983,0.011337868480725623,5,10,862
brain,GO:0022029,brain_GO:0022029.lab,48,3460,770,0.7774566473988439,0.010282776349614395,4,18,752
heart,GO:0003179,heart_GO:0003179.lab,49,3182,671,0.7891263356379635,0.042796005706134094,15,4,667
brain,GO:0021885,brain_GO:0021885.lab,50,3460,1140,0.6705202312138728,0.015544041450777202,9,15,1125
brain,GO:0021885,brain_GO:0021885.lab,51,3460,924,0.7329479768786127,0.02736842105263158,13,11,913
liver,GO:0001889,liver_GO:0001889.lab,52,3146,1256,0.6007628734901462,0.05279034690799397,35,12,1244
liver,GO:0001889,liver_GO:0001889.lab,53,3146,1219,0.6125238397965671,0.051361867704280154,33,14,1205
heart,GO:0003179,heart_GO:0003179.lab,54,3182,720,0.7737272155876807,0.0374331550802139,14,5,715
blood,GO:0045639,blood_GO:0045639.lab,55,3305,789,0.7612708018154312,0.09414466130884042,41,13,776
blood,GO:0045765,blood_GO:0045765.lab,56,3305,460,0.8608169440242057,0.3009118541033435,99,26,434
heart,GO:0003179,heart_GO:0003179.lab,57,3182,481,0.8488372093023255,0.047524752475247525,12,7,474
eye,GO:0002088,eye_GO:0002088.lab,58,2319,350,0.8490728762397586,0.0223463687150838,4,11,339
liver,GO:0001889,liver_GO:0001889.lab,59,3146,662,0.789574062301335,0.0702247191011236,25,22,640
heart,GO:0055024,heart_GO:0055024.lab,60,3182,1340,0.5788812067881836,0.04964539007092199,35,3,1337
heart,GO:0061337,heart_GO:0061337.lab,61,3182,500,0.8428661219358894,0.04580152671755725,12,9,491
heart,GO:0002027,heart_GO:0002027.lab,62,3182,564,0.8227529855436833,0.09615384615384616,30,11,553
