graph_index,tissue,wl_iterations,node_count,topology_unique_rows,ambiguous_rows,ambiguous_classes,color_multiplicity_match
1,adipose_tissue,3,1554,1521,33,12,True
2,adrenal_cortex,3,1388,1358,30,8,True
3,adrenal_gland,3,2273,2235,38,11,True
4,amygdala,3,2349,2299,50,16,True
5,aorta,3,1587,1561,26,9,True
6,astrocyte,3,1029,1010,19,6,True
7,artery,3,1835,1810,25,7,True
8,basal_ganglion,3,2500,2452,48,14,True
9,basophil,3,602,574,28,8,True
10,blood,3,3326,3279,47,16,True
11,blood_plasma,3,2407,2371,36,13,True
12,blood_platelet,3,1884,1861,23,8,True
13,bone,3,1825,1809,16,5,True
14,brain,3,3497,3427,70,21,True
15,colon,3,2807,2756,51,16,True
16,eye,3,2333,2299,34,12,True
17,forebrain,3,2664,2610,54,16,True
18,large_intestine,3,2829,2772,57,18,True
19,liver,3,3180,3112,68,22,True
20,gastrointestinal_tract,3,3037,2964,73,22,True
21,heart,3,3210,3148,62,22,True
22,kidney,3,3304,3240,64,18,True
23,lung,3,3214,3152,62,18,True
24,midbrain,3,2310,2258,52,17,True
