gene_index	entrez_gene_id	positive_label_count	in_graphsage_4301
0	2	28	1
1	14	22	1
2	16	12	1
3	19	62	1
4	20	41	1
5	23	12	1
6	27	34	1
7	29	2	1
8	31	32	1
9	32	19	1
10	34	29	1
11	37	39	1
12	41	18	1
13	43	26	1
14	48	32	1
15	50	21	1
16	51	30	1
17	54	10	1
18	58	34	1
19	59	32	1
20	70	41	1
21	71	22	1
22	81	62	1
23	86	50	1
24	87	35	1
25	88	38	1
26	89	41	1
27	90	77	1
28	91	67	1
29	92	57	1
30	93	48	1
31	94	80	1
32	100	38	1
33	102	54	1
34	107	35	1
35	111	34	1
36	113	30	1
37	118	39	1
38	119	31	1
39	123	9	1
40	127	16	1
41	128	13	1
42	130	17	1
43	131	15	1
44	133	49	1
45	134	0	1
46	135	26	1
47	136	0	1
48	142	72	1
49	146	0	1
50	147	36	1
51	148	53	1
52	150	49	1
53	151	28	1
54	152	34	1
55	153	37	1
56	154	47	1
57	155	36	1
58	156	46	1
59	158	17	1
60	166	42	1
61	176	0	1
62	177	41	1
63	181	22	1
64	182	51	1
65	183	63	1
66	185	29	1
67	186	27	1
68	189	29	1
69	190	62	1
70	196	68	1
71	197	22	1
72	199	36	1
73	207	95	1
74	208	58	1
75	210	27	1
76	212	36	1
77	214	16	1
78	216	10	1
79	220	28	1
80	223	20	1
81	226	46	1
82	229	34	1
83	238	28	1
84	239	39	1
85	240	21	1
86	241	26	1
87	249	19	1
88	265	26	0
89	267	39	1
90	273	5	1
91	283	65	1
92	284	56	1
93	285	15	1
94	286	23	1
95	287	39	1
96	288	51	1
97	291	15	1
98	301	72	1
99	302	64	1
100	306	65	1
101	309	31	1
102	310	39	1
103	311	38	1
104	317	34	1
105	320	0	1
106	321	0	1
107	322	74	1
108	323	36	1
109	324	58	1
110	328	66	1
111	329	50	1
112	330	32	1
113	331	43	1
114	332	54	1
115	333	25	1
116	334	14	1
117	335	68	1
118	336	69	1
119	337	59	1
120	338	50	1
121	341	45	1
122	344	41	1
123	345	50	1
124	348	76	1
125	350	42	1
126	351	83	1
127	355	33	1
128	356	63	1
129	357	32	1
130	358	69	1
131	359	24	1
132	360	21	1
133	361	16	1
134	362	23	1
135	366	19	1
136	367	77	1
137	369	25	1
138	373	33	1
139	374	28	1
140	382	42	1
141	384	2	1
142	387	59	1
143	388	43	1
144	389	27	1
145	391	52	1
146	392	19	1
147	394	9	1
148	395	15	1
149	396	18	1
150	399	18	1
151	401	43	1
152	402	42	1
153	403	40	1
154	405	55	1
155	406	82	1
156	408	97	1
157	409	80	1
158	429	59	1
159	430	51	0
160	444	33	1
161	463	62	0
162	467	66	1
163	468	77	1
164	472	84	1
165	473	0	1
166	476	39	1
167	477	47	1
168	478	30	0
169	480	6	1
170	487	33	0
171	488	30	1
172	491	24	1
173	498	42	1
174	506	48	1
175	509	26	1
176	513	10	1
177	514	9	1
178	515	26	1
179	521	13	1
180	522	17	1
181	525	30	1
182	538	59	1
183	539	40	1
184	540	27	1
185	545	76	1
186	546	80	1
187	549	16	1
188	551	48	1
189	554	10	1
190	558	43	1
191	566	61	1
192	567	37	1
193	570	22	1
194	572	64	1
195	573	10	1
196	576	0	1
197	578	55	1
198	579	8	1
199	580	44	1
200	581	74	1
201	582	28	1
202	585	47	1
203	595	57	1
204	597	6	1
205	598	37	1
206	602	81	1
207	604	50	1
208	613	16	1
209	617	14	1
210	623	0	1
211	624	18	1
212	632	12	1
213	633	13	1
214	635	26	1
215	636	43	1
216	637	26	1
217	638	12	1
218	639	35	1
219	640	16	1
220	641	80	1
221	645	31	1
222	648	51	1
223	649	13	1
224	650	83	1
225	652	77	1
226	653	60	1
227	654	60	0
228	655	64	1
229	657	75	1
230	658	66	1
231	659	78	1
232	661	15	1
233	662	26	1
234	664	59	1
235	665	43	1
236	666	38	0
237	667	32	1
238	668	65	1
239	672	96	1
240	673	58	1
241	675	89	1
242	676	50	1
243	677	84	1
244	678	74	1
245	687	25	1
246	688	51	1
247	694	19	1
248	695	28	1
249	696	2	1
250	699	23	1
251	701	13	1
252	710	26	1
253	712	8	1
254	714	16	1
255	718	46	1
256	719	7	1
257	722	29	1
258	727	28	1
259	728	36	1
260	729	8	1
261	731	26	1
262	752	32	1
263	754	43	1
264	773	20	1
265	774	0	1
266	775	33	1
267	776	31	1
268	777	1	1
269	778	8	1
270	779	19	0
271	780	35	1
272	781	31	1
273	782	0	1
274	783	24	1
275	784	22	1
276	785	11	1
277	793	17	1
278	796	44	1
279	799	41	1
280	801	56	1
281	805	56	1
282	808	56	1
283	811	91	1
284	814	56	1
285	815	76	1
286	816	21	1
287	817	46	1
288	818	7	1
289	824	31	1
290	825	92	1
291	827	21	0
292	834	28	1
293	835	24	1
294	836	28	1
295	840	15	1
296	841	55	1
297	842	20	1
298	846	7	1
299	847	42	1
300	857	86	1
301	858	56	0
302	859	63	1
303	860	53	1
304	861	54	1
305	863	46	1
306	864	68	1
307	868	11	1
308	871	22	1
309	886	0	1
310	887	13	1
311	889	24	1
312	890	19	1
313	891	41	1
314	896	25	1
315	898	25	1
316	899	34	1
317	902	50	1
318	912	12	1
319	915	42	1
320	916	22	1
321	919	9	1
322	920	33	1
323	921	4	1
324	925	3	1
325	928	31	1
326	929	32	1
327	930	12	1
328	939	33	1
329	940	42	1
330	941	20	1
331	942	9	1
332	943	32	1
333	947	52	1
334	948	62	1
335	949	51	1
336	950	21	1
337	952	49	1
338	953	9	1
339	954	8	1
340	958	60	1
341	959	60	1
342	960	58	1
343	961	14	1
344	966	10	1
345	970	16	1
346	972	61	1
347	973	25	1
348	974	20	1
349	975	72	1
350	978	34	1
351	983	55	1
352	984	42	1
353	989	45	1
354	993	4	1
355	994	30	1
356	996	36	1
357	997	36	1
358	998	50	1
359	999	70	1
360	1000	22	0
361	1001	37	1
362	1002	4	1
363	1012	66	1
364	1015	21	1
365	1017	48	1
366	1019	47	1
367	1020	70	1
368	1021	58	1
369	1022	59	1
370	1026	40	1
371	1027	55	1
372	1028	51	1
373	1029	66	1
374	1030	45	1
375	1031	30	1
376	1032	50	1
377	1041	18	1
378	1043	6	1
379	1044	38	1
380	1045	43	1
381	1046	36	1
382	1051	60	1
383	1054	66	1
384	1058	27	0
385	1062	44	1
386	1063	54	1
387	1069	37	1
388	1071	36	1
389	1072	33	1
390	1080	49	1
391	1081	3	1
392	1104	36	1
393	1105	41	1
394	1111	81	1
395	1119	15	1
396	1120	12	1
397	1129	12	1
398	1130	21	1
399	1135	11	1
400	1136	43	1
401	1137	37	0
402	1138	3	1
403	1139	48	1
404	1140	25	1
405	1141	42	0
406	1143	14	1
407	1147	66	1
408	1149	45	1
409	1153	56	1
410	1154	0	1
411	1174	16	1
412	1183	8	1
413	1191	82	1
414	1192	29	1
415	1195	15	1
416	1196	46	1
417	1198	48	1
418	1200	35	1
419	1201	57	1
420	1203	38	1
421	1213	65	1
422	1215	8	1
423	1230	46	1
424	1232	6	1
425	1233	0	1
426	1236	44	1
427	1261	15	1
428	1268	6	1
429	1270	29	1
430	1272	8	1
431	1277	60	1
432	1278	27	1
433	1280	16	0
434	1281	46	0
435	1282	15	1
436	1284	23	1
437	1285	45	1
438	1286	13	1
439	1287	0	1
440	1288	0	1
441	1289	33	1
442	1290	20	1
443	1291	23	1
444	1292	8	1
445	1295	18	1
446	1296	0	1
447	1299	3	0
448	1301	11	1
449	1302	8	0
450	1305	6	1
451	1307	14	1
452	1308	7	1
453	1311	20	1
454	1312	9	1
455	1355	29	1
456	1363	27	1
457	1365	19	1
458	1373	33	1
459	1380	22	1
460	1382	15	0
461	1385	71	1
462	1386	68	1
463	1387	80	1
464	1390	19	1
465	1392	21	1
466	1395	0	1
467	1399	24	1
468	1401	31	1
469	1406	45	1
470	1409	28	1
471	1410	27	1
472	1421	19	1
473	1427	0	1
474	1428	47	1
475	1429	24	1
476	1432	77	1
477	1435	49	1
478	1437	44	1
479	1441	0	1
480	1453	64	1
481	1454	49	1
482	1457	56	1
483	1462	15	1
484	1463	0	1
485	1464	26	1
486	1471	35	1
487	1475	51	1
488	1476	40	1
489	1482	68	1
490	1487	74	1
491	1490	31	1
492	1491	43	1
493	1493	29	1
494	1495	26	1
495	1499	87	1
496	1500	30	1
497	1501	17	1
498	1509	15	1
499	1510	16	1
500	1511	32	1
501	1512	64	1
502	1522	13	1
503	1523	27	1
504	1524	3	1
505	1535	37	1
506	1536	17	1
507	1540	61	1
508	1544	23	1
509	1545	70	1
510	1579	31	1
511	1583	25	1
512	1584	25	1
513	1585	28	1
514	1586	17	1
515	1600	12	1
516	1601	78	1
517	1602	26	1
518	1603	33	1
519	1604	41	1
520	1605	67	1
521	1609	42	1
522	1611	44	1
523	1613	62	1
524	1616	56	1
525	1617	31	0
526	1618	31	1
527	1622	22	1
528	1627	17	1
529	1630	4	1
530	1634	52	1
531	1636	57	1
532	1641	11	1
533	1642	53	1
534	1643	36	1
535	1645	36	1
536	1646	32	1
537	1647	44	1
538	1649	81	1
539	1650	32	1
540	1653	50	1
541	1655	84	1
542	1660	38	1
543	1663	34	1
544	1666	36	1
545	1672	23	1
546	1673	8	1
547	1676	30	1
548	1677	32	1
549	1717	25	1
550	1718	37	1
551	1728	18	1
552	1729	32	1
553	1730	13	1
554	1734	11	1
555	1738	14	1
556	1739	72	1
557	1740	23	1
558	1742	55	1
559	1745	0	0
560	1749	52	0
561	1750	0	0
562	1755	19	1
563	1756	55	1
564	1759	24	1
565	1760	39	1
566	1778	37	1
567	1785	48	1
568	1786	60	1
569	1788	33	1
570	1789	49	1
571	1794	26	1
572	1796	9	1
573	1798	34	1
574	1803	34	1
575	1806	23	1
576	1807	28	1
577	1810	37	1
578	1812	45	1
579	1813	52	1
580	1814	54	1
581	1815	51	1
582	1816	39	1
583	1825	0	1
584	1826	29	1
585	1827	0	1
586	1828	13	1
587	1831	0	1
588	1832	52	1
589	1839	23	1
590	1840	15	1
591	1844	0	1
592	1845	59	1
593	1848	43	1
594	1849	39	1
595	1855	80	1
596	1856	67	1
597	1857	56	1
598	1869	73	0
599	1874	53	1
600	1876	13	1
601	1880	39	1
602	1889	45	1
603	1893	34	1
604	1896	45	1
605	1901	21	1
606	1902	45	1
607	1903	12	1
608	1906	74	1
609	1907	28	1
610	1908	42	0
611	1909	9	1
612	1910	36	1
613	1917	16	1
614	1936	31	1
615	1937	20	1
616	1942	51	1
617	1948	14	1
618	1949	8	1
619	1950	85	1
620	1951	0	1
621	1952	33	1
622	1956	85	1
623	1958	71	1
624	1959	65	1
625	1960	14	1
626	1965	59	1
627	1967	21	1
628	1968	22	1
629	1969	46	1
630	1977	46	1
631	1978	39	1
632	1979	29	1
633	1981	29	1
634	1982	31	1
635	1984	60	1
636	1991	60	1
637	1994	53	1
638	1997	48	1
639	1999	44	1
640	2000	52	1
641	2001	0	1
642	2004	53	1
643	2006	1	1
644	2010	32	1
645	2011	42	1
646	2018	0	1
647	2019	37	1
648	2020	8	1
649	2022	66	1
650	2023	49	1
651	2028	25	1
652	2033	93	1
653	2034	50	1
654	2040	32	1
655	2042	29	1
656	2043	44	1
657	2045	28	1
658	2047	58	1
659	2048	35	1
660	2049	35	1
661	2054	30	1
662	2056	58	1
663	2057	1	1
664	2059	34	1
665	2060	25	1
666	2063	37	1
667	2064	81	1
668	2065	40	1
669	2067	59	1
670	2068	67	1
671	2069	70	1
672	2071	66	1
673	2072	56	1
674	2073	36	1
675	2074	70	1
676	2081	76	1
677	2103	45	0
678	2107	24	1
679	2110	24	1
680	2113	69	1
681	2115	36	1
682	2118	46	1
683	2119	53	1
684	2122	63	1
685	2125	36	1
686	2131	29	1
687	2132	35	1
688	2138	56	0
689	2139	24	1
690	2140	61	1
691	2145	9	1
692	2146	83	1
693	2147	50	1
694	2149	84	1
695	2150	76	1
696	2152	41	1
697	2153	8	1
698	2155	19	1
699	2158	20	1
700	2159	14	1
701	2160	21	1
702	2161	42	1
703	2162	2	1
704	2166	14	1
705	2171	8	1
706	2177	16	1
707	2185	76	1
708	2186	77	1
709	2189	23	1
710	2191	30	0
711	2192	42	1
712	2195	23	0
713	2199	8	1
714	2200	40	1
715	2201	21	0
716	2202	52	1
717	2205	2	1
718	2207	20	1
719	2208	22	1
720	2209	4	1
721	2212	8	1
722	2213	0	1
723	2237	35	1
724	2241	84	1
725	2243	57	1
726	2244	57	1
727	2245	27	1
728	2246	63	1
729	2247	71	1
730	2249	29	1
731	2250	10	1
732	2251	7	0
733	2252	34	1
734	2253	15	1
735	2254	18	1
736	2255	88	1
737	2257	21	1
738	2258	50	1
739	2260	49	1
740	2261	57	1
741	2263	86	1
742	2264	74	1
743	2266	62	1
744	2268	57	1
745	2274	36	1
746	2277	10	1
747	2280	70	1
748	2281	58	1
749	2288	34	1
750	2290	24	0
751	2294	39	1
752	2295	49	1
753	2296	61	1
754	2302	64	1
755	2303	60	1
756	2304	60	1
757	2305	60	1
758	2308	83	1
