tissue,node_count,edge_count,loop_count,directed_arc_count_loop_once,directed_arc_count_loop_twice,meets_raw_15000,meets_raw_35000,graphsage_selected,graphsage_index,graphsage_split,hierarchy_node,hierarchy_layer_type
adipose_tissue,1554,16912,759,33065,33824,1,0,1,1,train,AdiposeTissue,leaf_layer
adrenal_cortex,1388,15517,664,30370,31034,1,0,1,2,train,AdrenalCortex,leaf_layer
adrenal_gland,2273,30839,1017,60661,61678,1,0,1,3,train,AdrenalGland,internal_hierarchy_layer
amygdala,2349,33731,1016,66446,67462,1,0,1,4,train,Amygdala,leaf_layer
aorta,1587,18871,790,36952,37742,1,0,1,5,train,Aorta,leaf_layer
artery,1835,23041,876,45206,46082,1,0,1,7,train,Artery,leaf_layer
astrocyte,1029,9635,527,18743,19270,0,0,1,6,train,Astrocyte,leaf_layer
b_lymphocyte,2013,28329,952,55706,56658,1,0,0,,,B-Lymphocyte,leaf_layer
basal_ganglion,2500,36276,1081,71471,72552,1,1,1,8,train,BasalGanglion,internal_hierarchy_layer
basophil,602,4193,339,8047,8386,0,0,1,9,train,Basophil,leaf_layer
blood,3326,54554,1453,107655,109108,1,1,1,10,train,Blood,internal_hierarchy_layer
blood_plasma,2407,33201,1092,65310,66402,1,0,1,11,train,BloodPlasma,leaf_layer
blood_platelet,1884,24016,882,47150,48032,1,0,1,12,train,BloodPlatelet,leaf_layer
blood_vessel,2200,29603,1012,58194,59206,1,0,0,,,BloodVessel,internal_hierarchy_layer
bone,1825,23741,857,46625,47482,1,0,1,13,train,Bone,internal_hierarchy_layer
bone_marrow,2633,40360,1165,79555,80720,1,1,0,,,BoneMarrow,leaf_layer
brain,3497,54824,1446,108202,109648,1,1,1,14,train,Brain,internal_hierarchy_layer
bronchial_epithelial_cell,1125,10758,552,20964,21516,0,0,0,,,BronchialEpithelialCell,leaf_layer
bronchus,1182,11312,575,22049,22624,0,0,0,,,Bronchus,leaf_layer
cardiac_muscle,1148,11837,590,23084,23674,0,0,0,,,CardiacMuscle,leaf_layer
cartilage,1803,22756,872,44640,45512,1,0,0,,,Cartilage,internal_hierarchy_layer
caudate_nucleus,2370,33883,1021,66745,67766,1,0,0,,,CaudateNucleus,leaf_layer
caudate_putamen,1973,24869,914,48824,49738,1,0,0,,,CaudatePutamen,leaf_layer
cecum,1634,18741,793,36689,37482,1,0,0,,,Cecum,internal_hierarchy_layer
central_nervous_system,3520,55050,1456,108644,110100,1,1,0,,,CentralNervousSystem,internal_hierarchy_layer
cerebellar_cortex,1048,9629,514,18744,19258,0,0,0,,,CerebellarCortex,leaf_layer
cerebellum,2608,39114,1122,77106,78228,1,1,0,,,Cerebellum,internal_hierarchy_layer
cerebral_cortex,2622,38875,1125,76625,77750,1,1,0,,,CerebralCortex,internal_hierarchy_layer
chondrocyte,1426,16651,715,32587,33302,1,0,0,,,Chondrocyte,leaf_layer
choroid,650,4829,370,9288,9658,0,0,0,,,Choroid,leaf_layer
cochlea,262,784,122,1446,1568,0,0,0,,,Cochlea,leaf_layer
colon,2807,43854,1195,86513,87708,1,1,1,15,train,Colon,leaf_layer
cornea,1467,16627,741,32513,33254,1,0,0,,,Cornea,leaf_layer
corpus_callosum,2278,33019,991,65047,66038,1,0,0,,,CorpusCallosum,leaf_layer
corpus_luteum,786,6924,402,13446,13848,0,0,0,,,CorpusLuteum,leaf_layer
corpus_striatum,2466,35713,1065,70361,71426,1,1,0,,,CorpusStriatum,leaf_layer
