tissue	node_count	edge_count	loop_count	directed_arc_count_loop_once	directed_arc_count_loop_twice	meets_raw_15000	meets_raw_35000	graphsage_selected	graphsage_index	graphsage_split
adipose_tissue	1554	16912	759	33065	33824	1	0	1	1	train
adrenal_cortex	1388	15517	664	30370	31034	1	0	1	2	train
adrenal_gland	2273	30839	1017	60661	61678	1	0	1	3	train
amygdala	2349	33731	1016	66446	67462	1	0	1	4	train
aorta	1587	18871	790	36952	37742	1	0	1	5	train
artery	1835	23041	876	45206	46082	1	0	1	7	train
astrocyte	1029	9635	527	18743	19270	0	0	1	6	train
b_lymphocyte	2013	28329	952	55706	56658	1	0	0		
basal_ganglion	2500	36276	1081	71471	72552	1	1	1	8	train
basophil	602	4193	339	8047	8386	0	0	1	9	train
blood	3326	54554	1453	107655	109108	1	1	1	10	train
blood_plasma	2407	33201	1092	65310	66402	1	0	1	11	train
blood_platelet	1884	24016	882	47150	48032	1	0	1	12	train
blood_vessel	2200	29603	1012	58194	59206	1	0	0		
bone	1825	23741	857	46625	47482	1	0	1	13	train
bone_marrow	2633	40360	1165	79555	80720	1	1	0		
brain	3497	54824	1446	108202	109648	1	1	1	14	train
bronchial_epithelial_cell	1125	10758	552	20964	21516	0	0	0		
bronchus	1182	11312	575	22049	22624	0	0	0		
cardiac_muscle	1148	11837	590	23084	23674	0	0	0		
cartilage	1803	22756	872	44640	45512	1	0	0		
caudate_nucleus	2370	33883	1021	66745	67766	1	0	0		
caudate_putamen	1973	24869	914	48824	49738	1	0	0		
cecum	1634	18741	793	36689	37482	1	0	0		
central_nervous_system	3520	55050	1456	108644	110100	1	1	0		
cerebellar_cortex	1048	9629	514	18744	19258	0	0	0		
cerebellum	2608	39114	1122	77106	78228	1	1	0		
cerebral_cortex	2622	38875	1125	76625	77750	1	1	0		
chondrocyte	1426	16651	715	32587	33302	1	0	0		
choroid	650	4829	370	9288	9658	0	0	0		
cochlea	262	784	122	1446	1568	0	0	0		
colon	2807	43854	1195	86513	87708	1	1	1	15	train
cornea	1467	16627	741	32513	33254	1	0	0		
corpus_callosum	2278	33019	991	65047	66038	1	0	0		
corpus_luteum	786	6924	402	13446	13848	0	0	0		
corpus_striatum	2466	35713	1065	70361	71426	1	1	0		
culture_condition_cd8_cell	908	7763	513	15013	15526	0	0	0		
dendritic_cell	1416	14452	699	28205	28904	0	0	0		
dentate_gyrus	715	5406	386	10426	10812	0	0	0		
diencephalon	2422	34845	1045	68645	69690	1	0	0		
duodenum	1343	15373	686	30060	30746	1	0	0		
ear	829	6463	406	12520	12926	0	0	0		
embryo	2224	30165	999	59331	60330	1	0	0		
eosinophil	1303	13157	638	25676	26314	0	0	0		
epidermis	2075	27614	945	54283	55228	1	0	0		
esophagus	1657	20556	832	40280	41112	1	0	0		
eye	2333	30993	1062	60924	61986	1	0	1	16	train
fetus	3477	53703	1416	105990	107406	1	1	0		
forebrain	2664	39671	1139	78203	79342	1	1	1	17	train
frontal_lobe	1952	24651	906	48396	49302	1	0	0		
gastrointestinal_tract	3037	46956	1287	92625	93912	1	1	1	20	train
glia	1170	12256	596	23916	24512	0	0	0		
granulocyte	2148	28527	994	56060	57054	1	0	0		
hair_follicle	1481	17045	728	33362	34090	1	0	0		
heart	3210	50061	1342	98780	100122	1	1	1	21	validation
hematopoietic_stem_cell	2633	38419	1184	75654	76838	1	1	0		
hepatocyte	1037	10089	558	19620	20178	0	0	0		
hippocampus	2512	37207	1085	73329	74414	1	1	0		
hypophysis	1842	23706	878	46534	47412	1	0	0		
hypothalamus	1275	13398	640	26156	26796	0	0	0		
ileum	922	7953	479	15427	15906	0	0	0		
intestine	3003	46712	1272	92152	93424	1	1	0		
jejunum	946	8184	506	15862	16368	0	0	0		
keratinocyte	1892	24520	869	48171	49040	1	0	0		
kidney	3304	52126	1385	102867	104252	1	1	1	22	validation
large_intestine	2829	43964	1204	86724	87928	1	1	1	18	train
lens	656	4795	372	9218	9590	0	0	0		
leukocyte	3130	51088	1362	100814	102176	1	1	0		
liver	3180	48409	1328	95490	96818	1	1	1	19	train
locus_ceruleus	553	3474	311	6637	6948	0	0	0		
lung	3214	51666	1342	101990	103332	1	1	1	23	test
lymph_node	2382	35459	1073	69845	70918	1	1	0		
lymphocyte	2548	39276	1152	77400	78552	1	1	0		
macrophage	2050	26792	969	52615	53584	1	0	0		
mammary_epithelium	1171	12152	611	23693	24304	0	0	0		
mammary_gland	2208	30205	996	59414	60410	1	0	0		
mast_cell	1021	9538	523	18553	19076	0	0	0		
medulla_oblongata	1828	22571	869	44273	45142	1	0	0		
megakaryocyte	1902	24562	890	48234	49124	1	0	0		
midbrain	2310	31665	1001	62329	63330	1	0	1	24	test
monocyte	2341	32032	1078	62986	64064	1	0	0		
mononuclear_phagocyte	2341	32032	1078	62986	64064	1	0	0		
muscle	2356	33473	1060	65886	66946	1	0	0		
myometrium	1397	15169	667	29671	30338	1	0	0		
natural_killer_cell	865	7476	480	14472	14952	0	0	0		
nephron	2153	28932	969	56895	57864	1	0	0		
nervous_system	3548	56021	1466	110576	112042	1	1	0		
neuron	1138	11964	585	23343	23928	0	0	0		
neutrophil	2025	26340	949	51731	52680	1	0	0		
nucleus_accumbens	1060	10414	543	20285	20828	0	0	0		
occipital_lobe	1845	22768	868	44668	45536	1	0	0		
occipital_pole	1313	14140	644	27636	28280	0	0	0		
osteoblast	1123	11830	599	23061	23660	0	0	0		
ovarian_follicle	923	8685	463	16907	17370	0	0	0		
ovary	2864	44150	1201	87099	88300	1	1	0		
oviduct	1377	15522	679	30365	31044	1	0	0		
pancreas	3043	47402	1275	93529	94804	1	1	0		
pancreatic_islet	1233	13009	651	25367	26018	0	0	0		
parietal_lobe	754	6702	409	12995	13404	0	0	0		
peripheral_nervous_system	1118	11849	597	23101	23698	0	0	0		
placenta	3135	48212	1327	95097	96424	1	1	0		
podocyte	1273	13255	590	25920	26510	0	0	0		
pons	810	7594	438	14750	15188	0	0	0		
prostate_gland	2697	41514	1172	81856	83028	1	1	0		
renal_glomerulus	1910	24585	886	48284	49170	1	0	0		
renal_tubule	1467	15206	682	29730	30412	1	0	0		
retina	1877	23153	890	45416	46306	1	0	0		
salivary_gland	1949	25364	926	49802	50728	1	0	0		
serum	1898	22530	879	44181	45060	1	0	0		
skeletal_muscle	2936	46055	1212	90898	92110	1	1	0		
skin	2532	38176	1141	75211	76352	1	1	0		
skin_fibroblast	1365	14382	696	28068	28764	0	0	0		
small_intestine	2678	40123	1146	79100	80246	1	1	0		
smooth_muscle	1855	22841	879	44803	45682	1	0	0		
spermatid	1380	15580	644	30516	31160	1	0	0		
spermatocyte	1445	17000	672	33328	34000	1	0	0		
spermatogonium	1445	17000	672	33328	34000	1	0	0		
spinal_cord	2478	34900	1068	68732	69800	1	0	0		
spleen	2939	45605	1247	89963	91210	1	1	0		
stomach	2187	28342	967	55717	56684	1	0	0		
substantia_nigra	2308	31654	1000	62308	63308	1	0	0		
subthalamic_nucleus	2151	29709	949	58469	59418	1	0	0		
t_lymphocyte	2208	33281	1038	65524	66562	1	0	0		
tear_gland	1561	17186	754	33618	34372	1	0	0		
telencephalon	2634	39065	1129	77001	78130	1	1	0		
temporal_lobe	2570	38281	1106	75456	76562	1	1	0		
testis	3028	48758	1251	96265	97516	1	1	0		
