role	tissue	hierarchy_node	top_level_branch	node_count	edge_count	meets_15000	meets_35000	layer_type
heldout_pair_A	colon	Colon	GastrointestinalTract	2807	43854	1	1	leaf_layer
heldout_pair_A	prostate_gland	ProstateGland	UrogenitalSystem	2697	41514	1	1	leaf_layer
heldout_pair_B	pancreas	Pancreas	Gland	3043	47402	1	1	leaf_layer
heldout_pair_B	temporal_lobe	TemporalLobe	NervousSystem	2570	38281	1	1	leaf_layer
train	aorta	Aorta	CardiovascularSystem	1587	18871	1	0	leaf_layer
train	adipose_tissue	AdiposeTissue	ConnectiveTissue	1554	16912	1	0	leaf_layer
train	blood_plasma	BloodPlasma	HematopoieticSystem	2407	33201	1	0	leaf_layer
train	blood_platelet	BloodPlatelet	HematopoieticSystem	1884	24016	1	0	leaf_layer
train	hematopoietic_stem_cell	HematopoieticStemCell	HematopoieticSystem	2633	38419	1	1	leaf_layer
train	macrophage	Macrophage	HematopoieticSystem	2050	26792	1	0	leaf_layer
train	mononuclear_phagocyte	MononuclearPhagocyte	HematopoieticSystem	2341	32032	1	0	leaf_layer
train	neutrophil	Neutrophil	HematopoieticSystem	2025	26340	1	0	leaf_layer
train	vascular_endothelial_cell	VascularEndothelialCell	Integument	1619	17983	1	0	leaf_layer
train	amygdala	Amygdala	LimbicSystem	2349	33731	1	0	leaf_layer
train	thymocyte	Thymocyte	LymphoidTissue	1343	16210	1	0	leaf_layer
train	salivary_gland	SalivaryGland	Mouth	1949	25364	1	0	leaf_layer
train	skeletal_muscle	SkeletalMuscle	MuscularSystem	2936	46055	1	1	leaf_layer
train	lung	Lung	RespiratorySystem	3214	51666	1	1	leaf_layer
train	cornea	Cornea	SenseOrgan	1467	16627	1	0	leaf_layer
train	chondrocyte	Chondrocyte	SkeletalSystem	1426	16651	1	0	leaf_layer
train	mammary_gland	MammaryGland	Thorax	2208	30205	1	0	leaf_layer
train	embryo	Embryo	TissuesCellTypesAndEnzymeSources	2224	30165	1	0	leaf_layer
train	fetus	Fetus	TissuesCellTypesAndEnzymeSources	3477	53703	1	1	leaf_layer
train	esophagus	Esophagus	Viscus	1657	20556	1	0	leaf_layer
