candidate_universe,candidate_method,heldout_tissues,null,candidate_metric,null_metric,value,midrank_percentile
all144,conditional_mean_wup,cerebellum|cerebral_cortex|fetus|temporal_lobe,uniform,mean_wup,mean_wup,0.154348335488,0.0
all144,conditional_mean_wup,cerebellum|cerebral_cortex|fetus|temporal_lobe,uniform,max_wup,max_wup,0.181818181818,0.0
all144,conditional_mean_wup,cerebellum|cerebral_cortex|fetus|temporal_lobe,uniform,row_overlap,row_overlap,0.968874700718,0.12488
all144,conditional_mean_wup,cerebellum|cerebral_cortex|fetus|temporal_lobe,uniform,unique_overlap,unique_overlap,0.93949486539,0.2342405
all144,conditional_mean_wup,cerebellum|cerebral_cortex|fetus|temporal_lobe,uniform,lookup_micro_f1,f1,0.990382456403,0.213008
all144,conditional_mean_wup,cerebellum|cerebral_cortex|fetus|temporal_lobe,uniform,role_A_lookup_f1,role_min_f1,0.9920618507500676,0.471324
all144,conditional_mean_wup,cerebellum|cerebral_cortex|fetus|temporal_lobe,uniform,role_B_lookup_f1,role_max_f1,0.9888903023364288,0.06788
all144,conditional_mean_wup,cerebellum|cerebral_cortex|fetus|temporal_lobe,uniform,training_node_total,train_nodes,39197.0,0.010577
all144,conditional_mean_wup,cerebellum|cerebral_cortex|fetus|temporal_lobe,uniform,training_edge_total,train_edges,521390.0,0.014653
all144,conditional_mean_wup,cerebellum|cerebral_cortex|forebrain|temporal_lobe,uniform,mean_wup,mean_wup,0.154348335488,0.0
all144,conditional_mean_wup,cerebellum|cerebral_cortex|forebrain|temporal_lobe,uniform,max_wup,max_wup,0.181818181818,0.0
all144,conditional_mean_wup,cerebellum|cerebral_cortex|forebrain|temporal_lobe,uniform,row_overlap,row_overlap,0.973241590214,0.1829805
all144,conditional_mean_wup,cerebellum|cerebral_cortex|forebrain|temporal_lobe,uniform,unique_overlap,unique_overlap,0.963503649635,0.5223915
all144,conditional_mean_wup,cerebellum|cerebral_cortex|forebrain|temporal_lobe,uniform,lookup_micro_f1,f1,0.992162237829,0.3130415
all144,conditional_mean_wup,cerebellum|cerebral_cortex|forebrain|temporal_lobe,uniform,role_A_lookup_f1,role_min_f1,0.9920618507500676,0.471324
all144,conditional_mean_wup,cerebellum|cerebral_cortex|forebrain|temporal_lobe,uniform,role_B_lookup_f1,role_max_f1,0.9922628043549282,0.1512635
all144,conditional_mean_wup,cerebellum|cerebral_cortex|forebrain|temporal_lobe,uniform,training_node_total,train_nodes,39197.0,0.010577
all144,conditional_mean_wup,cerebellum|cerebral_cortex|forebrain|temporal_lobe,uniform,training_edge_total,train_edges,521390.0,0.014653
all144,conditional_mean_wup,cerebellum|cerebral_cortex|liver|temporal_lobe,uniform,mean_wup,mean_wup,0.154348335488,0.0
all144,conditional_mean_wup,cerebellum|cerebral_cortex|liver|temporal_lobe,uniform,max_wup,max_wup,0.181818181818,0.0
all144,conditional_mean_wup,cerebellum|cerebral_cortex|liver|temporal_lobe,uniform,row_overlap,row_overlap,0.971038251366,0.1510005
all144,conditional_mean_wup,cerebellum|cerebral_cortex|liver|temporal_lobe,uniform,unique_overlap,unique_overlap,0.938275251034,0.2231525
all144,conditional_mean_wup,cerebellum|cerebral_cortex|liver|temporal_lobe,uniform,lookup_micro_f1,f1,0.990118717928,0.2010165
all144,conditional_mean_wup,cerebellum|cerebral_cortex|liver|temporal_lobe,uniform,role_A_lookup_f1,role_min_f1,0.9920618507500676,0.471324
all144,conditional_mean_wup,cerebellum|cerebral_cortex|liver|temporal_lobe,uniform,role_B_lookup_f1,role_max_f1,0.9883249053999148,0.059626
all144,conditional_mean_wup,cerebellum|cerebral_cortex|liver|temporal_lobe,uniform,training_node_total,train_nodes,39197.0,0.010577
all144,conditional_mean_wup,cerebellum|cerebral_cortex|liver|temporal_lobe,uniform,training_edge_total,train_edges,521390.0,0.014653
all144,conditional_mean_wup,cerebellum|cerebral_cortex|pancreas|temporal_lobe,uniform,mean_wup,mean_wup,0.154348335488,0.0
all144,conditional_mean_wup,cerebellum|cerebral_cortex|pancreas|temporal_lobe,uniform,max_wup,max_wup,0.181818181818,0.0
all144,conditional_mean_wup,cerebellum|cerebral_cortex|pancreas|temporal_lobe,uniform,row_overlap,row_overlap,0.975283593102,0.2177845
all144,conditional_mean_wup,cerebellum|cerebral_cortex|pancreas|temporal_lobe,uniform,unique_overlap,unique_overlap,0.952861952862,0.378484
all144,conditional_mean_wup,cerebellum|cerebral_cortex|pancreas|temporal_lobe,uniform,lookup_micro_f1,f1,0.992587921503,0.3421465
all144,conditional_mean_wup,cerebellum|cerebral_cortex|pancreas|temporal_lobe,uniform,role_A_lookup_f1,role_min_f1,0.9920618507500676,0.471324
all144,conditional_mean_wup,cerebellum|cerebral_cortex|pancreas|temporal_lobe,uniform,role_B_lookup_f1,role_max_f1,0.9930802114889826,0.1846275
all144,conditional_mean_wup,cerebellum|cerebral_cortex|pancreas|temporal_lobe,uniform,training_node_total,train_nodes,39197.0,0.010577
all144,conditional_mean_wup,cerebellum|cerebral_cortex|pancreas|temporal_lobe,uniform,training_edge_total,train_edges,521390.0,0.014653
all144,conditional_mean_wup,cerebellum|cerebral_cortex|telencephalon|temporal_lobe,uniform,mean_wup,mean_wup,0.154348335488,0.0
all144,conditional_mean_wup,cerebellum|cerebral_cortex|telencephalon|temporal_lobe,uniform,max_wup,max_wup,0.181818181818,0.0
all144,conditional_mean_wup,cerebellum|cerebral_cortex|telencephalon|temporal_lobe,uniform,row_overlap,row_overlap,0.973548016101,0.187847
all144,conditional_mean_wup,cerebellum|cerebral_cortex|telencephalon|temporal_lobe,uniform,unique_overlap,unique_overlap,0.964848041011,0.542382
all144,conditional_mean_wup,cerebellum|cerebral_cortex|telencephalon|temporal_lobe,uniform,lookup_micro_f1,f1,0.992260234961,0.319499
all144,conditional_mean_wup,cerebellum|cerebral_cortex|telencephalon|temporal_lobe,uniform,role_A_lookup_f1,role_min_f1,0.9920618507500676,0.471324
all144,conditional_mean_wup,cerebellum|cerebral_cortex|telencephalon|temporal_lobe,uniform,role_B_lookup_f1,role_max_f1,0.9924601499420217,0.1587235
all144,conditional_mean_wup,cerebellum|cerebral_cortex|telencephalon|temporal_lobe,uniform,training_node_total,train_nodes,39197.0,0.010577
all144,conditional_mean_wup,cerebellum|cerebral_cortex|telencephalon|temporal_lobe,uniform,training_edge_total,train_edges,521390.0,0.014653
all144,conditional_minimax_wup,cerebellum|cerebral_cortex|fetus|temporal_lobe,uniform,mean_wup,mean_wup,0.154348335488,0.0
all144,conditional_minimax_wup,cerebellum|cerebral_cortex|fetus|temporal_lobe,uniform,max_wup,max_wup,0.181818181818,0.0
all144,conditional_minimax_wup,cerebellum|cerebral_cortex|fetus|temporal_lobe,uniform,row_overlap,row_overlap,0.968874700718,0.12488
all144,conditional_minimax_wup,cerebellum|cerebral_cortex|fetus|temporal_lobe,uniform,unique_overlap,unique_overlap,0.93949486539,0.2342405
all144,conditional_minimax_wup,cerebellum|cerebral_cortex|fetus|temporal_lobe,uniform,lookup_micro_f1,f1,0.990382456403,0.213008
all144,conditional_minimax_wup,cerebellum|cerebral_cortex|fetus|temporal_lobe,uniform,role_A_lookup_f1,role_min_f1,0.9920618507500676,0.471324
all144,conditional_minimax_wup,cerebellum|cerebral_cortex|fetus|temporal_lobe,uniform,role_B_lookup_f1,role_max_f1,0.9888903023364288,0.06788
all144,conditional_minimax_wup,cerebellum|cerebral_cortex|fetus|temporal_lobe,uniform,training_node_total,train_nodes,39197.0,0.010577
all144,conditional_minimax_wup,cerebellum|cerebral_cortex|fetus|temporal_lobe,uniform,training_edge_total,train_edges,521390.0,0.014653
all144,conditional_minimax_wup,cerebellum|cerebral_cortex|forebrain|temporal_lobe,uniform,mean_wup,mean_wup,0.154348335488,0.0
all144,conditional_minimax_wup,cerebellum|cerebral_cortex|forebrain|temporal_lobe,uniform,max_wup,max_wup,0.181818181818,0.0
all144,conditional_minimax_wup,cerebellum|cerebral_cortex|forebrain|temporal_lobe,uniform,row_overlap,row_overlap,0.973241590214,0.1829805
all144,conditional_minimax_wup,cerebellum|cerebral_cortex|forebrain|temporal_lobe,uniform,unique_overlap,unique_overlap,0.963503649635,0.5223915
all144,conditional_minimax_wup,cerebellum|cerebral_cortex|forebrain|temporal_lobe,uniform,lookup_micro_f1,f1,0.992162237829,0.3130415
all144,conditional_minimax_wup,cerebellum|cerebral_cortex|forebrain|temporal_lobe,uniform,role_A_lookup_f1,role_min_f1,0.9920618507500676,0.471324
all144,conditional_minimax_wup,cerebellum|cerebral_cortex|forebrain|temporal_lobe,uniform,role_B_lookup_f1,role_max_f1,0.9922628043549282,0.1512635
all144,conditional_minimax_wup,cerebellum|cerebral_cortex|forebrain|temporal_lobe,uniform,training_node_total,train_nodes,39197.0,0.010577
all144,conditional_minimax_wup,cerebellum|cerebral_cortex|forebrain|temporal_lobe,uniform,training_edge_total,train_edges,521390.0,0.014653
all144,conditional_minimax_wup,cerebellum|cerebral_cortex|liver|temporal_lobe,uniform,mean_wup,mean_wup,0.154348335488,0.0
all144,conditional_minimax_wup,cerebellum|cerebral_cortex|liver|temporal_lobe,uniform,max_wup,max_wup,0.181818181818,0.0
all144,conditional_minimax_wup,cerebellum|cerebral_cortex|liver|temporal_lobe,uniform,row_overlap,row_overlap,0.971038251366,0.1510005
all144,conditional_minimax_wup,cerebellum|cerebral_cortex|liver|temporal_lobe,uniform,unique_overlap,unique_overlap,0.938275251034,0.2231525
all144,conditional_minimax_wup,cerebellum|cerebral_cortex|liver|temporal_lobe,uniform,lookup_micro_f1,f1,0.990118717928,0.2010165
all144,conditional_minimax_wup,cerebellum|cerebral_cortex|liver|temporal_lobe,uniform,role_A_lookup_f1,role_min_f1,0.9920618507500676,0.471324
all144,conditional_minimax_wup,cerebellum|cerebral_cortex|liver|temporal_lobe,uniform,role_B_lookup_f1,role_max_f1,0.9883249053999148,0.059626
all144,conditional_minimax_wup,cerebellum|cerebral_cortex|liver|temporal_lobe,uniform,training_node_total,train_nodes,39197.0,0.010577
all144,conditional_minimax_wup,cerebellum|cerebral_cortex|liver|temporal_lobe,uniform,training_edge_total,train_edges,521390.0,0.014653
all144,conditional_minimax_wup,cerebellum|cerebral_cortex|pancreas|temporal_lobe,uniform,mean_wup,mean_wup,0.154348335488,0.0
all144,conditional_minimax_wup,cerebellum|cerebral_cortex|pancreas|temporal_lobe,uniform,max_wup,max_wup,0.181818181818,0.0
all144,conditional_minimax_wup,cerebellum|cerebral_cortex|pancreas|temporal_lobe,uniform,row_overlap,row_overlap,0.975283593102,0.2177845
all144,conditional_minimax_wup,cerebellum|cerebral_cortex|pancreas|temporal_lobe,uniform,unique_overlap,unique_overlap,0.952861952862,0.378484
all144,conditional_minimax_wup,cerebellum|cerebral_cortex|pancreas|temporal_lobe,uniform,lookup_micro_f1,f1,0.992587921503,0.3421465
all144,conditional_minimax_wup,cerebellum|cerebral_cortex|pancreas|temporal_lobe,uniform,role_A_lookup_f1,role_min_f1,0.9920618507500676,0.471324
