universe,method,metric,n,mean,sd,q0,q0.01,q0.05,q0.1,q0.25,q0.5,q0.75,q0.9,q0.95,q0.99,q1
all144,conditional_mean_wup,mean_wup,58905,0.19748349992590342,0.013180831696140883,0.154348335488,0.169248529249,0.176839271839,0.181014783827,0.188140089078,0.19673035298,0.206085997336,0.215248223998,0.220478549229,0.22983237318239996,0.248167943168
all144,conditional_mean_wup,max_wup,58905,0.29537300649332615,0.0669550041855963,0.181818181818,0.2,0.222222222222,0.222222222222,0.25,0.25,0.363636363636,0.4,0.4,0.4,0.545454545455
all144,conditional_mean_wup,mean_heldout_best_wup,58905,0.2360797807621883,0.03461956697674747,0.161297036297,0.182178932179,0.19227994228,0.198863636364,0.208964646465,0.228787878788,0.257478632479,0.284343434343,0.301923076923,0.325,0.506060606061
all144,conditional_mean_wup,mean_distance,58905,8.514103217044394,0.608269380274367,6.625,7.2,7.525,7.75,8.075,8.5,8.95,9.3,9.55,10.05,11.1
all144,conditional_mean_wup,min_distance,58905,6.104473304473305,0.7146185011157272,4.0,5.0,5.0,5.0,6.0,6.0,7.0,7.0,7.0,8.0,9.0
all144,conditional_mean_wup,mean_heldout_nearest_distance,58905,7.441571173924115,0.6533966025264306,5.5,6.0,6.5,6.75,7.0,7.5,7.75,8.25,8.5,9.25,10.5
all144,conditional_mean_wup,ancestor_descendant_pairs,58905,0.17368644427467958,0.8791001217822945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0
all144,conditional_mean_wup,train_branch_count,58905,5.164553093964859,1.4816203105858707,2.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0,8.0,8.0,9.0
all144,conditional_mean_wup,heldout_branch_count,58905,3.3479161361514302,0.6706812725191458,1.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0
all144,conditional_mean_wup,training_node_total,58905,40105.20062813004,1340.995444158499,35041.0,37102.0,38159.0,38758.0,39197.0,39836.0,40920.0,42185.0,42722.0,43013.0,44108.0
all144,conditional_mean_wup,training_edge_total,58905,535863.5572022748,23481.206422779665,438944.0,478391.0,505438.0,511321.0,520697.0,530206.0,549843.0,570170.0,582676.0,589278.0,611404.0
all144,conditional_mean_wup,heldout_node_total,58905,11575.0,648.9467609494542,9817.0,10212.0,10539.0,10740.0,11112.0,11556.0,12016.0,12435.0,12680.0,13123.96,14042.0
