sample	heldout	roleA	roleB	training	mean_wup	max_wup	row_overlap	unique_overlap	f1	role_min_f1
0	47|48|70|126	47|48	70|126	53|123|1|128|5|141|4|12|108|119|75|7|71|81|3|82|55|96|110|31	0.222892	0.333333	0.962933	0.912762	0.985701	0.983609
1	15|70|96|125	15|96	70|125	83|32|95|105|113|141|134|4|75|139|119|63|82|81|42|3|54|31|103|55	0.223798	0.333333	0.984817	0.957103	0.994457	0.993255
2	15|54|55|103	15|55	54|103	40|123|128|53|77|130|58|143|119|132|22|75|127|129|3|35|31|96|125|48	0.226356	0.333333	0.960082	0.903577	0.982797	0.980074
3	55|103|109|110	55|109	103|110	32|128|40|1|106|45|58|136|119|107|121|49|79|120|33|127|15|54|125|70	0.230349	0.333333	0.979996	0.946373	0.991028	0.990249
4	70|103|109|110	70|103	109|110	123|28|128|1|143|58|77|4|107|7|49|108|35|117|42|129|55|96|125|54	0.236046	0.333333	0.981457	0.950126	0.992547	0.991903
5	31|96|110|126	31|96	110|126	28|32|128|0|58|136|5|106|88|49|22|75|11|82|21|33|125|48|109|55	0.211634	0.333333	0.96319	0.91214	0.985665	0.983265
6	35|55|70|109	35|70	55|109	83|1|105|95|142|106|143|134|7|104|139|63|129|42|3|71|47|54|126|31	0.23213	0.333333	0.986577	0.962767	0.993219	0.991601
7	55|70|71|110	55|70	71|110	0|138|32|1|5|106|4|143|107|139|121|104|129|3|79|33|15|47|96|125	0.24413	0.333333	0.97621	0.943064	0.989128	0.985912
8	15|70|109|126	15|70	109|126	1|32|40|0|141|143|12|58|73|108|22|7|33|79|35|120|31|125|54|96	0.233495	0.333333	0.979172	0.94011	0.99163	0.990353
9	15|31|96|125	15|125	31|96	83|114|95|128|142|130|45|134|107|63|104|88|3|71|82|42|54|110|126|109	0.211817	0.333333	0.985434	0.959965	0.994387	0.994043
10	31|35|110|126	31|35	110|126	1|128|123|0|4|12|113|45|132|75|73|7|129|71|82|42|15|109|70|47	0.236879	0.333333	0.982184	0.953482	0.992282	0.989197
11	31|70|71|110	31|70	71|110	1|28|138|0|134|77|136|5|88|107|73|139|21|79|129|81|54|126|47|103	0.237248	0.333333	0.984636	0.958935	0.993918	0.993884
12	31|35|103|109	31|35	103|109	128|0|28|1|5|130|4|106|7|75|73|63|11|3|42|81|54|96|15|110	0.234858	0.333333	0.990831	0.974576	0.995442	0.995178
13	15|35|47|110	15|35	47|110	83|1|40|32|4|5|106|136|88|104|139|119|81|3|129|71|96|31|109|54	0.246422	0.333333	0.971012	0.925181	0.989336	0.983573
14	31|70|96|110	31|70	96|110	0|83|138|116|106|4|77|45|49|107|22|7|35|117|21|82|47|48|54|55	0.234244	0.333333	0.983874	0.958368	0.993081	0.992795
15	15|35|71|126	15|35	71|126	53|1|0|32|4|5|113|142|63|73|88|75|129|81|82|3|96|110|109|70	0.253231	0.333333	0.980493	0.945672	0.992182	0.988748
16	31|35|47|96	31|35	47|96	28|0|116|105|5|4|142|45|75|139|7|108|11|3|81|82|109|70|110|55	0.226244	0.285714	0.97507	0.936159	0.991008	0.987513
17	54|70|109|110	54|70	109|110	28|95|128|114|134|45|130|12|88|104|119|7|42|127|35|33|103|55|15|96	0.244726	0.333333	0.965355	0.923056	0.985474	0.983645
18	55|71|110|125	55|71	110|125	0|114|28|105|106|113|5|143|139|119|132|107|3|42|82|129|54|70|15|96	0.240743	0.333333	0.980824	0.948789	0.99181	0.9917
19	47|48|70|71	47|70	48|71	1|28|32|83|136|134|12|4|75|108|104|88|82|129|11|3|55|31|109|103	0.235617	0.333333	0.968561	0.920831	0.989128	0.984333
20	31|55|70|125	31|55	70|125	105|128|28|114|113|134|136|45|139|7|104|63|71|42|82|3|96|54|103|47	0.207157	0.333333	0.983696	0.957918	0.992561	0.990667
21	15|55|70|103	15|55	70|103	128|1|32|40|136|5|45|77|75|121|63|119|79|82|127|35|47|109|125|54	0.233318	0.333333	0.97298	0.939309	0.987618	0.982837
22	15|55|70|103	15|55	70|103	0|128|1|32|5|136|58|77|63|107|22|7|117|71|129|21|48|96|110|125	0.229976	0.333333	0.963049	0.917955	0.983472	0.982121
23	15|54|70|71	15|54	70|71	138|32|53|123|143|12|77|141|104|88|139|22|82|117|21|33|48|109|125|103	0.239297	0.333333	0.968441	0.925782	0.986829	0.984375
