sample	heldout	roleA	roleB	training	mean_wup	max_wup	row_overlap	unique_overlap	f1	role_min_f1
0	47|54|55|110	47|110	54|55	139|104|3|106|49|109|138|103|129|130|126|53|58|79|15|77|11|28|134|1	0.232452	0.666667	0.958235	0.905347	0.982472	0.981657
1	31|54|96|109	31|109	54|96	73|123|82|108|48|120|53|107|121|22|105|126|95|5|134|88|83|142|28|0	0.244285	0.666667	0.950817	0.915369	0.980456	0.977503
2	15|47|55|125	15|125	47|55	95|139|134|108|128|58|141|110|88|132|45|11|21|82|79|28|136|107|0|123	0.238785	0.666667	0.9345	0.839267	0.973092	0.957456
3	15|35|70|96	15|35	70|96	33|1|88|142|123|4|75|132|141|11|77|45|126|103|58|109|130|49|128|79	0.252031	0.666667	0.976224	0.936236	0.991091	0.986417
4	48|54|125|126	48|125	54|126	134|21|28|70|42|108|128|3|0|127|63|49|32|142|71|106|132|143|130|110	0.251171	0.875	0.975593	0.932047	0.989463	0.982325
5	31|54|110|126	31|54	110|126	3|70|116|21|132|45|35|128|120|5|0|114|22|79|134|83|127|77|119|4	0.255064	0.615385	0.959921	0.896496	0.982871	0.980864
6	15|70|110|125	15|70	110|125	47|105|126|136|4|142|119|33|31|75|121|83|1|55|117|35|123|134|96|103	0.246627	0.666667	0.989953	0.972988	0.996358	0.995581
7	31|70|103|110	31|110	70|103	128|125|104|77|123|32|82|12|132|11|40|75|63|22|96|117|58|73|126|120	0.238166	0.666667	0.979822	0.948115	0.993067	0.992461
8	55|70|103|126	55|103	70|126	113|116|108|31|104|83|88|48|128|114|45|136|11|138|96|54|40|117|123|121	0.261354	0.727273	0.976236	0.936771	0.990136	0.989952
9	35|71|125|126	35|126	71|125	0|129|96|104|132|58|116|108|113|4|139|12|33|1|83|143|49|3|130|70	0.256246	0.875	0.985736	0.956562	0.994161	0.992078
10	35|70|71|109	35|71	70|109	114|103|42|47|28|123|127|121|73|22|136|132|108|119|0|53|15|4|138|11	0.279235	0.75	0.984452	0.959066	0.993595	0.990121
11	15|55|96|110	15|55	96|110	0|42|58|7|127|103|73|117|116|130|40|139|77|128|32|129|70|106|22|54	0.238625	0.666667	0.979061	0.949504	0.991093	0.990634
12	31|35|55|125	31|35	55|125	40|128|7|138|114|73|70|58|110|21|113|54|106|33|32|108|116|49|45|11	0.248029	0.875	0.989882	0.969162	0.995828	0.9949
13	47|70|96|125	47|96	70|125	88|21|22|3|11|71|108|119|143|113|1|138|45|116|83|15|63|106|136|103	0.22522	0.6	0.935468	0.871035	0.973236	0.965785
14	47|55|109|110	47|109	55|110	58|45|126|11|21|136|116|7|129|96|40|95|48|54|125|53|134|73|113|1	0.241333	0.666667	0.973657	0.930855	0.990516	0.990348
15	54|55|71|96	54|55	71|96	63|104|134|113|35|40|138|48|127|0|82|32|142|5|129|128|139|117|75|83	0.241222	0.666667	0.929446	0.855713	0.970255	0.964762
16	31|35|47|96	31|35	47|96	79|3|75|103|104|128|15|142|48|134|55|0|83|12|117|81|11|21|71|106	0.223546	0.666667	0.955058	0.891631	0.98279	0.972798
17	47|48|96|109	47|48	96|109	132|106|54|136|117|71|138|127|63|73|104|139|141|15|12|125|143|7|114|126	0.229337	0.727273	0.976403	0.936949	0.991312	0.988321
18	15|70|96|125	15|96	70|125	53|129|75|35|63|4|88|5|123|42|54|104|7|31|79|47|32|107|21|141	0.241219	0.666667	0.98726	0.964903	0.994641	0.994608
19	31|35|70|125	31|70	35|125	123|54|132|28|120|130|103|4|116|138|79|106|143|141|82|127|114|21|12|47	0.251613	0.75	0.987248	0.965286	0.994783	0.991732
20	47|48|125|126	47|48	125|126	83|28|139|127|45|33|73|128|121|40|129|136|0|142|95|106|105|3|1|141	0.234726	0.727273	0.908766	0.799144	0.96097	0.95432
21	48|54|70|110	48|70	54|110	22|28|127|95|55|58|139|82|106|125|45|4|109|12|103|73|105|71|114|75	0.257323	0.727273	0.976592	0.940065	0.990366	0.989743
22	15|31|109|126	15|31	109|126	71|129|21|106|88|79|123|77|136|119|134|117|130|22|5|142|3|121|110|104	0.246703	0.615385	0.926166	0.852147	0.964724	0.956254
23	15|48|125|126	15|125	48|126	143|103|31|139|32|82|53|28|49|130|119|71|45|136|114|142|22|55|54|47	0.241336	0.875	0.987334	0.970388	0.995231	0.993066
24	35|47|109|110	35|47	109|110	54|117|3|55|127|130|82|11|121|28|119|143|73|120|45|106|70|1|12|108	0.281412	0.75	0.976514	0.936028	0.990809	0.98785
25	15|47|54|125	15|54	47|125	127|129|31|40|71|32|136|4|88|117|73|132|79|49|119|48|22|0|21|70	0.264193	0.875	0.962069	0.904236	0.985509	0.984181
26	70|103|125|126	70|125	103|126	77|81|128|28|116|88|138|12|142|3|109|15|123|33|104|121|132|82|47|32	0.238992	0.727273	0.981058	0.950392	0.992228	0.990305
27	31|35|48|71	31|35	48|71	7|126|58|1|73|113|129|123|55|0|88|42|119|82|28|21|120|136|134|141	0.260426	0.75	0.98527	0.956277	0.994631	0.993084
28	48|71|103|125	48|103	71|125	130|0|3|142|75|49|58|95|141|77|32|15|128|70|47|79|31|110|138|127	0.276026	0.875	0.993988	0.983078	0.997771	0.9972
29	15|35|55|126	15|126	35|55	138|139|143|1|121|58|31|22|130|95|32|79|4|104|105|75|88|5|71|45	0.251584	0.75	0.959015	0.899971	0.982458	0.980339
30	31|48|103|110	31|110	48|103	63|47|130|55|75|127|45|4|79|117|132|138|139|136|32|35|40|7|12|54	0.255092	0.727273	0.98757	0.966202	0.994833	0.993672
31	31|70|110|125	31|70	110|125	108|75|139|141|71|109|79|1|143|77|136|11|130|5|22|114|106|32|105|53	0.244119	0.571429	0.965297	0.911822	0.985494	0.979924
