heldout_tissues,heldout_indices,K,available,max_standardized_squared_distance,optimized_mean_wup,matched_random_mean_mean_wup,difference_mean_wup,optimized_row_overlap,matched_random_mean_row_overlap,difference_row_overlap,optimized_unique_overlap,matched_random_mean_unique_overlap,difference_unique_overlap,optimized_lookup_micro_f1,matched_random_mean_lookup_micro_f1,difference_lookup_micro_f1,optimized_training_node_total,matched_random_mean_training_node_total,difference_training_node_total,optimized_training_edge_total,matched_random_mean_training_edge_total,difference_training_edge_total
bone_marrow|colon|corpus_striatum|fetus,15|31|35|47,25,902,0.013191043093682821,0.20171529859,0.2303132861852646,-0.02859798759526458,0.973029956953,0.9751418828964233,-0.002111925943423354,0.927013196876,0.9336816668510437,-0.006668469975043667,0.990567227328,0.9911142587661743,-0.0005470314381743613,41376.0,41374.12,1.8799999999973807,562084.0,562005.96,78.04000000003725
bone_marrow|colon|corpus_striatum|fetus,15|31|35|47,50,902,0.03093145369171108,0.20171529859,0.23238781094551086,-0.030672512355510856,0.973029956953,0.9755513072013855,-0.002521350248385512,0.927013196876,0.934607982635498,-0.007594785759498013,0.990567227328,0.9913665056228638,-0.0007992782948638144,41376.0,41370.26,5.739999999997963,562084.0,562115.3,-31.300000000046566
bone_marrow|colon|corpus_striatum|fetus,15|31|35|47,100,902,0.07438440244743254,0.20171529859,0.23324231803417206,-0.03152701944417205,0.973029956953,0.9759843349456787,-0.002954377992678725,0.927013196876,0.9354295134544373,-0.008416316578437222,0.990567227328,0.9915145635604858,-0.0009473362324858847,41376.0,41383.31,-7.309999999997672,562084.0,562199.24,-115.23999999999069
bone_marrow|colon|corpus_striatum|fetus,15|31|35|47,200,902,0.22221778591886052,0.20171529859,0.23265689611434937,-0.030941597524349357,0.973029956953,0.9757744073867798,-0.0027444504337797992,0.927013196876,0.9348841905593872,-0.007870993683387173,0.990567227328,0.991410493850708,-0.0008432665227080527,41376.0,41394.565,-18.56500000000233,562084.0,562117.48,-33.47999999998137
bone_marrow|colon|corpus_striatum|heart,15|31|35|54,25,926,0.025589836620748402,0.209134754135,0.24719838798046112,-0.03806363384546113,0.985516372796,0.987772524356842,-0.0022561515608420235,0.959661495063,0.9659690260887146,-0.0063075310257145745,0.994455345887,0.9951822757720947,-0.000726929885094707,41627.0,41606.88,20.12000000000262,561310.0,561628.12,-318.11999999999534
bone_marrow|colon|corpus_striatum|heart,15|31|35|54,50,926,0.060067592762358346,0.209134754135,0.2455710470676422,-0.03643629293264222,0.985516372796,0.9875763654708862,-0.002059992674886213,0.959661495063,0.9653710126876831,-0.00570951762468308,0.994455345887,0.9951767921447754,-0.0007214462577753711,41627.0,41604.78,22.220000000001164,561310.0,561811.3,-501.30000000004657
bone_marrow|colon|corpus_striatum|heart,15|31|35|54,100,926,0.12291136860464923,0.209134754135,0.24557146430015564,-0.03643671016515565,0.985516372796,0.9876510500907898,-0.0021346772947897774,0.959661495063,0.9655345678329468,-0.005873072769946752,0.994455345887,0.9952229261398315,-0.0007675802528315234,41627.0,41590.03,36.970000000001164,561310.0,562149.59,-839.5899999999674
bone_marrow|colon|corpus_striatum|heart,15|31|35|54,200,926,0.2585066278275845,0.209134754135,0.24638912081718445,-0.03725436668218446,0.985516372796,0.987765371799469,-0.0022489990034689766,0.959661495063,0.9658039808273315,-0.006142485764331518,0.994455345887,0.9952298998832703,-0.0007745539962702441,41627.0,41571.455,55.544999999998254,561310.0,562584.91,-1274.9100000000326
bone_marrow|colon|corpus_striatum|hematopoietic_stem_cell,15|31|35|55,25,942,0.018343295493732602,0.209660270285,0.2373654991388321,-0.027705228853832087,0.984818293956,0.9843136072158813,0.0005046867401186095,0.961434977578,0.961159884929657,0.0002750926483430227,0.99275214625,0.9929690361022949,-0.00021688985229495472,41643.0,41649.0,-6.0,571443.0,571389.76,53.23999999999069
bone_marrow|colon|corpus_striatum|hematopoietic_stem_cell,15|31|35|55,50,942,0.04163522361973501,0.209660270285,0.23696047067642212,-0.027300200391422114,0.984818293956,0.9843325018882751,0.00048579206772481065,0.961434977578,0.9608549475669861,0.0005800300110139212,0.99275214625,0.9929864406585693,-0.00023429440856936878,41643.0,41663.26,-20.260000000002037,571443.0,571248.56,194.43999999994412
bone_marrow|colon|corpus_striatum|hematopoietic_stem_cell,15|31|35|55,100,942,0.08894649218459649,0.209660270285,0.23639531433582306,-0.026735044050823054,0.984818293956,0.9840260148048401,0.0007922791511598692,0.961434977578,0.9600955843925476,0.0013393931854523977,0.99275214625,0.992878794670105,-0.00012664842010501332,41643.0,41671.63,-28.62999999999738,571443.0,571292.05,150.94999999995343
bone_marrow|colon|corpus_striatum|hematopoietic_stem_cell,15|31|35|55,200,942,0.1993677869618361,0.209660270285,0.23633751273155212,-0.02667724244655212,0.984818293956,0.9839738607406616,0.000844433215338336,0.961434977578,0.9600029587745667,0.0014320188034333547,0.99275214625,0.9928746819496155,-0.00012253569961551136,41643.0,41700.215,-57.21499999999651,571443.0,571062.085,380.91500000003725
bone_marrow|colon|corpus_striatum|lung,15|31|35|70,25,929,0.019191006466976898,0.209134754135,0.245822012424469,-0.036687258289469005,0.98714028777,0.9861258864402771,0.0010144013297228582,0.966857142857,0.9633485674858093,0.0035085753711906476,0.995360759697,0.9947209358215332,0.000639823875466794,41685.0,41683.48,1.5199999999967986,564819.0,564985.12,-166.11999999999534
bone_marrow|colon|corpus_striatum|lung,15|31|35|70,50,929,0.04113642943473907,0.209134754135,0.24394142627716064,-0.034806672142160655,0.98714028777,0.9870215058326721,0.0001187819373278387,0.966857142857,0.9656172394752502,0.0012399033817497296,0.995360759697,0.9950658679008484,0.00029489179615160843,41685.0,41677.02,7.980000000003201,564819.0,565002.44,-183.43999999994412
bone_marrow|colon|corpus_striatum|lung,15|31|35|70,100,929,0.08521492383524995,0.209134754135,0.24348688125610352,-0.034352127121103526,0.98714028777,0.9870359897613525,0.00010429800864741878,0.966857142857,0.965605616569519,0.0012515262874809308,0.995360759697,0.9950387477874756,0.00032201190952441117,41685.0,41685.24,-0.23999999999796273,564819.0,565067.35,-248.34999999997672
bone_marrow|colon|corpus_striatum|lung,15|31|35|70,200,929,0.2072559245006219,0.209134754135,0.24420501291751862,-0.035070258782518626,0.98714028777,0.9870212078094482,0.00011907996055171566,0.966857142857,0.9654399156570435,0.0014172271999565167,0.995360759697,0.9950103163719177,0.0003504433250822725,41685.0,41681.075,3.9250000000029104,564819.0,565268.365,-449.3649999999907
